"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"HOXC11","HOXC11","MA0651.1","-3.7735",0.999947,0.786001,0.790853,0.0563198,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"PRDM1","PRDM1","MA0508.3","-3.77714",0.999949,0.843078,0.848109,0.0602999,2084,"True",1,8.1408567697656e-06,0.000812658911296654,0.991924759080969,0.991444118893724,0.151459838143134,0.521083270985273,0.878825928163544
"FOS","FOS::JUND","MA1141.1","-3.79132",0.999951,0.786296,0.791116,0.0561218,2084,"True",1,0.00021029452685722,0.222161084064985,0.976580030797734,0.975992847783691,0.546643013777883,0.209228149226317,0.234270856470158
"JUND","FOS::JUND","MA1141.1","-3.79132",0.999951,0.786296,0.791116,0.0561218,2084,"True",1,1.52186749798897e-44,1.90236900795592e-32,0.964410365320826,0.964264502226805,0.0400376634861815,0.00011552848092008,0.101794861173772
"RARA","RARA","MA0729.1","-3.8312",0.999957,0.690747,0.694408,0.0406017,2084,"False",1,0.000770852819286162,2.31178511989004e-07,0.927608467234748,0.926089501374413,0.426101466146975,0.0298732416861166,0.0697250039610694
"PITX1","PITX1","MA0682.2","-3.85266",0.999962,0.842623,0.848458,0.0667878,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"STAT1","STAT1::STAT2","MA0517.1","-3.86239",0.999964,0.777324,0.78214,0.056108,2084,"False",1,1.40946099190258e-13,5.14054786755403e-16,0.946008971168232,0.944783042821052,-0.202753571440294,0.00514153271703591,0.0181467972449666
"STAT2","STAT1::STAT2","MA0517.1","-3.86239",0.999964,0.777324,0.78214,0.056108,2084,"False",1,5.28967265785809e-07,0.000220706639710457,NA,NA,NA,0.0311874800144835,0.0335960666955691
"FOSL2","FOSL2","MA0478.1","-3.87294",0.999965,0.817265,0.822129,0.0547653,2084,"False",1,1.50264056392622e-21,4.11815899197317e-14,0.844991741427458,0.843219480672819,0.264224492160067,0.466777648444464,0.649010665954657
"FOXO3","FOXO3","MA0157.2","-3.90227",0.99997,0.817321,0.823193,0.0687664,2084,"False",1,0.000353995470954073,0.00123085388227496,NA,NA,NA,0.349826545517627,0.952629396218492
"NR3C2","NR3C2","MA0727.1","-3.91591",0.999972,0.71706,0.7212,0.0481059,2084,"False",1,4.97117232130351e-20,7.69214370928977e-16,0.993294323523653,0.993105777795015,0.0496441705310908,1.12684122042021e-06,0.000780333702197799
"MAFK","MAFK","MA0496.3","-3.92919",0.999972,0.741252,0.745989,0.0523275,2084,"True",1,2.03623645770718e-33,6.02524608911656e-20,0.938992490045639,0.937454882762103,-0.116434455554026,0.027388970009749,0.130811036362576
"FIGLA","FIGLA","MA0820.1","-3.93463",0.999973,0.859627,0.863992,0.0487117,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXC9","HOXC9","MA0485.2","-3.93856",0.999974,0.773702,0.779078,0.0604544,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"GFI1","GFI1","MA0038.2","-3.93733",0.999974,0.791903,0.796408,0.0518252,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"NR3C1","NR3C1","MA0113.3","-3.94591",0.999975,0.720564,0.724725,0.0479084,2084,"False",1,5.5830216003453e-05,0.000268400409817056,NA,NA,NA,2.92838185600559e-06,0.000338601242984024
"PRDM4","PRDM4","MA1647.1","-3.95576",0.999976,0.837335,0.842234,0.054276,2084,"False",1,0.214584769853153,0.00983478231089334,NA,NA,NA,0.576110065700551,0.793580378582976
"HOXC13","HOXC13","MA0907.1","-3.98143",0.999978,0.772311,0.777553,0.0576096,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"RHOXF1","RHOXF1","MA0719.1","-3.97729",0.999978,0.943573,0.946755,0.035894,2084,"False",1,4.9343724858818e-05,3.05693336502096e-05,0.992481391455087,0.992156166335897,0.137369584727154,0.755940035534242,0.624594097120563
"HOXA13","HOXA13","MA0650.2","-3.99319",0.99998,0.787691,0.792936,0.0589144,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"GSC","GSC","MA0648.1","-3.9938",0.99998,0.827717,0.833033,0.0606387,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"Gfi1b","Gfi1b","MA0483.1","-3.9959",0.99998,0.832243,0.836853,0.0524514,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXK1","FOXK1","MA0852.2","-4.00214",0.999981,0.786846,0.792099,0.059879,2084,"False",1,0.000242740891515652,0.00522172612084574,NA,NA,NA,0.753602673023652,0.326676611316359
"Esrrg","Esrrg","MA0643.1","-4.082",0.999986,0.813088,0.81775,0.050125,2084,"True",1,1.10200740313905e-26,3.25376877019697e-20,0.999039094643168,0.998981052742482,0.0218610047662912,0.000339133546510907,0.0533598926472795
"GSC2","GSC2","MA0891.1","-4.12958",0.999989,0.845324,0.85018,0.0528103,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"Hmx1","Hmx1","MA0896.1","-4.13946",0.999989,0.753611,0.758219,0.0492089,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX5","TBX5","MA0807.1","-4.1455",0.99999,0.867649,0.87192,0.0450967,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"ATF2","ATF2","MA1632.1","-4.14495",0.99999,0.773822,0.77972,0.0644858,2084,"False",1,3.4652647974483e-16,5.13719320511575e-09,0.876480676714305,0.875045432996511,0.0602772475889227,0.748480999285509,0.598424626608164
"Foxo1","Foxo1","MA0480.1","-4.18354",0.999992,0.82586,0.831147,0.0567189,2084,"False",1,0.713925635534264,0.739497479592865,NA,NA,NA,0.389702423795581,0.842678287390169
"SRF","SRF","MA0083.3","-4.23989",0.999994,0.679099,0.683802,0.0501161,2084,"False",1,2.99318303135478e-19,8.12225666070656e-11,0.976580030797734,0.975992847783691,-0.0274578214313048,0.0511387129824764,0.189464346773076
"Nkx3-1","Nkx3-1","MA0124.2","-4.27424",0.999994,0.827246,0.832362,0.0524778,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOSL1","FOSL1::JUN","MA1128.1","-4.29984",0.999995,0.793771,0.799226,0.055887,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"JUN","FOSL1::JUN","MA1128.1","-4.29984",0.999995,0.793771,0.799226,0.055887,2084,"True",1,9.29654296447753e-46,1.02805676727503e-26,0.849685323270784,0.848293957146321,-0.128547112486403,1.89196776506708e-05,0.0487106658044584
"DBP","DBP","MA0639.1","-4.34604",0.999996,0.775456,0.78137,0.0604771,2084,"True",1,6.12807410004664e-40,8.26186027475868e-25,0.943540453647427,0.942498154100061,-0.101391212336945,0.000128335113619147,0.0505851997756285
"HOXB9","HOXB9","MA1503.1","-4.35149",0.999996,0.78306,0.78887,0.0591239,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"MSGN1","MSGN1","MA1524.1","-4.3843",0.999997,0.836049,0.840896,0.0476758,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX6","PAX6","MA0069.1","-4.41512",0.999997,0.764108,0.767996,0.0377335,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"Rarg","Rarg","MA0859.1","-4.41646",0.999997,0.698811,0.703576,0.0464165,2084,"False",1,0.260924613085138,0.271000834046101,NA,NA,NA,0.231217489272745,0.422848128179595
"RORA","RORA","MA0071.1","-4.42672",0.999997,0.818087,0.823488,0.054322,2084,"False",1,3.99739274137158e-20,1.09985122114936e-14,0.964410365320826,0.964264502226805,-0.12377647203232,0.104465752206274,0.587054565928086
"GRHL1","GRHL1","MA0647.1","-4.45014",0.999998,0.743463,0.748851,0.0545403,2084,"False",1,0.732370956619039,0.359682704598384,NA,NA,NA,0.91515234646262,0.440814260408775
"TFAP4","TFAP4","MA0691.1","-4.46136",0.999998,0.790106,0.795801,0.056327,2084,"False",1,3.96736502187829e-05,0.00405138440292267,0.938470725137147,0.936751866519256,-0.148871464292913,0.933804351321129,0.486364784944005
"TBXT","TBXT","MA0009.2","-4.47754",0.999998,0.695847,0.700128,0.0418353,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"EN2","EN2","MA0642.1","-4.50118",0.999998,0.859279,0.86434,0.0511301,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"TGIF2","TGIF2","MA0797.1","-4.5156",0.999998,0.725776,0.730896,0.0499601,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"ISL2","ISL2","MA0914.1","-4.5153",0.999998,0.86041,0.865869,0.054032,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"Nr1h3","Nr1h3::Rxra","MA0494.1","-4.53121",0.999998,0.790268,0.793816,0.0343873,2084,"False",1,2.16105068294895e-09,2.62284934989448e-07,0.919650231056774,0.918661305922346,0.22317447569079,0.12425857892802,0.793228101283032
"Rxra","Nr1h3::Rxra","MA0494.1","-4.53121",0.999998,0.790268,0.793816,0.0343873,2084,"False",1,0.0362994046868131,0.213777019796771,NA,NA,NA,0.464415018143695,0.872757156671108
"MEIS3","MEIS3","MA0775.1","-4.53922",0.999998,0.881465,0.886699,0.0507377,2084,"True",1,6.13745641244214e-24,1.33139090524548e-13,0.823194169487938,0.822264425159796,-0.258429183493013,3.03486330604073e-12,1.46960003085753e-06
"NR1I3","NR1I3","MA1534.1","-4.5452",0.999998,0.835671,0.841076,0.0522533,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFE2","NFE2","MA0841.1","-4.55135",0.999999,0.750139,0.756022,0.0562134,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXG1","FOXG1","MA0613.1","-4.55163",0.999999,0.817747,0.825753,0.0794028,2084,"False",1,1.02962436821361e-40,1.26812137224277e-29,0.976580030797734,0.975992847783691,0.0640974486368931,0.00198750878526194,0.143700398612836
"NR4A1","NR4A1","MA1112.2","-4.5697",0.999999,0.813412,0.819326,0.0562561,2084,"True",1,5.84034004647179e-24,1.55143001481684e-07,0.876123177251657,0.874688518941928,0.285933051967554,0.93937473400728,0.36521346097689
"TBX15","TBX15","MA0803.1","-4.57687",0.999999,0.829227,0.834836,0.0537562,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"PITX3","PITX3","MA0714.1","-4.57933",0.999999,0.84727,0.853187,0.057626,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"Lhx8","Lhx8","MA0705.1","-4.57922",0.999999,0.85682,0.863363,0.0639535,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOSL2","FOSL2::JUN","MA1130.1","-4.6166",0.999999,0.799857,0.805799,0.0567593,2084,"False",1,1.50264056392622e-21,4.11815899197317e-14,0.844991741427458,0.843219480672819,0.264224492160067,0.466777648444464,0.649010665954657
"JUN","FOSL2::JUN","MA1130.1","-4.6166",0.999999,0.799857,0.805799,0.0567593,2084,"True",1,9.29654296447753e-46,1.02805676727503e-26,0.849685323270784,0.848293957146321,-0.128547112486403,1.89196776506708e-05,0.0487106658044584
"ZSCAN4","ZSCAN4","MA1155.1","-4.62497",0.999999,0.726211,0.730937,0.0437585,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS2","MEIS2","MA0774.1","-4.65131",0.999999,0.855347,0.861224,0.0560218,2084,"False",1,3.43664340654066e-14,1.37065487195231e-06,0.86281173622814,0.860420383785747,-0.189463469526245,0.0159863223058569,0.0661454418923752
"TBX4","TBX4","MA0806.1","-4.65522",0.999999,0.857318,0.862423,0.0480745,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXD9","HOXD9","MA0913.2","-4.68489",0.999999,0.806697,0.814017,0.0689871,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXF2","FOXF2","MA0030.1","-4.69588",0.999999,0.769506,0.775928,0.061184,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"CDX2","CDX2","MA0465.2","-4.70709",0.999999,0.778153,0.7856,0.0694648,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"TCF7L1","TCF7L1","MA1421.1","-4.71027",0.999999,0.761895,0.767411,0.0516015,2084,"False",1,NA,NA,NA,NA,NA,NA,NA
"TEF","TEF","MA0843.1","-4.72814",0.999999,0.764193,0.770451,0.0588133,2084,"True",1,4.63790844048573e-47,9.17972339752211e-34,0.988953766766338,0.988527861383664,-0.0171714571260559,0.00352829719498665,0.284461927293066
