"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"CREB1 (mouse)",0.426902528876047,1.21568914956012,1.0347940709312,"['NEURL1B', 'ZFP69', 'NOS1', 'GPR19']",0.951284998797203,0,0,4,"CREB1",0.951284998797203,0.000126718561880485,0.00327125648940253,NA,NA,NA,0.0887669739168308,0.96297861733438
"SPIB (human)",0.432202785144185,1.26257151460403,1.05912123417954,"['ARHGEF3', 'GOLIM4', 'OR6A2']",0.951284998797203,0,0,3,"SPIB",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"SOX10 (human)",0.441798611143606,1.7506636716357,1.4301191344672,"['SAMD4A']",0.951284998797203,0,0,1,"SOX10",0.951284998797203,0.000425942914489288,0.0123121522936827,0.92845554554877,0.928696430088618,0.113716683893299,0.913390986562136,0.378405653380907
"TP53 (human)",0.442313314571061,1.08761987794246,0.887211549635864,"['FRMD3', 'FAM200B', 'NEURL1B', 'DGKD', 'SV2C', 'PLEKHF1', 'ODF2', 'ATP2B4', 'KLHL11', 'RAD54L2', 'ETS1', 'GPR19']",0.951284998797203,0,0,12,"TP53",0.951284998797203,0.0476752552816535,0.294652287283817,NA,NA,NA,0.93746489974533,0.406663744168502
"APEX1 (human)",0.448947106509663,1.13034965034965,0.905240744742692,"['NEURL1B', 'PRPH2', 'GMNN', 'ARHGEF3', 'NOS1', 'E2F6']",0.951284998797203,0,0,6,"APEX1",0.951284998797203,5.13132982507218e-18,2.92679326456562e-08,0.558880020181546,0.559713595246066,-0.388609833310573,0.0107055700483873,0.0146064175583363
"Pax6 (human)",0.452580495001691,1.6928698400158,1.34208967468301,"['AXDND1']",0.951284998797203,0,0,1,"Pax6",0.951284998797203,0.000383352943025947,0.30095038429651,0.888300195646434,0.890194160722841,-0.486647727706536,0.853843425503048,0.389145865139214
"ETV4 (mouse)",0.455863609069216,1.14007695310322,0.895600694928231,"['XKR8', 'EML4', 'IL1R1', 'NPY1R', 'SNURF']",0.951284998797203,0,0,5,"ETV4",0.951284998797203,3.17276001703296e-14,7.56308356789435e-08,0.978632902750825,0.978696219333027,0.083892311766129,0.322845395845012,0.0672888413857711
"ETS1 (mouse)",0.462808608044899,1.11304108078302,0.857533244541073,"['XKR8', 'FRMD3', 'POLR1B', 'CDH11', 'GGH', 'BCL9L']",0.951284998797203,0,0,6,"ETS1",0.951284998797203,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"TFAP2A (human)",0.469578033757051,1.05830903790087,0.79999780194022,"['DGKD', 'HOMER1', 'CHKA', 'IL1R1', 'ODF2', 'SAMD4A', 'RTN4RL2', 'SYT6', 'CASP9', 'SV2C', 'RAD54L2', 'XKR4', 'MAP3K14', 'BCL9L']",0.951284998797203,0,0,14,"TFAP2A",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"FOXJ1 (human)",0.476591694563697,1.09622179940201,0.812404648884218,"['KLHL15', 'TMEM200C', 'ARHGEF3', 'KLHL11', 'RBMS2', 'FERMT3']",0.951284998797203,0,0,6,"FOXJ1",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"Sox2 (mouse)",0.47856211711321,1.13246575342466,0.83459244848734,"['FICD', 'NPY1R', 'SNURF', 'GPR19']",0.951284998797203,0,0,4,"Sox2",0.951284998797203,1.58276064660112e-10,3.00513398250568e-06,0.757735361763109,0.762462050638472,-0.159108608217295,0.00780682356453337,0.00446393470802453
"POU1F1 (human)",0.482369236356531,1.10407876230661,0.804923551361484,"['EML4', 'IGSF11', 'POLR1B', 'ZBBX', 'SOSTDC1']",0.951284998797203,0,0,5,"POU1F1",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"ELK1 (human)",0.483449336119286,1.08798920377868,0.790760078943798,"['EML4', 'IGSF11', 'CMTM8', 'NOS1', 'GPR19', 'SULF2']",0.951284998797203,0,0,6,"ELK1",0.951284998797203,2.60798251141922e-13,1.25347190436997e-06,0.962582329789301,0.963019639617838,0.15006098910641,0.794771887293007,0.913724333027705
"BRCA1 (human)",0.483449336119286,1.08798920377868,0.790760078943798,"['POM121', 'POLR1B', 'CDCA7L', 'PLXNC1', 'FERMT3', 'BCL9L']",0.951284998797203,0,0,6,"BRCA1",0.951284998797203,3.49213791424565e-08,2.01550375917501e-09,0.303304055869657,0.303247632109798,0.570502221570003,0.665205204907325,0.38125852509513
"FOXI1 (human)",0.483706654458573,1.54019061319906,1.11860446634642,"['MVK']",0.951284998797203,0,0,1,"FOXI1",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"KLF4 (human)",0.486868919633137,1.08391608391608,0.780159821006931,"['DGKD', 'PLEKHF1', 'FICD', 'GMNN', 'ATP2B4', 'FERMT3']",0.951284998797203,0,0,6,"KLF4",0.951284998797203,NA,NA,NA,NA,NA,NA,NA
"SMAD4 (human)",0.498785370527958,1.06988175900093,0.744187706584125,"['EML4', 'DGKD', 'PRPH2', 'NRIP2', 'NOS1', 'ACYP1']",0.951284998797203,0,0,6,"SMAD4",0.951284998797203,1.14802426846525e-09,2.0532277592501e-05,NA,NA,NA,0.280951413711826,0.601684941650713
"YY1 (human)",0.501512619600841,1.02687437934459,0.708673229762948,"['NPFFR1', 'MVK', 'IGFBP5', 'CHKA', 'ODF2', 'CDCA7L', 'SULF2', 'EML4', 'CLEC4A', 'SPRED2', 'NEURL1B', 'NRIP2', 'ZBBX', 'SNURF', 'SOSTDC1', 'OR6A2', 'DLGAP3', 'ZNF511', 'FKBP3', 'FERMT3']",0.951284998797203,0,0,20,"YY1",0.951284998797203,7.13501785664133e-06,0.000308109083641054,NA,NA,NA,0.867145708948978,0.105158212648832
"PPARG (human)",0.501861279994612,1.03314285714286,0.712281262929783,"['ODF2', 'LRRK1', 'ACYP1', 'MAGT1', 'SYT6', 'XKR8', 'FAM200B', 'POLR1B', 'KCTD13', 'PLXNC1', 'NOS1', 'CLEC2D', 'FERMT3', 'BCL9L']",0.951284998797203,0,0,14,"PPARG",0.951284998797203,2.29518798808887e-13,4.57387957022952e-05,0.830532095571826,0.835029038188339,-0.315055573187065,6.29684981479226e-05,0.00247098252190574
"UBTF (human)",0.507243927732388,1.06006322444679,0.719531982014803,"['XKR8', 'PLEKHF1', 'HOMER1', 'ATP2B4', 'SNURF', 'KLHL11']",0.951284998797203,0,0,6,"UBTF",0.951284998797203,4.21883186366579e-08,0.000485885049909081,0.930939051506175,0.931197462279369,-0.173951447393074,0.0333368317929488,0.00742244620988001
