"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"FAM41C",0.251915509610584,"1.11557091102982","0.701254248043765","0.252097035664332","0.178858146429367",0.647402670663594,1,0.343221061938262
"SAMD11",0.145937363683369,"1.66440641881618","0.939406027951566","0.169887230510773","0.129027868859406",0.487072352054809,1,0.275106448301007
"KLHL17",0.090764000834728,"1.71166077445794","1.38165431536285","1.39652165003804","0.828724690356393",0.370535268643748,1,0.521851886841688
"HES4",0.160775331547901,"4.31861658123408","3.96906828791691","4.77638183964482","5.18091358783086",0.519404872369719,1,-0.0812980864585739
"ISG15",0.20694103048399,"2.86750694370613","2.99032551223093","0.6613594981466","1.55481208888316",0.592744304734627,1,-0.854812412025434
"B3GALT6",0.164666937796589,"3.21344349544719","3.24555680749544","1.54130838487332","1.87085692253779",0.52631409814446,1,-0.1937649169633
"CPTP",0.254522470320907,"2.70940586148436","2.88298700903837","1.80353945148967","1.92181652944495",0.650562311509644,1,-0.0635197517646742
"TAS1R3",0.118537104754722,"1.8742581013536","1.47673146015142","0.0641688505428447","0.0386521656673931",0.433767275426177,1,0.50691509265932
"AURKAIP1",0.00160191471721286,"2.85292982581066","3.18515664646701","4.47433536402712","6.65067316718957",0.0219559262105601,1,-0.396360259002126
"MRPL20-AS1",0.0281777043504168,"3.84240333121301","3.70626193038535","0.584801555710399","0.834095919094703",0.171372329783353,1,-0.355075837974889
"ANKRD65",0.00249960781210689,"2.85486964556636","3.13466425863394","1.62477246930087","2.73263689391696",0.0296462213326194,1,-0.519899251141562
"ATAD3C",0.664437511506272,"1.05102467870357","1.03404805933308","0.545731309549957","0.699057971808713",0.889388964450539,1,-0.247606926574394
"SSU72",0.0699523919043429,"2.73258530407786","2.92875279203143","12.1881015788692","13.0214805804961",0.319276551217584,1,-0.0661401507519225
"FNDC10",0.567915360233909,"3.07048246436335","3.15707751384826","2.35023977975229","2.79057395489118",0.851019091587479,1,-0.17172993638699
"GABRD",0.459991897632994,"3.22914819650701","3.23458770404304","15.464306297223","17.5780827809607",0.799484926011282,1,-0.128118280657074
"PANK4",0.962246931338645,"2.60598603671192","2.56858774198933","1.89633679994082","1.84495072749903",0.98310078644038,1,0.0274714539835227
"HES5",0.633008698221042,"4.0471911151979","4.01839070202228","0.977689705365921","0.719585260704206",0.876692308381455,1,0.306517325772373
"PRXL2B",0.77492875835507,"2.70071816351695","2.78219970388889","3.75084872590305","3.91979915643121",0.934659618528215,1,-0.0440582756037709
"MMEL1",0.0708153892302129,"1.75987673989114","1.33325913775032","0.134791538984134","0.0702990991133986",0.321372128987493,1,0.650970445481386
"TTC34",0.256811114061055,"5.18037773469404","5.51596428927379","0.464719509243053","0.573192215553492",0.654017334400837,1,-0.209787097523973
"TPRG1L",0.015163852468376,"2.96367194738769","3.04179486183181","12.458159996764","15.3640269717029",0.107640719909845,1,-0.209653036352468
"SMIM1",0.000709244521459197,"2.28965833494416","3.13840840155047","0.0835101620212737","0.124000198371181",0.0129696478135579,1,-0.395314840065907
"LRRC47",0.0914137469381313,"3.08380541944567","3.12843390916501","5.67474993516149","6.73471249071879",0.372074893648417,1,-0.171248622011593
"Z98886.1",0.182979104451821,"4.74420614231219","4.76988412238948","0.0894121317399251","0.0549562549870756",0.556424949343261,1,0.486718869870227
"RPL22",0.000841762474279549,"3.0729372321794","3.295496461842","9.17271810458953","16.490192844576",0.0142979368845483,1,-0.586532176079807
"ICMT",0.907850921330251,"2.96875099534669","3.01004152694036","3.38348946583611","3.38527098047515",0.965289287244953,1,-0.000526393183599076
"TAS1R1",0.85057881643599,"5.34255661615523","5.4947947613219","0.195221270819239","0.19595452283975",0.948894225958056,1,-0.00374896857732006
"KLHL21",0.758203516410722,"2.17808053161195","2.12390872233104","5.47530386475551","5.15766519534896",0.929346841681447,1,0.0597637790031414
"Z97987.1",0.159911333944957,"4.93139365050853","4.9304426737837","0.242089922731844","0.157087559560752",0.517725190090004,1,0.432505884576185
"Z98884.2",0.966297942142366,"2.93405610294287","2.91022825859278","0.135554859327517","0.141014236180085",0.984725308084228,1,-0.0394844268282569
"Z98884.1",0.865828327970259,"4.96881475685667","5.03843838795272","0.5731448683443","0.492500884677385",0.951937764315493,1,0.151642252185866
"UTS2",0.511340046036568,"4.7903150345504","4.70994709683482","0.134571007826286","0.0993225248784624",0.82282003551212,1,0.303719616991203
"PARK7",0.00156967140767274,"2.92329902109806","3.22374587777256","6.21012104136108","10.432051268703",0.021701286050389,1,-0.518702532615549
"RERE-AS1",0.555272813341018,"4.69686001724859","4.45437157228742","1.12401346260754","1.06190121779527",0.846564424934007,1,0.0568448255737457
"ENO1",0.172875006296951,"2.85492696027091","2.93919615273003","18.1537117004304","21.6002127215185",0.539497066895209,1,-0.173828121655652
"SLC2A5",0.0739251156600476,"1.19725541713509","1.17877540992413","1.67360372790303","0.826652099609613",0.329444373887743,1,0.705350572447968
"MIR34AHG",0.521849484866092,"6.17574602035252","0.0112670573134373","4.93424331796005","4.16342007122302",0.828774823763048,1,0.169862462422343
"LNCTAM34A",0.505038059106065,"5.26530878704893","5.260651661357","0.509481466063725","0.351916567301793",0.820061798944502,1,0.36999935249368
"CORT",0.000224496910373207,"3.77811749627241","3.62185292478534","0.612937444970087","1.36477989924462",0.00768257600677185,1,-0.800485565270985
"MASP2",0.963256868127033,"4.63878243138841","4.65710049599335","0.607241498602673","0.570858203074445",0.98310078644038,1,0.0617857200044394
