GENE_SYMBOLS,refseq_ids
DIPK1C,NM_001044369
STARD4-AS1,NR_040093
GINS3,NM_001126129
CYP4A22-AS1,NA
IRS2,NM_003749
CCDC196,NM_001004331
MMD2,NM_001100600
CCDC192,NM_001317938
SCN11A,NM_001287223
AF274853.1,NA
NEK5,NM_001365552
C12orf42,NM_001099336
IGFN1,NM_001164586
ID2-AS1,NR_110153
ARSF,NM_001201538
PSG8,NM_001130167
ERVMER61-1,NM_001012274
RBP2,NM_004164
MEI4,NM_001282136
HES5,NM_001010926
SLC22A6,NM_004790
CLMP,NM_024769
ACSM3,NM_005622
PLN,NM_002667
MOB3B,NM_024761
DSC1,NM_004948
BTBD18,NM_001145101
RNF125,NM_017831
RNF212B,NM_001282322
FSD2,NM_001007122
MEP1B,NM_001308171
HKDC1,NM_025130
NEAT1,NR_002802
PHKA1-AS1,NR_110391
KCNMA1-AS3,NR_126365
BTBD17,NM_001080466
PGAM2,NM_000290
PTCSC3,NR_049735
NUPR1,NM_001042483
GNRHR,NM_000406
CNTFR-AS1,NR_024369
KCNIP4-IT1,NR_002813
SFTA3,NM_001101341
MYRFL,NM_182530
NQO1,NM_000903
DIO2-AS1,NR_038355
HSPA1B,NM_005346
KLF2,NM_006075
DEC1,NA
SLC5A3,NM_006933
TSBP1,NM_001286474
C6orf118,NM_144980
CEBPD,NM_005195
MTMR11,NM_001145862
DPP10-AS3,NR_132105
F11,NM_000128
FYB2,NM_001004303
HIST1H2BD,NA
HGF,NM_000601
IFITM3,NM_021034
IER5L,NM_203434
EGF,NM_001178130
HSPB1,NM_001540
TSIX,NR_003255
ZFP36,NM_003407
DEPP1,NM_007021
NUAK2,NM_030952
HSPA1A,NM_005345
TNC,NM_001410991
FOSL2,NM_005253
PRKCQ,NM_001242413
FABP5,NM_001444
EFNA1,NM_004428
C1R,NM_001354346
UBASH3B,NM_001363365
SMTN,NM_001207017
NFIL3,NM_001289999
IFITM2,NM_006435
CDKN1A,NM_000389
CYP39A1,NM_001278738
APOL6,NM_030641
DNAJB1,NM_001300914
ELL2,NM_012081
CD44,NM_000610
ADAMTS1,NM_006988
HELB,NM_001370285
EPHA2,NM_001329090
LMNB1,NM_001198557
IQCM,NM_001363507
GADD45A,NM_001199741
ICAM1,NM_000201
SOCS3,NM_001378932
IL1R1,NM_000877
ARHGEF3,NM_001128615
SLC39A14,NM_001128431
ACTA2,NM_001141945
GADD45B,NM_015675
HS3ST3B1,NM_006041
YBX3,NM_001145426
CHI3L1,NM_001276
PLSCR1,NM_001363872
CRYAB,NM_001289807
GBP2,NM_004120
S100A10,NM_002966
SERPINA3,NM_001085
CP,NM_000096
NAMPT,NM_005746
ANXA2,NM_001002857
PDZRN4,NM_001164595
HMOX1,NM_002133
CCL2,NM_002982
RGS16,NM_002928
IFI16,NM_001206567
HILPDA,NM_001098786
CRISPLD1,NM_001286777
ADM,NM_001124
OXTR,NM_000916
