"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"PER3",0.232063781126622,"4.54293650967985","4.88127606349381","25.3222279316181","23.7220790342526",0.556074138501625,1,0.0652763650977535
"FGR",0.51143645744023,"1.43514401396985","1.0918022741284","7.19258376407948","4.60294672605261",0.713803401031688,1,0.44635377138365
"THEMIS2",0.338336236397866,"1.58739614044694","1.9545630642507","21.3378316100619","11.8902023520213",0.581484340812188,1,0.584766899955242
"AZIN2",0.546195115371599,"4.49441775156763","4.51040872942674","36.681245678531","30.1651406258139",0.735846197097849,1,0.195578633744501
"PDE4B",0.159718061385996,"1.32759273032606","1.6204292209847","134.531997917336","86.7942255331704",0.519911101663295,1,0.438261980140853
"GNG12-AS1",0.220727421266617,"4.76017469944726","4.56113247167179","21.0466862517737","16.7766769315232",0.548988714432355,1,0.226753481044412
"GBP2",0.307069422940623,"1.24667022434823","1.56260684166293","11.8682780396917","8.02869201441552",0.581484340812188,1,0.390847502512266
"DPYD",0.100808098510124,"1.1560459627688","0.887880375929709","350.20808837314","206.656729247245",0.519911101663295,1,0.527468412097193
"DPYD-AS1",0.312579343197112,"0.529349706569506","6.24209689986927","17.0668416906381","9.99658048688206",0.581484340812188,1,0.534894415432023
"FP700111.1",0.233031170018962,"4.90730695064841","4.63808287863448","12.3609541944732","8.84905582717838",0.556074138501625,1,0.334231882115932
"S100A11",0.108932885099628,"1.53145294509461","2.20931601055335","12.1223631735177","16.6560828257993",0.519911101663295,1,-0.31772354164263
"S100A9",0.11461834270055,"1.2372386907598","2.09213082674452","14.768123680974","13.2232101309287",0.519911101663295,1,0.110497423887204
"S100A8",0.576046369018678,"1.40193149996887","1.86560720491978","14.8694217205204","13.8800709068454",0.750020104628346,1,0.0688528070845727
"FCGR2A",0.337594781362479,"1.4540901822526","1.66735357971822","53.4677228467462","40.6962594584252",0.581484340812188,1,0.272941977534099
"HSPA6",0.638719511899787,"1.36534650273668","1.72245633466454","11.4567395196804","10.8711511514033",0.791284568220914,1,0.0524655639605938
"NIBAN1",0.584749283404939,"1.36302888716544","1.5090299128289","81.2129374332797","61.1999116583928",0.751267291261975,1,0.282928816445406
"MIR181A1HG",0.474049102293571,"1.29702632734384","1.17608574703695","60.1679887204424","36.4162985965014",0.669985560391622,1,0.502124023989748
"CHI3L1",0.041468153040465,"1.44134140619527","1.62249353899256","13.5285005651083","4.35305915078664",0.461346940043544,1,1.13391976207499
"IKBKE",0.0414930619139455,"1.45496988520573","1.81304844835242","14.1935656816501","7.78016173622241",0.461346940043544,1,0.60121161421456
"CD55",0.429298564080696,"1.30498614562411","1.40526574830152","17.8160519786457","9.99204701772972",0.627830243975934,1,0.578310369127343
"PROX1",0.400836016225911,"1.39572877794091","1.44989468802912","7.51761650657616","4.97752835817111",0.61230068620336,1,0.412315679596565
"CHRM3",0.324019054926346,"5.42990818250487","5.80887886893901","13.7051868496191","16.3286003117154",0.581484340812188,1,-0.175143827271003
"KIF26B",0.698002882382241,"4.71635148496255","4.91365631680757","33.2901597423183","31.4499596233229",0.820682176861544,1,0.056864150774514
"TBC1D8",0.21930139428971,"1.26705751878401","1.16459692704257","76.7016809791748","48.4658571437063",0.548988714432355,1,0.459064050802298
"RNF149",0.187596789259952,"1.37220259940562","1.31158573195567","157.754941306996","87.8484518882622",0.519911101663295,1,0.585429632327283
