"Gene_Symbols","p_val","BHQ","Bonf"
"SYNC",0.694033969972591,0.958952056035447,1
"YBX1",0.91607168214789,0.958952056035447,1
"PLXNA2",0.0587200691094195,0.725923862942334,1
"PDIA6",0.82732010295358,0.958952056035447,1
"OST4",0.700400495359827,0.958952056035447,1
"STEAP3",0.137464214236684,0.862275525666472,1
"GALNT13",0.378839717273398,0.958952056035447,1
"ENTPD3-AS1",0.224104002737098,0.958952056035447,1
"CDCP1",0.81123991110867,0.958952056035447,1
"MANF",0.682631837741778,0.958952056035447,1
"SUCLG2-AS1",0.915353829245609,0.958952056035447,1
"TAFA1",0.786588735049061,0.958952056035447,1
"CLSTN2",0.791201152799627,0.958952056035447,1
"ECT2",0.863979516641134,0.958952056035447,1
"KCNMB2",0.461898699939719,0.958952056035447,1
"PIGX",0.45186183140978,0.958952056035447,1
"SGCB",0.412103173443639,0.958952056035447,1
"SNHG8",0.509386622074804,0.958952056035447,1
"FGF2",0.487331563422147,0.958952056035447,1
"RPS3A",0.1776081866218,0.931822645751526,1
"HCN1",0.105156394611754,0.764617340023544,1
"UQCRQ",0.956981282644171,0.966677806381486,1
"CYSTM1",0.917258488381732,0.958952056035447,1
"RPS10",0.5636536236546,0.958952056035447,1
"TRERF1",0.348499552367249,0.958952056035447,1
"OPRM1",0.0395391131090733,0.725923862942334,1
"ABCB4",0.428522930117081,0.958952056035447,1
"SGCE",0.447206316953736,0.958952056035447,1
"FMC1",0.240325660307122,0.958952056035447,1
"MGAM",0.073644449863715,0.725923862942334,1
"CLEC5A",0.434803062384013,0.958952056035447,1
"SLC4A2",0.966677806381486,0.966677806381486,1
"ADHFE1",0.521066362418031,0.958952056035447,1
"RIMS2",0.0547530441987334,0.725923862942334,1
"CBWD3",0.368059813820233,0.958952056035447,1
"RPL12",0.780330878299984,0.958952056035447,1
"SORCS3",0.301845026125362,0.958952056035447,1
"ENO4",0.110814107249789,0.764617340023544,1
"IFITM3",0.792554883141982,0.958952056035447,1
"RPS13",0.189065464355382,0.931822645751526,1
"CDK2AP2",0.747288404391294,0.958952056035447,1
"TIMM8B",0.611527271361185,0.958952056035447,1
"WNT5B",0.439899722930417,0.958952056035447,1
"CLEC1A",0.737641323910836,0.958952056035447,1
"ARHGAP9",0.88331090462003,0.958952056035447,1
"HSP90B1",0.843853483096649,0.958952056035447,1
"SRRM4",0.153618890107926,0.883308618120575,1
"RNASEH2B-AS1",0.890133057418472,0.958952056035447,1
"FGF14",0.0591553591328115,0.725923862942334,1
"LRFN5",0.0630869503682935,0.725923862942334,1
"RPS29",0.724235906452891,0.958952056035447,1
"NOP10",0.495211397932795,0.958952056035447,1
"RAB27A",0.0899916185419752,0.764617340023544,1
"PPIB",0.932762563894415,0.960606222518129,1
"RPLP1",0.645424011601129,0.958952056035447,1
"ADAMTS17",0.815165685165097,0.958952056035447,1
"RPS2",0.866517343097285,0.958952056035447,1
"RPS15A",0.376608080711803,0.958952056035447,1
"RPL26",0.252961269297158,0.958952056035447,1
"STAT5A",0.0677418512335284,0.725923862942334,1
"RTTN",0.802228879603598,0.958952056035447,1
"RPL18A",0.657609143982725,0.958952056035447,1
"ZNF420",0.692015284616423,0.958952056035447,1
"RPS16",0.755674024149316,0.958952056035447,1
"RPS19",0.528039881627243,0.958952056035447,1
"TMSB4X",0.433573731707739,0.958952056035447,1
"DIAPH2-AS1",0.298355475937686,0.958952056035447,1
"RPL36A",0.665008067341369,0.958952056035447,1
"RPL39",0.657194376975615,0.958952056035447,1
