"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","amplitude_braak0to3","amplitude_braak3to5","amplitude_braak5to7","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"CFAP74","0.428662506019747","0.99572101763754","0.913674550093727","4.33540342085265","4.12933050305206","4.46536775442271","4.57605944983832","4.36303873368773","4.33685046863386","4.42208922183267","4.27726154578496","4.4777808062207","12.2436538711348","3.81158155299225","10.3903823582366","12.9843356838802","8.86864630258973","8.98761669164177","11.4739682498312","9.26007711688833","7.59113447506746",0.764641226954143,1,0.999575337397649,1,0.999904816274683,1
"PLEKHG5","0.254225000488378","0.0229440418013143","0.520846828243653","4.43096917137888","4.89379823421611","4.47541856682971","4.29657788947899","4.59407510317005","4.02219797934008","4.82056354388901","4.28941809580662","4.80829513259909","5.49230086080886","3.66890892796549","8.54253910519417","12.7112509827591","8.19513077037345","3.3457255142999","5.1480868723534","6.61081322869626","7.35425705664074",0.663805692159234,1,0.908584055332046,1,0.999904816274683,1
"PER3","0.365878934826276","0.641503225375132","0.620681706248299","4.73153113911899","5.12759164123983","4.49136386651614","5.00584959745396","4.69180526356077","4.85217011836887","4.7705521362557","4.68542140667781","4.8517688806592","23.4922416058927","24.7515980007237","26.4336660213265","25.4280770517989","25.0917496697162","22.4418567563997","21.8714311134681","22.6860781569889","31.8857760557408",0.7290200198786,1,0.999575337397649,1,0.999904816274683,1
"PLOD1","0.741092450856554","0.737578273710515","0.988350125397587","1.91761188037743","1.55199130014798","1.60803748971009","0.126409217592306","1.85774436273455","1.54360940818331","1.71375650299182","1.73849333271753","1.8297730083933","4.92549570692316","2.31375237629834","3.06177168365084","1.9055058536101","3.44455529148052","3.54111305324705","4.41662393767626","3.40680831334118","3.31363409044132",0.886624201024759,1,0.999575337397649,1,0.999904816274683,1
"TNFRSF1B","0.408797682135071","0.927980625957811","0.938109091819822","1.81541343744876","1.71122530126543","1.50880679875788","1.40228600834524","1.61845242192357","1.59599097353732","1.25938822078002","1.66845951339462","1.62639390826117","24.2750579992663","73.3151925172","49.5229391755788","102.886483155649","44.9253981412008","52.6596842738355","37.2917173713871","54.4139444810824","43.6322818990124",0.748964210201451,1,0.999575337397649,1,0.999904816274683,1
"KAZN","0.0419896300677369","0.653726381973359","0.243119894192335","5.96268792567364","5.21207893540324","5.39312029491772","3.81997719632533","5.56303665095902","5.73643749246989","5.6562515579154","5.60553225485957","5.69903915762714","31.6304633066314","16.3236830952117","18.6759159565681","12.9408877406919","19.6648938555771","24.2903137624987","39.4533528021082","17.1553785567707","21.4766636679605",0.326037127584781,1,0.999575337397649,1,0.999904816274683,1
"MICOS10","0.703896688384125","0.41841978379486","0.763490433139976","4.28766405977915","4.61941576871924","4.34974269960389","4.82479056826986","4.41448369545664","4.33029632241023","4.36901238237669","4.34761600154665","4.49366774133045","64.6702147607799","49.6887574605236","76.0266929332584","113.456579939693","55.3275841120762","75.2373915779547","86.2856020422308","64.9147893157098","52.3711491335786",0.883096383288432,1,0.999575337397649,1,0.999904816274683,1
"C1QA","0.911618892243145","0.940002600124971","0.670906720949651","2.1379812271234","2.40476514311982","2.07723706541957","1.89127857751625","2.19882417184532","2.11499938152498","2.39769353330039","2.10115452039912","2.38599321072102","45.9101835725074","50.717562831912","40.6669913136915","39.654351904967","43.9091431248335","44.5190128607985","34.5797203237886","49.2637519758248","39.1404091881966",0.963866822945798,1,0.999575337397649,1,0.999904816274683,1
"C1QC","0.857746413300713","0.934518766278227","0.864423610588704","2.19393518010447","2.34957346929076","1.98271213919063","1.57344845716101","2.10737694208126","2.19920473235367","2.25948672529344","2.0404365544709","2.34179363820147","48.8296023304417","44.0796537434977","41.121144879457","35.7931090619156","42.9224084990803","42.3996175133064","39.5095233394434","43.6388473097387","44.9046924855881",0.942212426260977,1,0.999575337397649,1,0.999904816274683,1
"C1QB","0.945970551538193","0.896818273801195","0.720291123835518","2.04253206451349","2.25995533077795","1.99918846488906","1.80940330094871","2.08920285557138","1.96108026412444","2.09270177563206","1.97697758967936","2.32596429748158","82.1592455698415","71.3452805089298","66.1150273928078","100.49238650078","73.1152236042262","73.0715058624388","50.3941468494753","80.2239620951817","71.2807457272092",0.979357747474835,1,0.999575337397649,1,0.999904816274683,1
