"Gene_Symbols","p_val","acrophase_Male","acrophase_Female","amplitude_Male","amplitude_Female","BHQ","Bonf","Log_Male_Female_ampRatio"
"CFAP74",0.897411970055947,"4.44284586630443","4.25061381288096","9.35723253866261","8.83584757957368",0.977707041174183,1,0.0573325423505034
"PER3",2.47153530749593e-05,"4.57739160434452","5.29444753062097","41.9295100400661","15.7440398366789",0.0124565379497795,0.0124565379497795,0.979528005342816
"PLOD1",0.619472167898546,"1.75842974836793","1.85428500756575","4.95668238195427","3.10685940413842",0.91810136169814,1,0.467124264270712
"TNFRSF1B",0.9992235038314,"1.80671205721058","1.78635163794035","44.0702037832218","44.520179839985",0.9992235038314,1,-0.0101586630080703
"KAZN",0.0193529049211867,"5.12607578873804","6.062951320219","25.3216451771479","28.9077481924005",0.3520799664882,1,-0.132450092162372
"MICOS10",0.327060424710221,"4.3326569937448","4.52165774596517","78.2127863252851","48.6331430144741",0.781224900729627,1,0.475127888670152
"C1QA",0.180668738469426,"1.96547826156776","2.35209180910763","32.3923030734155","56.455682943476",0.583577724319051,1,-0.555535122575268
"C1QC",0.0526766529079309,"1.80542268181081","2.38634367809102","29.1237434383483","58.7432491324984",0.420064787705018,1,-0.70162247083134
"C1QB",0.243718179548649,"1.72518947190449","2.30014607205238","64.7836934337039","88.0497376686016",0.666972825855425,1,-0.306847928443147
"RCAN3",0.554176223583282,"5.23243741501853","5.05717210323788","6.0795167760806","4.33181278743119",0.882942068397438,1,0.338939103194129
"CLIC4",0.373752872560876,"1.52712831471343","1.51486772886051","11.4374135250874","5.90851547604796",0.790020422561285,1,0.660495258546029
"FGR",0.750397633111216,"0.95663898886111","1.19624617466643","5.99241565934052","3.82224879520939",0.961441533474725,1,0.449655673603834
"LAPTM5",0.100330877532001,"2.36077575891738","2.4409809689591","39.4083274598126","74.7098904719612",0.463915250239711,1,-0.639635335124875
"AZIN2",0.0863910265372008,"4.34224019891477","4.6794076406326","39.5521169772794","25.8004284929351",0.441519824780958,1,0.427228119344516
"OSCP1",0.924045745006008,"4.92659613389137","4.76282060931881","4.34592176253338","4.15148366728172",0.977707041174183,1,0.045772098954526
"AGBL4",0.158641591206104,"5.24142173043667","5.81982190626183","15.5766334815534","21.7584660757994",0.566749860360419,1,-0.33423098905835
"ACOT11",0.732452576482759,"0.0308883274922702","0.231805988072637","3.3428209241388","5.12905044407024",0.961344006633621,1,-0.428105504837715
"LEPR",0.717540049946545,"1.6427162563881","1.33031730163744","15.4496176401762","15.8575590117092",0.955052261408782,1,-0.0260620410654625
"PDE4B",0.599092802258466,"1.94457846664646","1.48805448370853","80.0767282518189","92.5719977636623",0.90680553266991,1,-0.145001417783527
"GNG12-AS1",0.357738526547879,"4.36496476750043","4.69774502101488","17.8925572180126","16.6502188419551",0.787337193799699,1,0.0719614685013689
