GENE_SYMBOLS,refseq_ids
LRP8,NM_001018054
ANKRD55,NM_001039935
SPRY4-AS1,NR_120664
SPRY4,NM_001127496
SHC3,NM_016848
SPRED1,NM_152594
RND3,NM_001254738
SPRED2,NM_001128210
SCN2B,NM_004588
ETV5,NM_004454
RPS6KA5,NM_001322227
THY1,NM_001311160
PGAM1,NM_001317079
SPRED3,NM_001039616
COPS7A,NM_001164093
PNMA8A,NM_001103149
MOAP1,NM_022151
SULT4A1,NM_014351
CCDC184,NM_001013635
ATP6V0E2,NM_001100592
NSG1,NM_001040101
RPP25,NM_017793
RETREG2,NM_001321109
CAMK2N2,NM_033259
SLC32A1,NM_080552
CKMT2,NM_001099735
RIMBP2,NM_001351226
TCEAL7,NM_001348258
ARL4C,NM_001282431
SYT13,NM_001247987
PSAP,NM_001042465
NCBP2AS2,NM_001355243
BEX4,NM_001080425
TGOLN2,NM_001206840
SARAF,NM_001284239
RASGRF2,NM_006909
RASGRF2-AS1,NR_105015
NAP1L5,NM_153757
CDIPT,NM_001286585
N4BP2,NM_001318359
SALL2,NM_001291446
PRPS1,NM_001204402
PNMA1,NM_006029
TMEM221,NM_001190844
ARL6IP5,NM_006407
RRAGA,NM_006570
ETS1,NM_001143820
VDAC1,NM_001401008
MAP1LC3B,NM_022818
KCTD13,NM_001410898
CD59,NM_000611
CYCS,NM_018947
DYNLL2,NM_080677
ATP6V1B2,NM_001693
ATP6AP2,NM_005765
HSBP1,NM_001537
ATP6AP1,NM_001183
TMED2,NM_001321445
PITPNC1,NM_012417
TCIM,NM_020130
NFE2L1,NM_001330261
C4orf3,NM_001001701
SLC25A5,NM_001152
TBCC,NM_003192
RAB3A,NM_002866
ATP6V1G1,NM_004888
PITHD1,NM_020362
PINK1,NM_032409
UBE2S,NM_014501
TMEM35A,NM_021637
LRRC47,NM_020710
ATP1A3,NM_001256213
C18orf32,NM_001035005
OIP5-AS1,NR_026757
MAGEF1,NM_022149
LDHA,NM_001135239
DUSP4,NM_001394
RND2,NM_005440
BEST3,NM_001282613
CALM3,NM_001329921
SERINC1,NM_020755
ZNF641,NM_001172681
SEPHS2,NM_012248
PSMD8,NM_002812
CRH,NM_000756
ISCU,NM_001301140
AP2M1,NM_001025205
GLRX5,NM_016417
SELENOH,NM_001321335
MAGEH1,NM_014061
DEXI,NM_014015
LAMTOR1,NM_017907
TIMP2,NM_003255
CCNI,NM_001348132
RAN,NM_001300796
SET,NM_001122821
PDXP,NM_020315
PKM,NM_001206796
TRIM67,NM_001004342
FKBP4,NM_002014
ACTG1,NM_001199954
CBLN4,NM_080617
MIEF1,NM_001304564
LGI2,NM_018176
EIF3I,NM_001394168
SRSF9,NM_003769
HNRNPA0,NM_006805
TAF7,NM_005642
PARD6A,NM_001037281
KBTBD6,NM_152903
NDUFB5,NM_001199957
OTUB1,NM_017670
