GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
SPRY4-AS1,NR_120664
ANKRD55,NM_001039935
SPRY4,NM_001127496
LRP8,NM_001018054
THY1,NM_001311160
PGAM1,NM_001317079
SHC3,NM_016848
SPRED2,NM_001128210
MOAP1,NM_022151
COPS7A,NM_001164093
SCN2B,NM_004588
RPP25,NM_017793
CCDC184,NM_001013635
SULT4A1,NM_014351
PER2,NM_003894
SPRED1,NM_152594
ATP6V0E2,NM_001100592
PNMA8A,NM_001103149
SLC32A1,NM_080552
RND3,NM_001254738
CAMK2N2,NM_033259
TCEAL7,NM_001348258
RPS6KA5,NM_001322227
NCBP2AS2,NM_001355243
NSG1,NM_001040101
BEX4,NM_001080425
ARL4C,NM_001282431
TBCC,NM_003192
CYCS,NM_018947
SLC25A5,NM_001152
ATP6V1G1,NM_004888
SARAF,NM_001284239
ATP6V1B2,NM_001693
RETREG2,NM_001321109
RND2,NM_005440
PRPS1,NM_001204402
RRAGA,NM_006570
ATP6AP2,NM_005765
VDAC1,NM_001401008
LDHA,NM_001135239
SPRED3,NM_001039616
ATP1A3,NM_001256213
NAP1L5,NM_153757
DEXI,NM_014015
CDIPT,NM_001286585
ARL6IP5,NM_006407
PNMA1,NM_006029
SYT13,NM_001247987
CD59,NM_000611
FKBP4,NM_002014
TGOLN2,NM_001206840
MAGEF1,NM_022149
SALL2,NM_001291446
HSBP1,NM_001537
PINK1,NM_032409
ISCU,NM_001301140
MAP1LC3B,NM_022818
PKM,NM_001206796
NDUFB5,NM_001199957
TCIM,NM_020130
SEPHS2,NM_012248
C18orf32,NM_001035005
EIF3I,NM_001394168
RAB3A,NM_002866
ALDOC,NM_005165
DYNLL2,NM_080677
RTL6,NM_032287
DUSP4,NM_001394
CRH,NM_000756
GLRX5,NM_016417
PSAP,NM_001042465
UBE2S,NM_014501
SELENOH,NM_001321335
PSMD8,NM_002812
LAMTOR1,NM_017907
CALM3,NM_001329921
LRRC47,NM_020710
SET,NM_001122821
GOT1,NM_002079
TOMM22,NM_020243
AP2M1,NM_001025205
DIRAS1,NM_145173
TMEM35A,NM_021637
ENDOG,NM_004435
MRPL57,NM_024026
RAN,NM_001300796
CBLN4,NM_080617
MAGEH1,NM_014061
N4BP2,NM_001318359
ERH,NM_004450
NFE2L1,NM_001330261
FNDC4,NM_022823
PITHD1,NM_020362
C4orf3,NM_001001701
ATP6V1F,NM_001198909
ATP6AP1,NM_001183
SERINC1,NM_020755
TMEM203,NM_053045
TOMM5,NM_001001790
PDXP,NM_020315
CCNI,NM_001348132
LAMTOR5,NM_001382293
TCEAL8,NM_001006684
SPRYD3,NM_032840
TAF13,NM_005645
TIMP2,NM_003255
LGI2,NM_018176
ACTG1,NM_001199954
RASGRF2-AS1,NR_105015
VBP1,NM_001303543
TMED2,NM_001321445
TMEM221,NM_001190844
COPZ1,NM_001271734
SRSF9,NM_003769
CKMT2,NM_001099735
OIP5-AS1,NR_026757
CDKN2AIPNL,NM_080656
TIMM10B,NM_012192
C1orf216,NM_001348691
MRPL35,NM_001363782
PPP1CC,NM_001244974
PRKAR1A,NM_001276289
OTUD6B-AS1,NR_110438
ARMCX3,NM_016607
SLC25A4,NM_001151
UQCR10,NM_001003684
STMN3,NM_001276310
SRP9,NM_001130440
AHCY,NM_000687
OTUB1,NM_017670
PARD6A,NM_001037281
TMEM167A,NM_174909
MRPS24,NM_032014
UQCRH,NM_001297565
FGF1,NM_000800
PSMB10,NM_002801
CCDC85B,NM_006848
ARL4D,NM_001661
WBP2,NM_001330499
MIEF1,NM_001304564
GSK3A,NM_019884
HNRNPA0,NM_006805
BEST3,NM_001282613
MANBAL,NM_001003897
EIF4H,NM_022170
PCP4L1,NM_001102566
EIF1B,NM_005875
CALR,NM_004343
CSTF2T,NM_015235
ATP6V0C,NM_001198569
MRPS7,NM_015971
DDIT3,NM_001195053
SELENOM,NM_080430
HAX1,NM_001018837
TAF7,NM_005642
ERP29,NM_001034025
SRXN1,NM_080725
PEG13,NR_144431
TPRG1L,NM_182752
SF3A1,NM_001005409
PNMA2,NM_007257
SNAPC5,NM_001329613
NDN,NM_002487
SPCS1,NM_014041
VDAC2,NM_001184783
INSYN1,NM_001039614
SSR2,NM_003145
NECAP1,NM_015509
MAGEE1,NM_020932
HEIH,NR_045680
CHRM5,NM_001320917
MRPS12,NM_021107
RHOBTB1,NM_001242359
NGRN,NM_001033088
ETS1,NM_001143820
ATP1B1,NM_001001787
EIF4G2,NM_001042559
ITM2C,NM_001012514
NOLC1,NM_001284388
PRELID1,NM_001271828
ATP5F1B,NM_001686
CYC1,NM_001916
GABARAPL1,NM_001363598
DYNLT3,NM_006520
XBP1,NM_001079539
KBTBD6,NM_152903
TXN2,NM_012473
SPINT2,NM_001166103
POLE3,NM_001278255
RPL15,NM_001253379
MRFAP1,NM_001272053
ENO2,NM_001975
TIMM17A,NM_006335
PYURF,NM_032906
CD81,NM_001297649
SELENOW,NM_003009
RGS4,NM_001102445
MTFP1,NM_001003704
ENO1,NM_001201483
TMA7,NM_001329417
EEF1G,NM_001404
AGPAT1,NM_001371437
RNF6,NM_005977
CALM1,NM_001166106
BTF3,NM_001037637
BCAP31,NM_001139441
OAZ1,NM_001301020
C22orf39,NM_001166242
ATXN7L3B,NM_001136262
RNASEK,NM_001004333
PHB,NA
CHCHD2,NM_001320327
FNDC5,NM_001171940
FAM32A,NM_014077
ATP6V0B,NM_001039457
WDR1,NM_005112
DNAJB9,NM_012328
SNU13,NM_001003796
MTLN,NM_001355251
USP5,NM_001098536
GPX4,NM_001039847
POLR2K,NM_005034
SEZ6L2,NM_001114099
H3F3B,NA
RPS19BP1,NM_194326
RSL24D1,NM_016304
SRP14,NM_001309434
EIF4A2,NM_001967
GMPR2,NM_001002000
IMP4,NM_001320304
C6orf120,NM_001029863
ARF3,NM_001412914
PDE10A,NM_001130690
H1F0,NA
SNX17,NM_001267059
POLR2E,NM_001316323
NEU1,NM_000434
CDKN1B,NM_004064
TUSC2,NM_007275
THAP5,NM_001130475
COPS8,NM_006710
TPI1,NM_000365
COA3,NM_001040431
SLC26A4-AS1,NR_028137
EEF2,NM_001961
PPIF,NM_005729
PNMA8B,NM_020709
FAIM2,NM_012306
COX14,NM_001257133
ADAMTS9-AS2,NR_038264
NDUFA6,NM_002490
RRS1,NM_015169
KCNAB1,NM_001308217
MRPS17,NM_015969
HELLPAR,NA
RANBP6,NM_001243202
SEC61G,NM_001012456
SLC25A3,NM_002635
LSM4,NM_001252129
PHLDA1,NM_007350
EFNA3,NM_004952
ALDH1B1,NM_000692
PNMA8C,NM_001386793
EMC4,NM_001286420
MRPL17,NM_022061
CEND1,NM_016564
RPS28,NM_001031
TOMM20,NM_014765
BEX1,NM_018476
BEX2,NM_001168399
NORAD,NR_027451
EIF1,NM_005801
MRPL40,NM_001318151
EMC6,NM_001014764
DUSP10,NM_007207
TLE5,NM_001130
CCDC115,NM_001321118
MZT1,NM_001071775
GHITM,NM_014394
TRIM67,NM_001004342
PGK1,NM_000291
GRINA,NM_000837
NEIL2,NM_001135746
PCSK1N,NM_013271
DBNDD2,NM_001048221
TM2D2,NM_001024380
GAD1,NM_000817
SMIM29,NM_001008703
PRKAG2-AS1,NR_038926
GET3,NM_001371488
PNPO,NM_018129
GABARAP,NM_007278
FARSA,NM_004461
UQCRFS1,NM_006003
RPS2,NM_002952
DDT,NM_001084392
TRNP1,NM_001013642
CFL2,NM_001243645
ARF6,NM_001663
TMEM160,NM_017854
BCL7B,NM_001197244
MAP1LC3A,NM_032514
YWHAG,NM_012479
TTPAL,NM_001039199
BEX3,NM_001282674
GAPDH,NM_001256799
SPRY2,NM_001318536
RFK,NM_018339
PRNP,NM_000311
HSP90AA1,NM_001017963
CHGB,NM_001819
ATP5MF,NM_001003713
CCT7,NM_001009570
RAB1B,NM_030981
C20orf27,NA
PELI3,NM_001098510
UQCRB,NM_001199975
LSM7,NM_016199
SNRNP25,NM_024571
MARCKSL1,NM_023009
HDDC3,NM_001286451
AIP,NM_001302959
STX18-AS1,NR_037888
PLEKHB2,NM_001031706
SNX12,NM_001256185
EMC7,NM_020154
H2AFZ,NA
TUSC1,NM_001004125
IRF2BP1,NM_015649
TMSB4X,NM_021109
PTGES2,NM_001256335
SELENOK,NM_021237
TOMM6,NM_001134493
FITM2,NM_001080472
TINF2,NM_001099274
YPEL3,NM_001145524
FAM43B,NM_207334
MEF2C-AS2,NR_146284
SYN3,NM_001135774
VAMP1,NM_001297438
NDUFB10,NM_004548
BANF1,NM_001143985
RPSA,NM_001304288
NDUFA4,NM_002489
B4GAT1,NM_006876
BAG1,NM_001172415
ADGRV1,NM_032119
CHCHD1,NM_203298
NOP10,NM_018648
TMEM70,NM_001040613
BAX,NM_001291428
COMMD8,NM_001329668
ZNF641,NM_001172681
HIST3H2A,NA
SKP1,NM_006930
SDHAF1,NM_001042631
SMDT1,NM_033318
ILF2,NM_001267809
MRPS34,NM_001300900
NDUFAF4,NM_014165
RPLP0,NM_001002
CKB,NM_001362531
HSD17B12,NM_016142
RNF187,NM_001010858
ATP5MC1,NM_001002027
MRPL49,NM_004927
UQCC3,NM_001085372
EIF1AX,NM_001412
NDRG4,NM_001130487
NAT8L,NM_178557
GABARAPL2,NM_007285
ATP5PF,NM_001003696
BTBD6,NM_001387567
RPL18,NM_000979
PHLDA3,NM_012396
ZCCHC12,NM_001312891
MAFB,NM_005461
PRDX5,NM_001358511
SNHG32,NM_001040437
RAB5IF,NM_001199534
YWHAB,NM_003404
NDUFB11,NM_001135998
RPS13,NM_001017
LIN7C,NM_018362
IGIP,NM_001007189
TSC22D3,NM_001015881
MAT2B,NM_013283
RGS8,NM_001102450
TCEAL2,NM_080390
ANKRD34A,NM_001039888
ATP6V1E1,NM_001039366
TUBGCP4,NM_001286414
CHCHD10,NM_001301339
ISOC2,NM_001136201
BOLA3,NM_001035505
SERF2,NM_001018108
PEG10,NM_001040152
TCP1,NM_001008897
KAT5,NM_001206833
ZNF770,NM_014106
FRMPD1,NM_001371223
TIMM13,NM_012458
OAT,NM_000274
CALM2,NM_001305624
ATP6V1G2,NM_001204078
C12orf10,NA
ZNF428,NM_182498
MDH2,NM_001282403
POP7,NM_005837
SLC25A6,NM_001636
MRPL34,NM_001382342
HSPA5,NM_005347
C16orf91,NA
TMEM141,NM_032928
JAGN1,NM_001363890
SUMO2,NM_001005849
FLRT1,NM_001384466
NDUFA7,NM_005001
EIF5A2,NM_020390
UBA52,NM_001033930
WASF3-AS1,NA
NDUFC1,NM_001184986
MPI,NM_001289155
DAZAP2,NM_001136264
UBL4A,NM_014235
TSPYL5,NM_033512
DNAL4,NM_005740
COX7C,NM_001867
NDUFA13,NM_015965
RPL7A,NM_000972
LGI3,NM_139278
CHST2,NM_004267
DUBR,NR_028301
NUDT15,NM_001304745
MYL12B,NM_001144944
VEGFB,NM_001243733
ACP2,NM_001131064
HECW1,NM_001287059
POLR2I,NM_006233
BEX5,NM_001012978
BPGM,NM_001293085
HRAS,NM_001130442
STOML2,NM_001287031
COX4I1,NM_001318786
COA7,NM_023077
NAP1L2,NM_021963
ARHGDIG,NM_001176
YWHAH,NM_003405
SSNA1,NM_003731
INAFM1,NM_178511
RPLP2,NM_001004
ATP5MC3,NM_001002256
AAMP,NM_001087
GTF2IRD1,NM_001199207
NOP9,NM_001286367
DCTN3,NM_001281425
STUB1,NM_001293197
CYSTM1,NM_032412
ATP5IF1,NM_016311
PEX19,NM_001131039
SCG2,NM_003469
SHC4,NM_203349
MRFAP1L1,NM_152301
ELOB,NM_007108
SNRPE,NM_001304464
ATP5MPL,NA
VIP,NM_003381
MRPL54,NM_172251
KCTD17,NM_001282684
MRPL9,NM_001300733
ARHGAP18,NM_033515
PPP1R14B,NM_138689
UBE2L6,NM_004223
EVA1C,NM_001286556
ISCA2,NM_001272007
SLC39A7,NM_001077516
RPS15,NM_001018
PPCDC,NM_001301101
ARL6IP1,NM_001313858
FAU,NM_001997
PNMA6A,NM_032882
H3F3A,NA
TIMM8B,NM_012459
PMM2,NM_000303
ADO,NM_032804
FBXL15,NM_001387294
RPS16,NM_001020
TUBA1A,NM_001270399
RPL8,NM_000973
