GENE_SYMBOLS,refseq_ids
TCEAL8,NM_001006684
NCBP2AS2,NM_001355243
DDT,NM_001084392
COX14,NM_001257133
EMC6,NM_001014764
COPS7A,NM_001164093
RPP25,NM_017793
NDUFB11,NM_001135998
TCEAL7,NM_001348258
SLC25A5,NM_001152
IGFBP5,NM_000599
CYCS,NM_018947
MRPL54,NM_172251
CORT,NM_001302
ETS1,NM_001143820
CBLN4,NM_080617
MAP3K20-AS1,NR_033882
CRH,NM_000756
MAFF,NM_001161572
CCDC178,NM_001105528
UBE2S,NM_014501
SPRED2,NM_001128210
NAP1L5,NM_153757
MSMO1,NM_001017369
CCDC184,NM_001013635
SCNN1G,NM_001039
SLC32A1,NM_080552
