GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
ATP5IF1,NM_016311
SNRPG,NM_001317165
NDUFC1,NM_001184986
UQCRQ,NM_014402
COX7A2,NM_001366292
ATP5MF,NM_001003713
ATP5MD,NA
TMEM258,NM_014206
CWC15,NM_001363371
DDIT3,NM_001195053
DDT,NM_001084392
TCEAL8,NM_001006684
NCBP2AS2,NM_001355243
ATOX1,NM_004045
SELENOH,NM_001321335
PSMB10,NM_002801
LAMTOR5,NM_001382293
PCP4L1,NM_001102566
NDUFS6,NM_004553
CHCHD2,NM_001320327
NDUFB2,NM_004546
COX6C,NM_004374
TMEM141,NM_032928
COX14,NM_001257133
MRPL57,NM_024026
PITPNA-AS1,NR_028514
LSM7,NM_016199
COX6B1,NM_001863
UQCR10,NM_001003684
LAGE3,NM_006014
MTLN,NM_001355251
SPCS1,NM_014041
IFI27L2,NM_032036
ATP5F1E,NM_006886
URB1-AS1,NM_032910
TIMM8B,NM_012459
MRPL40,NM_001318151
RPLP2,NM_001004
COX5B,NM_001862
MRPS17,NM_015969
POLR2K,NM_005034
EMC6,NM_001014764
ATP5PF,NM_001003696
BCL9L,NM_001378213
ELOB,NM_007108
C18orf32,NM_001035005
NPY1R,NM_000909
TOMM6,NM_001134493
ATP5MC1,NM_001002027
MRPS24,NM_032014
ENDOG,NM_004435
POLR2I,NM_006233
COX4I1,NM_001318786
OTUD6B-AS1,NR_110438
ATP5PO,NM_001697
NDUFA4,NM_002489
HDDC3,NM_001286451
SEC61G,NM_001012456
CEP41,NM_001257158
HINT2,NM_032593
NDUFA12,NM_001258338
POMP,NM_015932
UQCR11,NM_006830
ILF3-DT,NM_203300
NDUFB7,NM_004146
NDUFA6,NM_002490
OR6A2,NM_003696
MRPL21,NM_181512
ERLEC1,NM_001127397
TMA7,NM_001329417
MYL6B,NM_001199629
SLC25A5,NM_001152
NEDD8,NM_006156
ATP5MPL,NA
PHPT1,NM_001135860
COX7B,NM_001866
MOB3B,NM_024761
COPS7A,NM_001164093
NDUFS5,NM_001184979
NDUFA5,NM_001282419
CHKA,NM_001277
GADD45GIP1,NM_052850
NDUFA13,NM_015965
TMEM160,NM_017854
BAX,NM_001291428
RANBP1,NM_001278639
