GENE_SYMBOLS,refseq_ids
NFE2L1,NM_001330261
EGR3,NM_001199880
VSTM2L,NM_080607
SEPHS2,NM_012248
ANO4,NM_001286615
ATP6V0E2,NM_001100592
CHN1,NM_001025201
C14orf132,NM_001252507
PCCA,NM_000282
STARD7,NM_001385622
ATXN7L3B,NM_001136262
ATP8A2,NM_001313741
DANT2,NR_130730
COPS8,NM_006710
CIPC,NM_033426
CDKN2D,NM_001800
NR2F6,NM_005234
ZMAT2,NM_144723
FAM131B,NM_001031690
HMGA1,NM_001319077
STUB1,NM_001293197
RAB3A,NM_002866
WDR70,NM_001345998
ATP6V1G1,NM_004888
UBXN6,NM_001171091
ARHGEF11,NM_001377418
VDAC1,NM_001401008
MAGEE1,NM_020932
RAB14,NM_016322
FAF1,NM_007051
TBC1D19,NM_001292054
CANX,NM_001024649
RSL1D1,NM_015659
FRMD4A,NM_001318336
BTBD6,NM_001387567
OIP5-AS1,NR_026757
AP1S1,NM_001283
MAL2,NM_052886
TMED2,NM_001321445
CCDC85B,NM_006848
MRPL35,NM_001363782
NAPB,NM_001283018
ZNF483,NM_001007169
YPEL3,NM_001145524
SUMO3,NM_001286416
STMN4,NM_001283053
FAM131A,NM_001171093
SYNGR3,NM_004209
TMEM248,NM_017994
SPOCK2,NM_001134434
PTMA,NM_001099285
TRIM23,NM_001656
FMN2,NM_001305424
LAMTOR1,NM_017907
KLC1,NM_001130107
BRK1,NM_018462
KCNJ4,NM_004981
FAM217B,NM_001190826
PKD2,NM_000297
MLLT10,NM_001009569
PTGES2,NM_001256335
BICD1,NM_001003398
GPR27,NM_018971
RND1,NM_014470
SYT4,NM_020783
MCCC1,NM_001293273
AP3M2,NM_001134296
PLA2R1,NM_001007267
ZNF770,NM_014106
PURB,NM_033224
TRIO,NM_007118
FAM168B,NM_001009993
ARL1,NM_001177
YWHAE,NM_006761
SLU7,NM_001364517
ENO1,NM_001201483
SELENOT,NM_016275
FBXL16,NM_153350
ARF1,NM_001024226
UBE2M,NM_003969
PDPK1,NM_001261816
NECAP1,NM_015509
SELENOW,NM_003009
KCNMA1,NM_001014797
TMEM183A,NM_001322955
EFNA3,NM_004952
ILF2,NM_001267809
CDHR3,NM_001301161
ILF3,NM_001137673
MCF2L2,NM_015078
TPPP,NM_007030
AMIGO1,NM_020703
DIP2C,NM_014974
THAP5,NM_001130475
NEU1,NM_000434
SETBP1,NM_001130110
TOMM22,NM_020243
DNAJB2,NM_001039550
BICDL1,NM_001367886
FNBP1,NM_001363755
KIF16B,NM_001199865
TYRO3,NM_001330264
TMEM33,NM_018126
CCDC47,NM_020198
JPT1,NM_001002032
SDCCAG8,NM_001350246
LDOC1,NM_012317
PGK1,NM_000291
SYP,NM_003179
BLCAP,NM_001167820
HSPA13,NM_006948
DBNDD2,NM_001048221
GRID1,NM_017551
RNF220,NM_001319956
TMEM271,NM_001362796
EPB41,NM_001166005
IDS,NM_000202
WDR47,NM_001142550
TM2D2,NM_001024380
SPIDR,NM_001080394
PJA2,NM_014819
DUSP7,NM_001947
RANBP6,NM_001243202
SCFD2,NM_152540
GABRD,NM_000815
VPS4A,NM_013245
COA3,NM_001040431
ARHGDIG,NM_001176
YIPF3,NM_015388
MIEF1,NM_001304564
DOCK3,NM_004947
AGTPBP1,NM_001286715
CALR,NM_004343
SSH2,NM_001282129
APBB1,NM_001164
SAMD12,NM_001101676
C5orf24,NM_001135586
C11orf87,NM_207645
VPS35,NM_018206
ALKBH5,NM_017758
ISCA1,NM_030940
TEF,NM_001145398
GABRA1,NM_000806
UPF1,NM_001297549
RAB5C,NM_001252039
DYNLL2,NM_080677
NAV2,NM_001111018
CDV3,NM_001134422
SIL1,NM_001037633
PPP2R2B,NM_001271899
ARHGAP26,NM_001135608
INVS,NM_001318381
SERBP1,NM_001018067
DCAF11,NM_001163484
HSP90AA1,NM_001017963
SUPT5H,NM_001111020
BEX4,NM_001080425
NDEL1,NM_001025579
FARSA,NM_004461
FAM171A2,NM_198475
SLC26A4-AS1,NR_028137
RUNDC3A,NM_001144825
HAPLN4,NM_023002
RSL24D1,NM_016304
MFN2,NM_001127660
ANKS1B,NM_001204065
SPCS3,NM_021928
TMED9,NM_017510
ANKRD34A,NM_001039888
TRAPPC9,NM_001160372
KIF9-AS1,NR_033373
TMEM9B,NM_001286094
SPRED2,NM_001128210
PTPRN,NM_001199763
TMEM109,NM_024092
KIAA1191,NM_001079684
ERC2,NM_015576
FEM1B,NM_015322
TPST1,NM_003596
AOPEP,NM_001193329
PGM2L1,NM_173582
SUPT4H1,NM_003168
APLP1,NM_001024807
SNX17,NM_001267059
EIF4B,NM_001300821
ZPR1,NM_001317086
YKT6,NM_001363678
SLC25A4,NM_001151
LDHA,NM_001135239
RPS2,NM_002952
EEF1A1,NM_001402
CHMP4B,NM_176812
MRFAP1L1,NM_152301
PRPF19,NM_014502
CREBL2,NM_001310
EIF1AX,NM_001412
ATP6V1C1,NM_001007254
KBTBD6,NM_152903
TOMM6,NM_001134493
TMED10,NM_006827
SLITRK4,NM_001184749
RPTOR,NM_001163034
EXT1,NM_000127
C2CD2L,NM_001290474
GDE1,NM_001324066
GUK1,NM_000858
VTI1A,NM_001318203
NDUFB5,NM_001199957
SCOC,NM_001153446
PINK1,NM_032409
CNIH2,NM_182553
MAGEF1,NM_022149
BCAS3,NM_001099432
NUCB1,NM_006184
MLLT11,NM_006818
AKAP6,NM_004274
FRMD5,NM_001286490
NBL1,NM_001204084
CTDNEP1,NM_001143775
IPO5,NM_002271
P4HB,NM_000918
MAP2K5,NM_001206804
PHF23,NM_001284517
NOP9,NM_001286367
FHOD3,NM_001281739
LAPTM4A,NM_014713
C11orf49,NA
BICRAL,NM_001318819
TMEM9,NM_001288564
FAM49B,NA
UBA52,NM_001033930
OPCML,NM_001012393
CTSD,NM_001909
ARHGAP44,NM_001321164
GID8,NM_017896
PNMA6A,NM_032882
SRP72,NM_001267722
FBXO2,NM_012168
PIP4P1,NM_001100814
MAPK3,NM_001040056
RFK,NM_018339
TSPYL1,NM_003309
CFL1,NM_005507
NUDCD3,NM_015332
MAP1LC3B,NM_022818
CX3CL1,NM_001304392
INO80,NM_017553
STOML1,NM_001256672
SELENOM,NM_080430
ICMT,NM_012405
GMFB,NM_004124
MFSD4A,NM_181644
NEFL,NM_006158
WBP11,NM_016312
DEDD2,NM_001270614
HIGD1A,NM_001099668
PARD6A,NM_001037281
BAD,NM_004322
C20orf194,NA
TMA7,NM_001329417
PIP4K2C,NM_001146258
PGRMC2,NM_006320
ADIPOR1,NM_001290553
ATG7,NM_001136031
CHD6,NM_032221
ATG101,NM_001098673
PTMS,NM_001330333
CCT6A,NM_001009186
SPINT2,NM_001166103
VBP1,NM_001303543
TIMM17A,NM_006335
PPP1CC,NM_001244974
HOPX,NM_001145459
DAZAP2,NM_001136264
CTNNA2,NM_001164883
TBC1D22A,NM_001284303
NSF,NM_006178
NAT8L,NM_178557
REPS1,NM_001128617
NUDT16,NM_001171905
JUND,NM_001286968
CYFIP2,NM_001037332
NR6A1,NM_001278546
PARP1,NM_001618
MSL3,NM_001193270
STX8,NM_004853
BLOC1S6,NM_001311255
OTUD7A,NM_001329907
HECW1,NM_001287059
DLGAP2,NM_001277161
ST6GALNAC6,NM_001286999
DDX54,NM_001111322
CLTC,NM_001288653
MAT2B,NM_013283
RTN3,NM_001265589
CACNA1D,NM_000720
SNX12,NM_001256185
PEX19,NM_001131039
RPL4,NM_000968
TSPAN7,NM_004615
OPRL1,NM_000913
TMEM132B,NM_001286219
DENND4C,NM_001330640
KCTD12,NM_138444
CACNB3,NM_000725
TENM4,NM_001098816
C3orf80,NM_001168214
OCIAD1,NM_001079839
CBX7,NM_001346743
