GENE_SYMBOLS,refseq_ids
C5orf24,NM_001135586
NR2F6,NM_005234
SUMO3,NM_001286416
CFL1,NM_005507
ATG101,NM_001098673
PNMA6A,NM_032882
NACAD,NM_001146334
C4orf3,NM_001001701
FAM131A,NM_001171093
BCL2L2,NM_001199839
HSPA13,NM_006948
EIF4H,NM_022170
GPR27,NM_018971
TMEM33,NM_018126
PEX19,NM_001131039
SCOC,NM_001153446
EIF3I,NM_001394168
MRPL49,NM_004927
BAP1,NM_001410772
PSMD8,NM_002812
COPS8,NM_006710
CA11,NM_001217
SCG5,NM_001144757
TMED2,NM_001321445
KLC1,NM_001130107
C2CD2L,NM_001290474
NEFL,NM_006158
HEY1,NM_001040708
ATP6V1D,NM_015994
SEPHS2,NM_012248
POLE3,NM_001278255
KIF9-AS1,NR_033373
SUB1,NM_006713
SELENOW,NM_003009
EEF1G,NM_001404
SLC48A1,NM_017842
C14orf132,NM_001252507
TMEM167B,NM_001322248
CDKN2D,NM_001800
ENO1,NM_001201483
BCL7B,NM_001197244
FBXL16,NM_153350
FAM3C,NM_001040020
UPF1,NM_001297549
PURB,NM_033224
RUNDC3A,NM_001144825
MANEAL,NM_001031740
SH3GLB2,NM_001287045
TSPYL1,NM_003309
RSL1D1,NM_015659
RPL4,NM_000968
PTMA,NM_001099285
KLC2,NM_001134774
TMEM127,NM_001193304
PSMD2,NM_001278708
ZNF770,NM_014106
CTSD,NM_001909
ANO4,NM_001286615
JUND,NM_001286968
BEX4,NM_001080425
TPPP,NM_007030
GMFB,NM_004124
LAPTM4A,NM_014713
CHMP4B,NM_176812
UBXN6,NM_001171091
GABARAPL1,NM_001363598
PNMA8C,NM_001386793
NECAP1,NM_015509
DEDD2,NM_001270614
EIF1AX,NM_001412
RNF220,NM_001319956
PEA15,NM_001297576
CTDNEP1,NM_001143775
GTF2F1,NM_002096
CDK5R2,NM_003936
VPS4A,NM_013245
SLC9A6,NM_001042537
ARPC5L,NM_030978
LAMA3,NM_000227
ATXN7L3B,NM_001136262
TMEM9,NM_001288564
MCRIP1,NM_001093767
MTURN,NM_152793
RANBP6,NM_001243202
BAD,NM_004322
RAB5C,NM_001252039
MRPS2,NM_001371401
SHISA5,NM_001272065
PCSK1N,NM_013271
C9orf16,NA
PRAF2,NM_007213
MAT2B,NM_013283
MAL2,NM_052886
NUCB1,NM_006184
PRPF19,NM_014502
SYNGR3,NM_004209
EIF4B,NM_001300821
TYRO3,NM_001330264
BTBD6,NM_001387567
DAZAP2,NM_001136264
SLITRK4,NM_001184749
EHD3,NM_014600
SUPT4H1,NM_003168
SRSF8,NM_032102
RPS2,NM_002952
FMN1,NM_001103184
KCNJ4,NM_004981
CALR,NM_004343
PFKL,NM_001002021
NAP1L2,NM_021963
NUDT11,NM_018159
SUMO2,NM_001005849
MAP1LC3B,NM_022818
