GENE_SYMBOLS,refseq_ids
ENC1,NM_001256574
RAB6B,NM_001363953
B4GAT1,NM_006876
LY6E,NM_001127213
PDXP,NM_020315
SARAF,NM_001284239
THY1,NM_001311160
PNMA8A,NM_001103149
ATP6AP1,NM_001183
MEF2D,NM_001271629
PNMA1,NM_006029
TGOLN2,NM_001206840
YWHAH,NM_003405
TMEM59L,NM_012109
ARF3,NM_001412914
TPRG1L,NM_182752
SPRYD3,NM_032840
L1CAM,NM_000425
PSAP,NM_001042465
MTCH1,NM_001271641
RAN,NM_001300796
ANO10,NM_001204831
TOLLIP,NM_001318512
TOMM20,NM_014765
GABBR1,NM_001319053
SERINC3,NM_006811
WIPI2,NM_001033518
KAZN,NM_001017999
MRFAP1,NM_001272053
CD81,NM_001297649
APLP2,NM_001142276
PGAM1,NM_001317079
SERINC1,NM_020755
YWHAQ,NM_006826
CLSTN1,NM_001009566
COPZ1,NM_001271734
CELSR2,NM_001408
C1orf115,NM_024709
DKK3,NM_001018057
THRA,NM_001190918
ATP6V0C,NM_001198569
AP2M1,NM_001025205
SHISA4,NM_198149
SULT4A1,NM_014351
FTX,NR_028379
RTL6,NM_032287
CAMKV,NM_001320147
EEF2,NM_001961
PHYHIP,NM_001099335
ARL6IP5,NM_006407
SNN,NM_003498
PITHD1,NM_020362
EIF1,NM_005801
DCTN1,NM_001135040
CDK5R1,NM_003885
EGLN2,NM_017555
NORAD,NR_027451
TMEM246,NA
RAB1B,NM_030981
IER5,NM_016545
KLHDC3,NM_001242872
ATP6V0D1,NM_004691
ARPC5,NM_001270439
FKBP4,NM_002014
C1orf216,NM_001348691
CTSB,NM_001317237
RTN4,NM_001321859
WBP2,NM_001330499
SUMO2,NM_001005849
UBL4A,NM_014235
KIF3C,NM_002254
ATP2A2,NM_001135765
TPI1,NM_000365
OAZ2,NM_001301302
KBTBD11,NM_014867
HNRNPK,NM_001318186
SKP1,NM_006930
HDAC8,NM_001166418
PER2,NM_003894
VXN,NM_152765
CNDP2,NM_001168499
PLK2,NM_001252226
MZT1,NM_001071775
CLCN4,NM_001256944
RALGPS1,NM_001190728
HNRNPA0,NM_006805
NSG2,NM_015980
SRSF3,NM_003017
MOAP1,NM_022151
EIF4G2,NM_001042559
CREG2,NM_153836
PKM,NM_001206796
CDIPT,NM_001286585
CALM3,NM_001329921
EPN1,NM_001130071
ATP6AP2,NM_005765
REEP5,NM_005669
HSBP1,NM_001537
TMEM25,NM_001144034
SLC12A5,NM_001134771
ITM2C,NM_001012514
RBM6,NM_001167582
NOLC1,NM_001284388
PCYOX1,NM_016297
UBE2QL1,NM_001145161
PNMA8C,NM_001386793
CD59,NM_000611
BAG5,NM_001015048
STMN3,NM_001276310
GPR162,NM_014449
NGRN,NM_001033088
PRKN,NM_004562
FAM89B,NM_001098784
CAMK2N1,NM_018584
RRAGA,NM_006570
EGR3,NM_001199880
ATP6V1B2,NM_001693
CDK5R2,NM_003936
ENO2,NM_001975
GNAZ,NM_002073
ABCF2,NM_007189
ETV5,NM_004454
KCNJ9,NM_004983
PEF1,NM_001359651
YWHAB,NM_003404
RGS4,NM_001102445
ATP6V1G2,NM_001204078
KCTD17,NM_001282684
OLFM1,NM_001282611
CA11,NM_001217
POLE3,NM_001278255
FEZ1,NM_005103
GNB1,NM_001282538
LRRC47,NM_020710
PRKAR1A,NM_001276289
FXYD6,NM_001164831
BCAP31,NM_001139441
DNAJC5,NM_025219
APBB2,NM_001166050
C4orf3,NM_001001701
FAM3C,NM_001040020
IGIP,NM_001007189
CLEC16A,NM_001243403
PRNP,NM_000311
GRINA,NM_000837
MAP7D1,NM_001286365
HPCAL4,NM_001282396
PNMA2,NM_007257
USP5,NM_001098536
RAC1,NM_006908
SOWAHA,NM_175873
UBE2V2,NM_003350
ARPP19,NM_001306191
DANT2,NR_130730
ATG9A,NM_001077198
PGRMC1,NM_001282621
DUSP3,NM_004090
PRAF2,NM_007213
DUSP26,NM_001305115
FGD5-AS1,NR_046251
PPT1,NM_000310
SYT11,NM_152280
CALM2,NM_001305624
VPS26B,NM_052875
RETREG2,NM_001321109
PFN2,NM_002628
TMEM30A,NM_001143958
ACTG1,NM_001199954
MYRIP,NM_001284423
DIRAS2,NM_017594
OAZ1,NM_001301020
CACNA2D3,NM_018398
RIMS3,NM_014747
SET,NM_001122821
NEK1,NM_001199397
G3BP2,NM_001400004
BHLHE41,NM_030762
TMEM203,NM_053045
EIF4A2,NM_001967
EI24,NM_001007277
DHCR24,NM_014762
STRAP,NM_007178
ANO4,NM_001286615
MYADM,NM_001020818
ADO,NM_032804
EIF5,NM_001969
SCAMP5,NM_001178111
RAB3A,NM_002866
SUB1,NM_006713
CALM1,NM_001166106
DYSF,NM_001130455
CHN1,NM_001025201
RAB14,NM_016322
TUSC2,NM_007275
PKD2,NM_000297
RPL15,NM_001253379
TMEM130,NM_001134450
SSU72,NM_014188
DMTN,NM_001114135
TMEM167B,NM_001322248
OTUD5,NM_001136157
ERC2,NM_015576
NCDN,NM_001014839
SIRPA,NM_001040022
ARHGDIA,NM_001185077
TMEM183A,NM_001322955
BCL2L2,NM_001199839
AKAP5,NM_004857
LDHA,NM_001135239
OTUB1,NM_017670
SRP9,NM_001130440
EIF4H,NM_022170
YWHAG,NM_012479
GABARAPL1,NM_001363598
YWHAE,NM_006761
GSK3A,NM_019884
FAM49B,NA
DIP2C,NM_014974
SELENOT,NM_016275
RNF6,NM_005977
ATXN7L3B,NM_001136262
C11orf68,NM_001135635
TRIO,NM_007118
INVS,NM_001318381
H3F3B,NA
DDN,NM_015086
RSL1D1,NM_015659
UBXN6,NM_001171091
ATP6V1E1,NM_001039366
MACF1,NM_001394062
TOMM22,NM_020243
PCNX2,NM_001328607
EFNA3,NM_004952
HNRNPUL2,NM_001079559
ISCA1,NM_030940
THAP5,NM_001130475
BTBD6,NM_001387567
C3orf80,NM_001168214
SEPHS2,NM_012248
CD2BP2,NM_001243646
RHOB,NM_004040
DIS3L2,NM_001257281
CDKN2D,NM_001800
SYT13,NM_001247987
SERBP1,NM_001018067
ILF2,NM_001267809
C14orf132,NM_001252507
PLEKHB2,NM_001031706
COPS8,NM_006710
ANKS1A,NM_015245
SYNGR3,NM_004209
PTP4A2,NM_001195100
SLC25A6,NM_001636
TRIM23,NM_001656
TBC1D19,NM_001292054
MAL2,NM_052886
AGPAT1,NM_001371437
SVIP,NM_001320340
PNMA8B,NM_020709
KCNJ4,NM_004981
SPATA2,NM_001135773
PIANP,NM_001244014
AMPD2,NM_001257361
GHITM,NM_014394
GOT2,NM_001286220
COPS7A,NM_001164093
TNRC6A,NM_001330520
NR2F6,NM_005234
MAGEF1,NM_022149
ATP6V1G1,NM_004888
CADM3,NM_001127173
YIPF3,NM_015388
KCTD2,NM_015353
C11orf87,NM_207645
AOPEP,NM_001193329
PPP3CC,NM_001243974
ZMAT2,NM_144723
UNC79,NM_001346218
WDR47,NM_001142550
VDAC1,NM_001401008
PTMA,NM_001099285
BICDL1,NM_001367886
PGK1,NM_000291
MCCC1,NM_001293273
LGI3,NM_139278
SYNM,NM_015286
DUSP7,NM_001947
SIL1,NM_001037633
LAMP1,NM_005561
SLC26A4-AS1,NR_028137
HMGA1,NM_001319077
MCF2L2,NM_015078
TMED2,NM_001321445
SMYD3,NM_001167740
PHF23,NM_001284517
ARHGEF11,NM_001377418
RNF187,NM_001010858
DBNDD2,NM_001048221
BLOC1S6,NM_001311255
WSB2,NM_001278557
SLC22A17,NM_001289050
CACNA1D,NM_000720
FKBP1A,NM_000801
TOX2,NM_001098796
PURB,NM_033224
PCCA,NM_000282
CDV3,NM_001134422
CIPC,NM_033426
TRAPPC9,NM_001160372
GABRD,NM_000815
ANKRD34A,NM_001039888
FAM131A,NM_001171093
VSTM2L,NM_080607
SPIDR,NM_001080394
ZPR1,NM_001317086
DENND1A,NM_001352964
AGBL4,NM_001323573
NECAP1,NM_015509
ZNF770,NM_014106
NDUFB5,NM_001199957
ENO1,NM_001201483
LGALSL,NM_014181
APLP1,NM_001024807
KLC1,NM_001130107
ZNF483,NM_001007169
TYRO3,NM_001330264
LDOC1,NM_012317
AP3M2,NM_001134296
APBB1,NM_001164
SYP,NM_003179
STMN4,NM_001283053
EXT1,NM_000127
GPR27,NM_018971
BRK1,NM_018462
STARD7,NM_001385622
MLLT11,NM_006818
ILF3,NM_001137673
FRMD4A,NM_001318336
CEP192,NM_018069
