GENE_SYMBOLS,refseq_ids
SSU72,NM_014188
KLHL21,NM_001324309
BX284668.5,NA
AMPD2,NM_001257361
KCNJ9,NM_004983
CHIT1,NM_001256125
PRELP,NM_002725
WDR64,NM_001367482
DCDC2C,NM_001287444
PLEKHH2,NM_172069
DPP10-AS3,NR_132105
TMEM185B,NM_024121
CNTN4-AS1,NR_046554
LMCD1-AS1,NR_033378
RBM5-AS1,NR_045388
HYAL1,NM_033159
SYNPR-AS1,NR_046677
MAGI1-AS1,NR_046575
CADM2-AS1,NA
PLCXD2,NM_001134478
SIAH2-AS1,XR_007096129
TMPRSS11F,NM_207407
IL6ST,NM_001190981
PRDM6,NM_001136239
DND1,NM_194249
ARHGAP26-AS1,NR_046680
CPLX2,NM_001008220
FOXP4,NM_001012426
Z99496.2,NA
TAGAP,NM_001278733
SNX8,NM_013321
SFRP4,NM_003014
BAALC-AS1,NR_034092
LYNX1,NM_001356370
IQANK1,NM_001381874
PCA3,NR_015342
SPOCK2,NM_001134434
NUDT13,NM_001283014
MTRNR2L8,NM_001190702
OR9Q1,NM_001005212
B3GAT3,NM_001288721
KLC2,NM_001134774
PELI3,NM_001098510
SHANK2-AS1,NR_046567
IL18,NM_001243211
EI24,NM_001007277
NRIP2,NM_031474
GSG1,NM_001080554
SLC38A2,NM_001307936
B4GALNT1,NM_001276468
DEPDC4,NM_001319310
CLIP1-AS1,NR_045382
CDK2AP1,NM_001270433
TNFRSF19,NM_001204458
WASF3-AS1,NA
GPR12,NM_005288
CFL2,NM_001243645
PPP1R36,NM_172365
CHGA,NM_001275
RTL1,NM_001134888
GABRG3-AS1,NR_120343
GJD2,NM_020660
MAP1A,NM_001411089
CTXN2,NM_001145668
MYO1E,NM_004998
TMEM202-AS1,NR_135678
ISLR,NM_005545
SEMA7A,NM_001146029
PPCDC,NM_001301101
SLC9A3R2,NA
MIR193BHG,NR_132983
XYLT1,NM_022166
ATP2A1,NM_001286075
MMP15,NM_002428
TMEM220,NM_001004313
EVI2B,NM_006495
C17orf78,NM_001321399
RND2,NM_005440
ATXN7L3,NM_001098833
FAM171A2,NM_198475
PRKCA-AS1,NR_110822
ARSG,NM_001267727
CD300LF,NM_001289082
NPTX1,NM_002522
GPS1,NM_001321089
SLC16A3,NM_001042422
DLGAP1-AS2,NM_032691
SYT4,NM_020783
LSR,NM_001260489
EGLN2,NM_017555
BICRA-AS1,NA
NOP53,NM_015710
EDDM13,NM_001354658
SLC24A3,NM_020689
DLGAP4-AS1,NR_109939
CDH26,NM_001348204
SLC5A3,NM_006933
AF064866.1,NA
ASPHD2,NM_020437
NEFH,NM_021076
Z82215.1,NA
PNPLA3,NM_025225
SMC1B,NM_001291501
MID1,NM_000381
MAP3K15,NM_001001671
FOXO4,NM_001170931
ARMCX6,NM_001009584
TSC22D3,NM_001015881
SLC9A6,NM_001042537
PNMA6F,NM_001354980
SLC10A3,NM_001142391
