GENE_SYMBOLS,refseq_ids
SNX8,NM_013321
NDUFA1,NM_004541
SPCS1,NM_014041
RPL37,NM_000997
GPX4,NM_001039847
ATP5MD,NA
RPS8,NM_001012
MAGI1-AS1,NR_046575
C4orf48,NM_001141936
DCK,NM_000788
RPS3A,NM_001006
POLR2J,NM_001371100
RPS24,NM_001026
OR9Q1,NM_001005212
TPI1,NM_000365
XYLT1,NM_022166
NME2,NM_001018137
NDUFB7,NM_004146
RPS19,NM_001022
SMDT1,NM_033318
TCEAL5,NM_001012979
SLC9A6,NM_001042537
OR6A2,NM_003696
AURKAIP1,NM_001127229
SIAH2-AS1,XR_007096129
SEMA3C,NM_001350120
TOMM5,NM_001001790
HRAS,NM_001130442
B3GAT3,NM_001288721
MRPL51,NM_016497
PTMS,NM_001330333
CRIP2,NM_001270837
RPL27,NM_000988
TCEAL7,NM_001348258
VPS25,NM_032353
DLGAP1-AS2,NM_032691
DCDC2C,NM_001287444
TNFRSF19,NM_001204458
RILP,NM_031430
OAZ1,NM_001301020
COX6B1,NM_001863
SDF2L1,NM_022044
YWHAH,NM_003405
SYNPR-AS1,NR_046677
NHLRC1,NM_198586
RPL8,NM_000973
MZT1,NM_001071775
FIS1,NM_016068
SLC16A3,NM_001042422
LSR,NM_001260489
CDK2AP1,NM_001270433
NDUFB3,NM_001257102
CNTN4-AS1,NR_046554
ATP5ME,NM_007100
NDUFC1,NM_001184986
ZNF488,NM_001346932
COX5A,NM_004255
RPS28,NM_001031
LGALS1,NM_002305
NDUFB11,NM_001135998
GADD45B,NM_015675
RPL22,NM_000983
UQCRH,NM_001297565
KCNJ9,NM_004983
GEMIN6,NM_024775
LSM3,NM_014463
CADM2-AS1,NA
NHP2,NM_001034833
RPL10A,NM_007104
FOXP4,NM_001012426
Z99496.2,NA
RPS12,NM_001016
TAGAP,NM_001278733
SEC61G,NM_001012456
RPL7,NM_000971
STOML2,NM_001287031
EDF1,NM_001281297
MTRNR2L8,NM_001190702
GNG3,NM_012202
IL18,NM_001243211
EI24,NM_001007277
PFDN5,NM_002624
C12orf29,NM_001009894
GPR12,NM_005288
MYO1E,NM_004998
PPIB,NM_000942
SNAPC5,NM_001329613
PPCDC,NM_001301101
ANTKMT,NM_001271285
COA3,NM_001040431
PRKCA-AS1,NR_110822
NPTX1,NM_002522
CDKN2D,NM_001800
SLC24A3,NM_020689
PPDPF,NM_001353423
PNPLA3,NM_025225
BEX3,NM_001282674
TSC22D3,NM_001015881
ZNF275,NM_001080485
RPL10,NM_001256577
NEIL2,NM_001135746
MYL12B,NM_001144944
AP2M1,NM_001025205
PELI3,NM_001098510
KLHL21,NM_001324309
BAALC-AS1,NR_034092
MAGEH1,NM_014061
NDUFS5,NM_001184979
PLEKHH2,NM_172069
ARHGAP26-AS1,NR_046680
NRN1,NM_001278710
TMED2,NM_001321445
ARF6,NM_001663
NDUFB10,NM_004548
MIR193BHG,NR_132983
HAX1,NM_001018837
SMIM24,NM_001136503
CDH26,NM_001348204
XBP1,NM_001079539
MAP7D1,NM_001286365
FRMPD2,NM_001017929
ARL4A,NM_001037164
DCTN3,NM_001281425
CD300LF,NM_001289082
MID1,NM_000381
MARCKS,NM_002356
RPS25,NM_001028
BEX1,NM_018476
COX7C,NM_001867
ANAPC15,NM_001278485
AF064866.1,NA
CHMP2A,NM_014453
TCEAL8,NM_001006684
VAMP2,NM_001330125
DCXR,NM_001195218
RPS16,NM_001020
NOP53,NM_015710
SSU72,NM_014188
SFRP4,NM_003014
RPL27A,NM_000990
TIMM8B,NM_012459
C14orf119,NM_017924
C17orf78,NM_001321399
DLGAP4-AS1,NR_109939
F8A1,NM_012151
PARK7,NM_001123377
DND1,NM_194249
C1orf216,NM_001348691
GUK1,NM_000858
SUB1,NM_006713
BTF3,NM_001037637
DNAJA1,NM_001314039
NDUFA8,NM_001318195
CLIP1-AS1,NR_045382
DCAF11,NM_001163484
SEPHS2,NM_012248
RND2,NM_005440
EGLN2,NM_017555
AP2S1,NM_001301076
ATP5PF,NM_001003696
TOMM22,NM_020243
CIAO2B,NM_016062
SYT4,NM_020783
GABRG3-AS1,NR_120343
C12orf57,NM_001301834
H3F3B,NA
MAL2,NM_052886
JPT1,NM_001002032
BICRA-AS1,NA
PFDN2,NM_012394
POLD2,NM_001127218
PRR13,NM_001005354
UBE2S,NM_014501
PNRC2,NM_017761
PRDM6,NM_001136239
RPL36AL,NM_001001
RPL23,NM_000978
EDDM13,NM_001354658
PET117,NM_001164811
ITM2A,NM_001171581
ARL6IP4,NM_001002251
RPL34,NM_000995
SLC9A3R2,NA
HNRNPA1,NM_002136
HTR5A-AS1,NR_038945
UFC1,NM_016406
TBL1X,NM_001139466
LSM4,NM_001252129
NUDT13,NM_001283014
PIN1,NM_006221
RTL5,NM_001024455
