GENE_SYMBOLS,refseq_ids
LRRC8C-DT,NR_033981
TAFA3,NM_001004440
THEM5,NM_182578
FCGR3A,NM_000569
AXDND1,NM_144619
PRELP,NM_002725
STUM,NM_001003665
OBSCN-AS1,NM_001025495
WDR64,NM_001367482
COLEC11,NM_001255982
FSHR,NM_000145
PSME4,NM_014614
SPRED2,NM_001128210
PAIP2B,NM_020459
TET3,NM_001287491
SH3RF3,NM_001099289
FAP,NM_001291807
SLC38A11,NM_001199148
CCNYL1,NM_001142300
PID1,NM_001100818
OTOS,NM_148961
LMCD1-AS1,NR_033378
SEMA3F,NM_001318798
PRICKLE2-AS3,NR_046702
SIDT1,NM_001308350
TEX55,NM_152539
TPRG1,NM_198485
ERVMER34-1,NM_001242690
HERC5,NM_016323
SFRP2,NM_003013
ANKRD33B,NM_001164440
HOMER1,NM_001277077
DND1,NM_194249
NMUR2,NM_020167
FOXF2,NM_001452
STMND1,NM_001190766
SCGN,NM_006998
PSORS1C1,NM_014068
BEND3,NM_001080450
SESN1,NM_001199933
TMEM184A,NM_001097620
ELFN1,NM_001128636
SNX8,NM_013321
RSPH10B2,NM_001099697
ZC3HAV1L,NM_080660
LUC7L2,NM_001244585
GHET1,NR_130107
GNRH1,NM_000825
CHRNA2,NM_000742
CHRNB3,NM_000749
SHC3,NM_016848
AOPEP,NM_001193329
SLC25A25,NM_001006641
PTGES,NM_004878
LAMC3,NM_006059
IL15RA,NM_001243539
ZMIZ1-AS1,NR_015429
MGMT,NM_002412
IFITM2,NM_006435
IFITM3,NM_021034
MTRNR2L8,NM_001190702
SLC17A6,NM_020346
BDNF-AS,NR_002832
ROM1,NM_000327
TBC1D10C,NM_001256508
CHKA,NM_001277
SMIM38,NM_001369201
STARD10,NM_006645
NECTIN1-AS1,NR_183634
UBASH3B,NM_001363365
NRIP2,NM_031474
EMP1,NM_001423
SLC38A2,NM_001307936
PCED1B,NM_001281429
FIGNL2,NM_001013690
RBMS2,NM_001414459
DTX3,NM_001286245
TDG,NM_001008411
DIABLO,NM_001278302
CDK2AP1,NM_001270433
POLE,NM_006231
SKA3,NM_001166017
ING1,NM_001267728
PPP1R36,NM_172365
SERPINA3,NM_001085
TRPM1,NM_001252020
SPRED1,NM_152594
PRTG,NM_173814
MYO1E,NM_004998
SEMA7A,NM_001146029
RPP25,NM_017793
PTPN9,NM_002833
MIR9-3HG,NR_015411
MIR762HG,NR_110940
HSD11B2,NM_000196
RANBP10,NM_001320238
PMFBP1,NM_001160213
C16orf74,NM_206967
TRARG1,NM_172367
VMO1,NM_001144939
FBXO39,NM_153230
RAI1-AS1,NR_130894
RASL10B,NM_033315
PTGES3L,NM_001142653
ANKFN1,NM_001365758
PRKCA-AS1,NR_110822
MAPK4,NM_001292039
C18orf54,NM_001288980
THEG,NM_016585
ICAM1,NM_000201
PLEKHF1,NM_024310
CHST8,NM_001127895
MAP4K1,NM_001042600
IRF3,NM_001197122
RAD21L1,NM_001136566
EFCAB8,NM_001143967
ZNF341-AS1,NR_110623
FAM210B,NM_080821
ADAMTS1,NM_006988
SLC5A3,NM_006933
CRYBB3,NM_004076
ASPHD2,NM_020437
NEFH,NM_021076
Z82215.1,NA
Z82188.2,NA
CYTH4,NM_001318024
ASMTL-AS1,NM_025091
CXorf58,NM_001169574
TMEM47,NM_031442
RIBC1,NM_001031745
FOXO4,NM_001170931
TSPAN6,NM_001278740
RNF113A,NM_006978
PNMA5,NM_001103150
NLGN4Y-AS1,NR_046504
