GENE_SYMBOLS,refseq_ids
HMGN2,NM_005517
RPL32,NM_000994
RPL21,NM_000982
RPL30,NM_000989
RPL38,NM_000999
MRPL40,NM_001318151
RPS27A,NM_001135592
FAM192A,NA
PET117,NM_001164811
CENPBD1,NA
LY6E,NM_001127213
SRSF9,NM_003769
TSR2,NM_001346789
RPP25L,NM_148178
NUDT15,NM_001304745
AP1S2,NM_001272071
EEF1B2,NM_001037663
FTH1,NM_002032
NME2,NM_001018137
BTF3,NM_001037637
NME1,NM_000269
VPS25,NM_032353
RPS16,NM_001020
VDAC1,NM_001401008
RPS29,NM_001030001
FNDC4,NM_022823
DCTN3,NM_001281425
ZCRB1,NM_033114
STUB1,NM_001293197
GABARAP,NM_007278
ATP6V1E1,NM_001039366
RPS3A,NM_001006
PYURF,NM_032906
RPL34,NM_000995
HRAS,NM_001130442
RPL36AL,NM_001001
TXNDC17,NM_032731
JPT1,NM_001002032
POLR3K,NM_016310
RPL15,NM_001253379
NENF,NM_013349
GADD45GIP1,NM_052850
COPS7A,NM_001164093
SNHG15,NR_003697
BORCS8,NM_001145783
NDUFA4,NM_002489
RPL39L,NM_052969
RPS24,NM_001026
TMEM258,NM_014206
NRIP2,NM_031474
IGFBP6,NM_002178
C14orf119,NM_017924
NOP10,NM_018648
UQCRFS1,NM_006003
CCNI,NM_001348132
TIMM13,NM_012458
TRIR,NM_001329738
RPS19,NM_001022
C1orf216,NM_001348691
RPL22,NM_000983
THEM5,NM_182578
C1orf53,NM_001024594
RPS27,NM_001030
RPL37A,NM_000998
CDKN2AIPNL,NM_080656
PFDN1,NM_002622
SCGN,NM_006998
HTR5A-AS1,NR_038945
LSM1,NM_014462
SDF2,NM_006923
COX6B1,NM_001863
TCEAL4,NM_001006935
RPL13,NM_000977
UFC1,NM_016406
RPL22L1,NM_001099645
RPL37,NM_000997
MRPL14,NM_001318767
C12orf10,NA
RPL26,NM_000987
RPL23,NM_000978
RPL19,NM_000981
BX284668.5,NA
RNF7,NM_001201370
DCTN2,NM_001261412
RPLP1,NM_001003
RTF2,NM_001283035
MRPS7,NM_015971
PMVK,NM_001323011
NDUFB7,NM_004146
ATP5PO,NM_001697
NT5C3B,NM_052935
GABARAPL2,NM_007285
RPS9,NM_001013
HNRNPA1,NM_002136
BOLA3,NM_001035505
MAGEF1,NM_022149
CHMP5,NM_001195536
NEIL2,NM_001135746
MICOS13,NM_001308240
RPL24,NM_000986
ACP1,NM_001040649
POLR2L,NM_021128
PAK4,NM_001014831
GABPB1-IT1,NM_017976
EDF1,NM_001281297
PIN1,NM_006221
MLLT11,NM_006818
NDUFC1,NM_001184986
BPGM,NM_001293085
DRAP1,NM_006442
CHCHD7,NM_001011667
UGP2,NM_001001521
EIF1B,NM_005875
ARHGDIB,NM_001175
RPS25,NM_001028
ARL6IP4,NM_001002251
PARK7,NM_001123377
SMKR1,NM_001195243
GTF2A2,NM_001320929
ROMO1,NM_080748
CTXN1,NM_206833
RPS7,NM_001011
PFDN5,NM_002624
SLC25A5,NM_001152
RPS12,NM_001016
RPL7,NM_000971
PARD6A,NM_001037281
SNCG,NM_001330120
FKBP1B,NM_001322963
COL9A3,NM_001853
FDX2,NM_001031734
CISD2,NM_001008388
TMED2,NM_001321445
IMP3,NM_018285
ZMAT2,NM_144723
MRPL34,NM_001382342
PCP4,NM_006198
RPL27,NM_000988
CAMTA1-DT,NR_149049
STAR,NM_000349
UBE2M,NM_003969
PLEKHJ1,NM_001300836
RPL7A,NM_000972
MRPS11,NM_001321970
RWDD1,NM_001007464
NDUFB1,NM_004545
AK6,NM_001015891
TSTD1,NM_001113205
BEX2,NM_001168399
AP1S1,NM_001283
RPL8,NM_000973
TIMM17A,NM_006335
RPS26,NM_001029
APRT,NM_000485
C20orf27,NA
SNRPG,NM_001317165
PSMD4,NM_001330692
GLO1,NM_006708
CCDC25,NM_001304529
GNG3,NM_012202
ENDOD1,NM_015036
TPI1,NM_000365
PSMB6,NM_001270481
MAGT1,NM_001367916
UBE2S,NM_014501
PRELID1,NM_001271828
RPL27A,NM_000990
MRPL21,NM_181512
CISD3,NM_001136498
IFI27L1,NM_145249
FRMPD2,NM_001017929
RNF150,NM_020724
PET100,NM_001171155
MPC2,NM_001143674
NDUFA8,NM_001318195
NDRG3,NM_022477
SSR2,NM_003145
FEZ1,NM_005103
IMP4,NM_001320304
FAM241B,NM_145306
LAP3,NM_015907
MSRB1,NM_001382264
NAA38,NM_001320924
TIMM8A,NM_001145951
SURF2,NM_001278928
SIDT1,NM_001308350
GPR22,NM_005295
MDP1,NM_001199821
TMEM219,NM_001083613
RARA-AS1,NR_110861
RPL3,NM_000967
ATP5MC2,NM_001002031
PGK1,NM_000291
TAFA3,NM_001004440
MT3,NM_005954
RPS23,NM_001025
SAC3D1,NM_001367485
PAM16,NM_016069
UBXN1,NM_001286077
HMGCS1,NM_001098272
AURKAIP1,NM_001127229
PTMA,NM_001099285
PFN2,NM_002628
PPIL1,NM_016059
COX6A1,NM_004373
BEX3,NM_001282674
USE1,NM_018467
IGSF11,NM_001015887
MEA1,NM_001318942
EMC10,NM_175063
IDH3B,NM_001258384
CITED1,NM_001144885
RAB5IF,NM_001199534
C1orf122,NM_001142726
NDUFB8,NM_001284367
KCNK10,NM_021161
PSMD7,NM_002811
BANF1,NM_001143985
GON7,NM_032490
PFDN2,NM_012394
STOML2,NM_001287031
PA2G4,NM_006191
CHURC1,NM_001204063
TOMM22,NM_020243
GSTO1,NM_001191002
ATP5PB,NM_001002014
CCNB1IP1,NM_021178
TRAPPC4,NM_001318486
RPL14,NM_001034996
RIIAD1,NM_001144956
RPSA,NM_001304288
POP7,NM_005837
UXT,NM_004182
CKS1B,NM_001826
SS18L2,NM_001370300
SUB1,NM_006713
METTL23,NM_001080510
SCN1B,NM_001037
GADD45A,NM_001199741
SIVA1,NM_006427
CALM3,NM_001329921
BEX1,NM_018476
PTPN9,NM_002833
MRPS17,NM_015969
COX5A,NM_004255
EIF1AY,NM_001278612
URB1-AS1,NM_032910
MIEN1,NM_001330206
ROM1,NM_000327
SDF2L1,NM_022044
RPS18,NM_022551
