GENE_SYMBOLS,refseq_ids
TPRG1L,NM_182752
BCAP31,NM_001139441
THY1,NM_001311160
ATP6AP1,NM_001183
LY6E,NM_001127213
SHISA4,NM_198149
TGOLN2,NM_001206840
CDIPT,NM_001286585
UBL4A,NM_014235
SULT4A1,NM_014351
LRRC47,NM_020710
RAB1B,NM_030981
OAZ2,NM_001301302
AP2M1,NM_001025205
SPRYD3,NM_032840
GABBR1,NM_001319053
TUSC2,NM_007275
C1orf216,NM_001348691
PGAM1,NM_001317079
MANBAL,NM_001003897
TMEM203,NM_053045
ATP6V0D1,NM_004691
SNX17,NM_001267059
FAM89B,NM_001098784
CD59,NM_000611
ETV5,NM_004454
RETREG2,NM_001321109
KLHDC3,NM_001242872
DCTN1,NM_001135040
HSBP1,NM_001537
COPZ1,NM_001271734
B4GAT1,NM_006876
EGLN2,NM_017555
CLPTM1L,NM_030782
NEU1,NM_000434
TMEM246,NA
PEF1,NM_001359651
ATG9A,NM_001077198
MEF2D,NM_001271629
PDXP,NM_020315
DHCR24,NM_014762
OTUB1,NM_017670
LAMTOR1,NM_017907
YWHAH,NM_003405
PKM,NM_001206796
RNF5,NM_006913
OTUD5,NM_001136157
GRINA,NM_000837
RTL6,NM_032287
PSAP,NM_001042465
RAN,NM_001300796
ATP6V0E2,NM_001100592
ATP6V1B2,NM_001693
GDE1,NM_001324066
EIF1,NM_005801
USP5,NM_001098536
SNN,NM_003498
MAP7D1,NM_001286365
AGPAT1,NM_001371437
ABCF2,NM_007189
TIMM17A,NM_006335
MOAP1,NM_022151
SARAF,NM_001284239
PITHD1,NM_020362
AP3M2,NM_001134296
GSK3A,NM_019884
NSG1,NM_001040101
TMEM109,NM_024092
PRAF2,NM_007213
TOMM22,NM_020243
UBXN6,NM_001171091
PNMA1,NM_006029
TMEM25,NM_001144034
CTSB,NM_001317237
PNMA8A,NM_001103149
HMGA1,NM_001319077
FEZ1,NM_005103
PHF23,NM_001284517
PIP4P1,NM_001100814
NDUFB5,NM_001199957
TM2D2,NM_001024380
ENO2,NM_001975
ZPR1,NM_001317086
HCCS,NM_001122608
COPS7A,NM_001164093
MTCH1,NM_001271641
ARFIP2,NM_001242854
STMN3,NM_001276310
WBP2,NM_001330499
CCNDBP1,NM_012142
WIPI2,NM_001033518
COA3,NM_001040431
SCN2B,NM_004588
ATP6AP2,NM_005765
DNAJC5,NM_025219
CALM3,NM_001329921
NOLC1,NM_001284388
RAB6B,NM_001363953
TBCC,NM_003192
SNX11,NM_001330320
MRFAP1,NM_001272053
CD81,NM_001297649
ICMT,NM_012405
BORCS6,NM_017622
MRPL49,NM_004927
DIRAS1,NM_145173
NFE2L1,NM_001330261
PARD6A,NM_001037281
GOT1,NM_002079
SSU72,NM_014188
CCDC106,NM_001370467
BRK1,NM_018462
DUSP26,NM_001305115
DEXI,NM_014015
ATP1A3,NM_001256213
EPN1,NM_001130071
LRRC59,NM_018509
SUPT4H1,NM_003168
IMP4,NM_001320304
MMGT1,NM_001330000
LGI3,NM_139278
CELSR2,NM_001408
P4HB,NM_000918
NAT8L,NM_178557
ANKRD34A,NM_001039888
CD2BP2,NM_001243646
CDKN2AIPNL,NM_080656
CCDC85B,NM_006848
B4GALT3,NM_001199873
RNF26,NM_032015
MFN2,NM_001127660
VDAC1,NM_001401008
DNAJC14,NM_001394687
KCTD17,NM_001282684
CREB3,NM_006368
ARF3,NM_001412914
RAB3A,NM_002866
ISCA1,NM_030940
ATP6V0C,NM_001198569
L1CAM,NM_000425
GLRX5,NM_016417
ZMAT2,NM_144723
MYADM,NM_001020818
ITM2C,NM_001012514
DYNLL2,NM_080677
GABARAPL1,NM_001363598
THAP5,NM_001130475
TPI1,NM_000365
CLCN4,NM_001256944
STRAP,NM_007178
AHCY,NM_000687
ADO,NM_032804
TOLLIP,NM_001318512
SRRD,NM_001013694
ENC1,NM_001256574
EI24,NM_001007277
VBP1,NM_001303543
FARSA,NM_004461
COQ10B,NM_001320818
ODC1,NM_001287188
UBE2V2,NM_003350
TMEM9B,NM_001286094
NR2F6,NM_005234
C6orf120,NM_001029863
C1orf115,NM_024709
NT5C3B,NM_052935
TWF2,NM_007284
PPT1,NM_000310
POLE3,NM_001278255
ACLY,NM_001096
PPP1R11,NM_021959
SNX12,NM_001256185
TMED9,NM_017510
STOML2,NM_001287031
RRAGA,NM_006570
MRPS2,NM_001371401
SEPHS2,NM_012248
TOR1A,NM_000113
VXN,NM_152765
APLP2,NM_001142276
PER2,NM_003894
GNAZ,NM_002073
OAZ1,NM_001301020
ASNSD1,NM_001353497
RSL24D1,NM_016304
RANBP6,NM_001243202
SPRY4-AS1,NR_120664
YIPF3,NM_015388
RITA1,NM_001286215
C4orf3,NM_001001701
MPP1,NM_001166460
PNMA8B,NM_020709
EIF4G1,NM_001194946
POLR2C,NM_002694
GET3,NM_001371488
HNRNPA0,NM_006805
KBTBD11,NM_014867
CNDP2,NM_001168499
PEX19,NM_001131039
SERINC3,NM_006811
HSDL1,NM_001146051
TMEM59L,NM_012109
CDV3,NM_001134422
VPS18,NM_020857
PNMA8C,NM_001386793
MAGEF1,NM_022149
SELENOW,NM_003009
RIMS3,NM_014747
JPT1,NM_001002032
ARCN1,NM_001142281
MRPS17,NM_015969
WSB2,NM_001278557
PSPN,NM_004158
TMED2,NM_001321445
PHYHIP,NM_001099335
CDK5R2,NM_003936
LAMTOR5,NM_001382293
BCL2L2,NM_001199839
TOMM40L,NM_001286373
DUSP3,NM_004090
CHMP4B,NM_176812
NOP9,NM_001286367
PEG13,NR_144431
MFSD5,NM_001170790
SNAPC5,NM_001329613
C2CD2L,NM_001290474
ILF2,NM_001267809
TMEM183A,NM_001322955
SF3A1,NM_001005409
ARHGDIA,NM_001185077
ENO1,NM_001201483
MRPS18A,NM_001193343
BLOC1S2,NM_001001342
DNAJB9,NM_012328
POLR3H,NM_001018050
GRPEL1,NM_025196
KLC2,NM_001134774
FEN1,NM_004111
RTN4,NM_001321859
NEFL,NM_006158
MZT1,NM_001071775
FAM174C,NM_017914
TAF13,NM_005645
TOMM20,NM_014765
NUCB1,NM_006184
FBXL15,NM_001387294
SLC12A5,NM_001134771
SRSF3,NM_003017
KEAP1,NM_012289
CISD2,NM_001008388
ACTG1,NM_001199954
MEPCE,NM_001194990
SSTR3,NM_001051
ELOC,NM_001204857
NUDT15,NM_001304745
EIF4G2,NM_001042559
ARMCX3,NM_016607
NUDT16,NM_001171905
CSTB,NM_000100
FKBP1B,NM_001322963
SET,NM_001122821
SNRNP25,NM_024571
AP1S1,NM_001283
TOMM6,NM_001134493
SKP1,NM_006930
GABRD,NM_000815
COPS8,NM_006710
CDKN2D,NM_001800
NECAP1,NM_015509
SRSF9,NM_003769
C11orf68,NM_001135635
NGRN,NM_001033088
KCNJ11,NM_000525
BTBD6,NM_001387567
NORAD,NR_027451
CYCS,NM_018947
SLC25A6,NM_001636
MIEF1,NM_001304564
ZBTB22,NM_001145338
SPRED3,NM_001039616
SLC48A1,NM_017842
HAPLN4,NM_023002
ATP6V1G2,NM_001204078
PELI3,NM_001098510
TXN2,NM_012473
UBE2M,NM_003969
GHITM,NM_014394
RAB5C,NM_001252039
THRA,NM_001190918
TMEM35A,NM_021637
DBNDD2,NM_001048221
