GENE_SYMBOLS,refseq_ids
CEP85,NM_001281517
YIPF1,NM_018982
DRAM2,NM_001349881
TAFA3,NM_001004440
CIART,NM_001300838
THEM5,NM_182578
PIGM,NM_145167
FCGR3A,NM_000569
AXDND1,NM_144619
PTPRC,NM_001267798
PRELP,NM_002725
OBSCN,NM_001098623
PGBD5,NM_001258311
WDR64,NM_001367482
PSME4,NM_014614
SPRED2,NM_001128210
SLC38A11,NM_001199148
METTL5,NM_001293186
METTL21A,NM_001127395
CCNYL1,NM_001142300
PRICKLE2,NM_001370528
UBA3,NM_001363861
SIDT1,NM_001308350
TEX55,NM_152539
LPP,NM_001167671
TPRG1,NM_198485
AFAP1,NM_001134647
LAP3,NM_015907
RNF150,NM_020724
SFRP2,NM_003013
ANKRD33B,NM_001164440
SHLD3,NM_001365341
HOMER1,NM_001277077
STMND1,NM_001190766
SCGN,NM_006998
PSORS1C1,NM_014068
PREP,NM_002726
SESN1,NM_001199933
LATS1,NM_001270519
TMEM184A,NM_001097620
SNX8,NM_013321
GNA12,NM_001282440
RSPH10B2,NM_001099697
FKBP14,NM_017946
POM121,NM_001257190
ZC3HAV1L,NM_080660
ESYT2,NM_001367773
CHRNA2,NM_000742
CHRNB3,NM_000749
FAM49B,NA
SHC3,NM_016848
AOPEP,NM_001193329
SLC25A25,NM_001006641
KLF6,NM_001008490
IFITM3,NM_021034
BDNF-AS,NR_002832
ROM1,NM_000327
SMIM38,NM_001369201
KRTAP5-8,NM_021046
PAK1,NM_001128620
SIK2,NM_015191
TECTA,NM_005422
HEPN1,NM_001037558
NRIP2,NM_031474
EMP1,NM_001423
SLC38A2,NM_001307936
CSRNP2,NM_030809
TFCP2,NM_001173452
FIGNL2,NM_001013690
DTX3,NM_001286245
RASSF3,NM_178169
TDG,NM_001008411
SLC15A4,NM_145648
ZNF140,NM_001300776
CAB39L,NM_001079670
ING1,NM_001267728
FKBP3,NM_002013
PPP1R36,NM_172365
SUSD6,NM_014734
SERPINA3,NM_001085
PRTG,NM_173814
MYO1E,NM_004998
RPP25,NM_017793
PTPN9,NM_002833
RHCG,NM_001321041
HEATR3,NM_001329729
RANBP10,NM_001320238
PMFBP1,NM_001160213
TRARG1,NM_172367
VMO1,NM_001144939
PITPNM3,NM_001165966
RAI1,NM_017574
RAI1-AS1,NR_130894
RASL10B,NM_033315
PRKCA-AS1,NR_110822
PITPNC1,NM_012417
THEG,NM_016585
ICAM1,NM_000201
MED26,NM_004831
ELL,NM_006532
ZNF708,NM_001297560
MAP4K1,NM_001042600
ZNF226,NM_001032372
IRF3,NM_001197122
EFCAB8,NM_001143967
SNHG17,NR_015366
PTPN1,NM_001278618
JAM2,NM_001270407
BCR,NM_004327
CRYBB3,NM_004076
ASPHD2,NM_020437
NEFH,NM_021076
Z82215.1,NA
BRD1,NM_001304808
ASMTL-AS1,NM_025091
MAGT1,NM_001367916
RNF113A,NM_006978
MOSPD1,NM_001306188
PNMA5,NM_001103150
