GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
SHISA4,NM_198149
TPRG1L,NM_182752
ATP6AP1,NM_001183
CDIPT,NM_001286585
BCAP31,NM_001139441
OAZ2,NM_001301302
THY1,NM_001311160
LY6E,NM_001127213
GABBR1,NM_001319053
TGOLN2,NM_001206840
TUSC2,NM_007275
LRRC47,NM_020710
TMEM203,NM_053045
RAB1B,NM_030981
UBL4A,NM_014235
TMEM246,NA
SULT4A1,NM_014351
C1orf216,NM_001348691
RETREG2,NM_001321109
ATG9A,NM_001077198
PSAP,NM_001042465
KLHDC3,NM_001242872
SPRYD3,NM_032840
DHCR24,NM_014762
TMEM109,NM_024092
B4GAT1,NM_006876
AP2M1,NM_001025205
OTUB1,NM_017670
PGAM1,NM_001317079
FAM89B,NM_001098784
ATP6V0E2,NM_001100592
CD59,NM_000611
CLPTM1L,NM_030782
EGLN2,NM_017555
GRINA,NM_000837
NEU1,NM_000434
MANBAL,NM_001003897
LAMTOR1,NM_017907
SPRED3,NM_001039616
RTL6,NM_032287
SNN,NM_003498
USP5,NM_001098536
PEF1,NM_001359651
PITHD1,NM_020362
PNMA8A,NM_001103149
PDXP,NM_020315
GDE1,NM_001324066
FEZ1,NM_005103
CTSB,NM_001317237
UBXN6,NM_001171091
TBCC,NM_003192
OTUD5,NM_001136157
WIPI2,NM_001033518
HMGA1,NM_001319077
COPS7A,NM_001164093
TMEM25,NM_001144034
ZPR1,NM_001317086
ATP6V0D1,NM_004691
EIF1,NM_005801
AGPAT1,NM_001371437
YWHAH,NM_003405
DNAJC5,NM_025219
SNX17,NM_001267059
MEF2D,NM_001271629
ABCF2,NM_007189
HSBP1,NM_001537
NFE2L1,NM_001330261
RAN,NM_001300796
SARAF,NM_001284239
NAT8L,NM_178557
MTCH1,NM_001271641
RAB6B,NM_001363953
GSK3A,NM_019884
PIP4P1,NM_001100814
SUPT4H1,NM_003168
NSG1,NM_001040101
MRFAP1,NM_001272053
TIMM17A,NM_006335
PKM,NM_001206796
WBP2,NM_001330499
ATP6V1B2,NM_001693
MAP7D1,NM_001286365
DCTN1,NM_001135040
RNF5,NM_006913
COPZ1,NM_001271734
SNX11,NM_001330320
POLE3,NM_001278255
CDKN2AIPNL,NM_080656
PRAF2,NM_007213
CREB3,NM_006368
PNMA1,NM_006029
CD81,NM_001297649
BRK1,NM_018462
PARD6A,NM_001037281
CCDC85B,NM_006848
STMN3,NM_001276310
TMEM9B,NM_001286094
CD2BP2,NM_001243646
SCN2B,NM_004588
LGI3,NM_139278
B4GALT3,NM_001199873
C1orf115,NM_024709
BORCS6,NM_017622
DUSP26,NM_001305115
IMP4,NM_001320304
THAP5,NM_001130475
MOAP1,NM_022151
AP3M2,NM_001134296
TOR1A,NM_000113
ATP6AP2,NM_005765
NR2F6,NM_005234
SRRD,NM_001013694
CLCN4,NM_001256944
KBTBD11,NM_014867
COA3,NM_001040431
MIEF1,NM_001304564
GLRX5,NM_016417
EPN1,NM_001130071
MRPL49,NM_004927
CALM3,NM_001329921
SPRY4-AS1,NR_120664
L1CAM,NM_000425
DEXI,NM_014015
NT5C3B,NM_052935
ENO2,NM_001975
FARSA,NM_004461
EI24,NM_001007277
TMED9,NM_017510
MFN2,NM_001127660
KCTD17,NM_001282684
SPRY4,NM_001127496
ADO,NM_032804
RNF26,NM_032015
ITM2C,NM_001012514
HSDL1,NM_001146051
TM2D2,NM_001024380
ICMT,NM_012405
PER2,NM_003894
STOML2,NM_001287031
PEG13,NR_144431
CELSR2,NM_001408
AP1S1,NM_001283
SSTR3,NM_001051
RIMS3,NM_014747
ARFIP2,NM_001242854
GNAZ,NM_002073
NOLC1,NM_001284388
ARF3,NM_001412914
PEX19,NM_001131039
NSG2,NM_015980
CAMKV,NM_001320147
OAZ1,NM_001301020
PHF23,NM_001284517
TOMM22,NM_020243
NUDT16,NM_001171905
RRAGA,NM_006570
DNAJC14,NM_001394687
TMED2,NM_001321445
SEPHS2,NM_012248
C2CD2L,NM_001290474
MYADM,NM_001020818
VPS18,NM_020857
DYNLL2,NM_080677
CCDC106,NM_001370467
MRPS2,NM_001371401
MFSD5,NM_001170790
TWF2,NM_007284
FEN1,NM_004111
ZMAT2,NM_144723
SERINC3,NM_006811
GABARAPL1,NM_001363598
TOMM20,NM_014765
WSB2,NM_001278557
ARCN1,NM_001142281
NDUFB5,NM_001199957
NOP9,NM_001286367
SNX12,NM_001256185
RSL24D1,NM_016304
LRRC59,NM_018509
ZBTB22,NM_001145338
VDAC1,NM_001401008
NUCB1,NM_006184
TMEM130,NM_001134450
AHCY,NM_000687
C4orf3,NM_001001701
PNMA8C,NM_001386793
MRPS17,NM_015969
SELENOW,NM_003009
SSU72,NM_014188
HNRNPA0,NM_006805
PNMA8B,NM_020709
SNAPC5,NM_001329613
ATP6V0C,NM_001198569
UBE2V2,NM_003350
MEPCE,NM_001194990
DIRAS1,NM_145173
KCNJ9,NM_004983
PPT1,NM_000310
PHYHIP,NM_001099335
CNDP2,NM_001168499
C11orf68,NM_001135635
CCNDBP1,NM_012142
ARL6IP5,NM_006407
SERINC1,NM_020755
BCL2L2,NM_001199839
GOT1,NM_002079
BTBD6,NM_001387567
BOD1,NM_001159651
TOLLIP,NM_001318512
FRMD6,NM_001042481
SLC48A1,NM_017842
NORAD,NR_027451
SF3A1,NM_001005409
RANBP6,NM_001243202
CDK5R2,NM_003936
ACTG1,NM_001199954
FAM32A,NM_014077
ARHGDIA,NM_001185077
PPP1R11,NM_021959
MMGT1,NM_001330000
NICN1,NM_032316
TAF13,NM_005645
SLC39A7,NM_001077516
TPI1,NM_000365
TMEM59L,NM_012109
C6orf120,NM_001029863
ANKRD34A,NM_001039888
TMEM167B,NM_001322248
SLC25A6,NM_001636
VBP1,NM_001303543
DDN,NM_015086
ACLY,NM_001096
DMTN,NM_001114135
PELI3,NM_001098510
TXN2,NM_012473
CDKN2D,NM_001800
MAGEF1,NM_022149
VPS4A,NM_013245
HCCS,NM_001122608
POLR2C,NM_002694
KEAP1,NM_012289
NGRN,NM_001033088
REEP5,NM_005669
ASNSD1,NM_001353497
CDV3,NM_001134422
AMIGO1,NM_020703
SKP1,NM_006930
THRA,NM_001190918
MANEAL,NM_001031740
SRXN1,NM_080725
SNRNP25,NM_024571
DUSP3,NM_004090
TOMM40L,NM_001286373
TMEM35A,NM_021637
CHMP4B,NM_176812
VXN,NM_152765
ISCA1,NM_030940
PINK1,NM_032409
STUB1,NM_001293197
GET3,NM_001371488
EEF2,NM_001961
FAM174C,NM_017914
MAF1,NM_032272
UBE2M,NM_003969
EIF4G1,NM_001194946
DDX54,NM_001111322
P4HB,NM_000918
EMC10,NM_175063
LAMTOR5,NM_001382293
FAIM2,NM_012306
HNRNPUL2,NM_001079559
MRPS23,NM_016070
