GENE_SYMBOLS,refseq_ids
NDUFA2,NM_001185012
ZMAT2,NM_144723
PCDHA11,NM_018902
PCDHGA11,NM_018914
PLAC8L1,NM_001029869
GRPEL2,NM_152407
RPS14,NM_001025070
GM2A,NM_000405
ATOX1,NM_004045
MED7,NM_001100816
FABP6,NM_001040442
NUDCD2,NM_001329991
NPM1,NM_001037738
RPL26L1,NM_001317980
HIGD2A,NM_138820
PRELID1,NM_001271828
NHP2,NM_001034833
SQSTM1,NM_001142298
HEIH,NR_045680
RACK1,NM_006098
FAM50B,NM_012135
NRN1,NM_001278710
PAK1IP1,NM_017906
TMEM14C,NM_001165258
NOL7,NM_001317724
NHLRC1,NM_198586
PPP1R11,NM_021959
RPP21,NM_001199120
MRPS18B,NM_014046
IER3-AS1,NR_149095
HLA-B,NM_005514
ATP6V1G2,NM_001204078
C6orf47,NM_021184
LSM2,NM_021177
SNHG32,NM_001040437
RNF5,NM_006913
NOTCH4,NM_004557
HSD17B8,NM_014234
RPS18,NM_022551
PFDN6,NM_001185181
CUTA,NM_001014433
RPS10,NM_001014
RPL10A,NM_007104
SRSF3,NM_003017
PPIL1,NM_016059
GLO1,NM_006708
TOMM6,NM_001134493
MRPS10,NM_018141
C6orf226,NM_001008739
MEA1,NM_001318942
MRPL2,NM_001300848
DNPH1,NM_006443
MRPS18A,NM_001193343
MRPL14,NM_001318767
COX7A2,NM_001366292
LYRM2,NM_020466
NDUFAF4,NM_014165
GTF3C6,NM_138408
CALHM6,NM_001010919
RWDD1,NM_001007464
HDDC2,NM_016063
RPS12,NM_001016
ABRACL,NM_021243
SF3B5,NM_031287
PCMT1,NM_001252049
GTF2H5,NM_207118
ACAT2,NM_001303253
MAS1,NM_001366704
C6orf120,NM_001029863
PSMB1,NM_002793
PSMG3,NM_001134340
NUDT1,NM_001367553
NDUFA4,NM_002489
TOMM7,NM_019059
CYCS,NM_018947
PDE1C,NM_001191056
C7orf25,NM_001099858
PSMA2,NM_002787
MRPS24,NM_032014
POLD2,NM_001127218
SNHG15,NR_003697
SEC61G,NM_001012456
MRPS17,NM_015969
CHCHD2,NM_001320327
NUPR2,NM_001145712
EIF4H,NM_022170
TMEM60,NM_032936
BRI3,NM_001159491
PDAP1,NM_014891
BUD31,NM_001370407
ATP5MF,NM_001003713
COPS6,NM_006833
LAMTOR4,NM_001008395
POP7,NM_005837
AP1S1,NM_001283
ZNHIT1,NM_006349
FIS1,NM_016068
IFT22,NM_001130820
POLR2J,NM_001371100
RASA4B,NM_001277335
GPR22,NM_005295
DLD,NM_000108
THAP5,NM_001130475
NDUFA5,NM_001282419
ATP6V1F,NM_001198909
SMKR1,NM_001195243
BPGM,NM_001293085
FMC1,NM_197964
NDUFB2,NM_004546
MRPS33,NM_016071
GALNTL5,NM_145292
HTR5A-AS1,NR_038945
NEIL2,NM_001135746
FDFT1,NM_001287742
C8orf48,NM_001007090
TNFRSF10B,NM_003842
AF106564.1,NA
NEFL,NM_006158
CCDC25,NM_001304529
SARAF,NM_001284239
DCTN6,NM_006571
UBXN8,NM_001282189
MAK16,NM_032509
UNC5D,NM_001322818
STAR,NM_000349
LSM1,NM_014462
TM2D2,NM_001024380
SMIM19,NM_001135674
UBE2V2,NM_003350
MRPL15,NM_014175
RPS20,NM_001023
CHCHD7,NM_001011667
GGH,NM_001410926
YTHDF3-AS1,NA
CRH,NM_000756
SNHG6,NR_002599
RPL7,NM_000971
ELOC,NM_001204857
FABP5,NM_001444
RBIS,NM_001099670
OTUD6B-AS1,NR_110438
UQCRB,NM_001199975
LAPTM4B,NM_018407
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
AARD,NM_001025357
NDUFB9,NM_001278645
SQLE,NM_003129
LY6E,NM_001127213
CYC1,NM_001916
RPL8,NM_000973
COMMD5,NM_001081003
DMAC1,NM_001318058
RPS6,NM_001010
SMIM27,NM_001349118
NDUFB6,NM_001199987
BAG1,NM_001172415
CHMP5,NM_001195536
NUDT2,NM_001161
RPP25L,NM_148178
DCTN3,NM_001281425
STOML2,NM_001287031
HINT2,NM_032593
TOMM5,NM_001001790
ISCA1,NM_030940
DAPK1,NM_001288729
SEC61B,NM_006808
MRPL50,NM_019051
TXN,NM_001244938
CDC26,NM_139286
PRPF4,NM_001244926
POLE3,NM_001278255
ATP6V1G1,NM_004888
RAB14,NM_016322
NDUFA8,NM_001318195
RPL35,NM_007209
ARPC5L,NM_030978
RPL12,NM_000976
DPM2,NM_001378436
C9orf16,NA
SET,NM_001122821
ENDOG,NM_004435
MED27,NM_001253881
RPL7A,NM_000972
SURF2,NM_001278928
TMEM141,NM_032928
PHPT1,NM_001135860
EDF1,NM_001281297
SSNA1,NM_003731
TMEM203,NM_053045
IDI1,NM_001317955
GDI2,NM_001115156
ATP5F1C,NM_001001973
OPTN,NM_001008211
COMMD3,NM_012071
ZNF32,NM_001005368
FRMPD2,NM_001017929
FAM241B,NM_145306
AIFM2,NM_001198696
CHCHD1,NM_203298
VDAC2,NM_001184783
ZNF503-AS2,NR_024421
RPS24,NM_001026
SNCG,NM_001330120
GOT1,NM_002079
BLOC1S2,NM_001001342
NDUFB8,NM_001284367
MRPL43,NM_001308396
FBXW4,NM_001323541
NPM3,NM_006993
NOLC1,NM_001284388
FBXL15,NM_001387294
CUEDC2,NM_024040
BORCS7,NM_001136200
ATP5MD,NA
GSTO1,NM_001191002
ZNF511,NM_145806
HRAS,NM_001130442
RPLP2,NM_001004
POLR2L,NM_021128
PHLDA2,NM_003311
OSBPL5,NM_001144063
NUP98,NM_001365125
TRIM68,NM_001304496
CAVIN3,NM_145040
ARFIP2,NM_001242854
TIMM10B,NM_012192
TAF10,NM_006284
MRPL17,NM_022061
RPL27A,NM_000990
AKIP1,NM_001206645
RNF141,NM_016422
RPS13,NM_001017
SAAL1,NM_138421
LDHA,NM_001135239
CD59,NM_000611
PEX16,NM_004813
NDUFS3,NM_004551
APLNR,NM_005161
TIMM10,NM_012456
TMX2,NM_001144012
SELENOH,NM_001321335
TKFC,NM_001351976
TMEM258,NM_014206
FTH1,NM_002032
UQCC3,NM_001085372
UBXN1,NM_001286077
GNG3,NM_012202
COX8A,NM_004074
VEGFB,NM_001243733
BAD,NM_004322
PRDX5,NM_001358511
SNX15,NM_013306
SAC3D1,NM_001367485
CDCA5,NM_080668
ZNHIT2,NM_014205
FAU,NM_001997
MRPL49,NM_004927
CCDC85B,NM_006848
DRAP1,NM_006442
BANF1,NM_001143985
MRPL11,NM_016050
POLD4,NM_001256870
AIP,NM_001302959
NUDT8,NM_001243750
MRPL21,NM_181512
CCND1,NM_053056
LAMTOR1,NM_017907
ANAPC15,NM_001278485
COA4,NM_016565
SPCS2,NM_014752
RPS3,NM_001005
NDUFC2,NM_001204054
TMEM126B,NM_001193537
TMEM126A,NM_001244735
CWC15,NM_001363371
ENDOD1,NM_015036
CNTN5,NM_001243270
C11orf1,NA
TIMM8B,NM_012459
C11orf71,NM_001271562
ATP5MG,NM_006476
RPS25,NM_001028
TRAPPC4,NM_001318486
FEZ1,NM_005103
THYN1,NM_001037304
MRPL51,NM_016497
COPS7A,NM_001164093
PTMS,NM_001330333
TPI1,NM_000365
C12orf57,NM_001301834
NECAP1,NM_015509
GABARAPL1,NM_001363598
PRR4,NM_001098538
SMIM10L1,NM_001271592
WBP11,NM_016312
ARHGDIB,NM_001175
STRAP,NM_007178
KRAS,NM_001369786
ZCRB1,NM_033114
PFKM,NM_000289
TUBA1A,NM_001270399
COX14,NM_001257133
ATG101,NM_001098673
SPRYD3,NM_032840
IGFBP6,NM_002178
PFDN5,NM_002624
C12orf10,NA
PRR13,NM_001005354
ATP5MC2,NM_001002031
HNRNPA1,NM_002136
COPZ1,NM_001271734
BLOC1S1,NM_001487
CD63,NM_001040034
RPS26,NM_001029
PA2G4,NM_006191
RPL41,NM_001035267
MYL6B,NM_001199629
MYL6,NM_021019
