"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","amp_ratio_CTL","amp_ratio_AD","mesor_CTL","mesor_AD","BHQ","Bonf","Log_AD_CTL_ampRatio"
"NOC2L",2.60533190578252e-36,"2.72857828744951","2.7314333592087","7.34901452488922","5.5018913357659","0.1985197387521","0.285753997291568","27.7145807784703","25.7179762822029",9.2845157089678e-36,3.65345693147883e-32,0.289474313633411
"KLHL17",1.40823639238574e-07,"1.34896993280917","1.1254774737832","1.52040857154334","0.921382116763908","0.131734112190207","0.198208547591016","6.9942560924049","7.67075179159557",1.88288510015496e-07,0.00197476989304252,0.500859531240408
"HES4",1.47045774356352e-21,"4.21772220113251","3.99277957374002","5.77737026643899","6.11162381859337","0.304567863929128","0.384773530220457","20.0665419514369","15.0149888510492",3.26476075649006e-21,2.06202289379912e-17,-0.0562438940158945
"ISG15",1.55747824915878e-13,"2.95940565823519","3.19478854201389","1.74948604621608","2.68013962499723","0.492206526370084","0.438677192769398","5.44515255570191","3.98809437794444",2.60938082293352e-13,2.18405174879536e-09,-0.426546835121062
"AGRN",0.570487740093707,"1.12256359888536","4.39924836589494","0.938160890736761","0.389850165811424","0.0246522087456547","0.0604249503174551","15.814005545452","15.5260515036907",0.577989276738245,1,0.878158984526556
"C1orf159",5.03671013054169e-33,"6.14301767928055","6.15681218119634","6.54881287512931","6.1019956414484","0.212072235589306","0.233704482985873","28.7731943056675","28.0217683095329",1.60887895582201e-32,7.06297861605861e-29,0.0706679207710963
"SDF4",4.16542830968717e-28,"2.78097925252843","2.75018044055631","5.9911065805783","5.83391906230499","0.161970071007994","0.173298852364617","36.0185003686087","34.57095358008",1.13069688708369e-27,5.84118011867432e-24,0.0265871351570354
"B3GALT6",7.31611152057817e-64,"3.04578822232829","3.17335152148526","3.16101476526556","3.26408096800637","0.395465519403869","0.428075620490093","8.25376880625823","7.38424384375497",8.40933047975965e-63,1.02593831853068e-59,-0.0320851388719125
"UBE2J2",6.3315580774834e-11,"2.43761758261293","2.1927089689355","2.59625437486167","2.36540908095177","0.0907284947169057","0.10342765377181","26.0712920271895","25.1021296547027",9.62882972785487e-11,8.87874389205497e-07,0.093118801372156
"SCNN1D",7.91764415759656e-05,"1.06342608557986","0.430345502709016","1.32824127846329","1.31212504991294","0.140552982883685","0.143882312908151","9.33544790720516","9.2314423615861",9.49778648605445e-05,1,0.0122077217276419
"ACAP3",0.00246919190883874,"2.60348321628445","2.63656174532657","7.15907443929671","4.3115403579134","0.0605184342577114","0.103345229771106","71.243422120823","69.2733903166403",0.00278698310831018,1,0.507085472468324
"PUSL1",5.05896754191919e-21,"3.43367677966473","3.4591763998247","0.745176387519375","1.09475146781256","0.290482941783023","0.219897745226721","3.76872893496888","3.38874046548807",1.10398228820935e-20,7.09419018403328e-17,-0.384661694327925
