"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"WDR64",0.000470753467473143,"1.43086230403291","1.24112154032223","7.54228509749976","2.24571778935759",0.289618928907273,1,1.21150000134329
"RPL29",0.0002128347483678,"3.06865221055519","3.2659296284652","21.4541174505373","30.5023654481351",0.289618928907273,1,-0.351887653593755
"MRPS18B",0.000489947048578054,"2.76105898524232","3.13326249444345","2.57518187268219","3.73066425315637",0.289618928907273,1,-0.370666139967443
"TMEM141",0.000528205117255128,"3.48555726176038","3.54759517617731","4.95571420028357","7.63875674886991",0.289618928907273,1,-0.432693566043571
"NRIP2",0.000444715080372726,"2.10072658694461","1.94787525726885","1.91714386820157","0.495860835962053",0.289618928907273,1,1.35229647414818
"ING1",0.000452916859247735,"2.25832435020475","2.7487152627634","2.13504924501825","2.7756554555946",0.289618928907273,1,-0.262397207524889
"MAP1A",0.000282961854072782,"2.44058483776295","2.5501975040249","82.9638999317371","48.3637279023286",0.289618928907273,1,0.539655463342224
"CTXN2",0.000300649496582583,"2.53095188481257","3.02776522088028","2.64294347552308","2.54707455454059",0.289618928907273,1,0.0369477818288369
"TGFBR3L",0.000335708755713834,"3.05234391990368","3.14302242153413","6.81048777479173","11.0260920903979",0.289618928907273,1,-0.481800728394934
"C19orf53",0.000356130128561427,"3.0800531579233","3.32106276224356","9.89332203688317","13.5598054939182",0.289618928907273,1,-0.315249950497104
"COX7A1",0.000147151530560472,"3.19720042711407","3.39544699666923","5.76343239932192","13.5222327992169",0.289618928907273,1,-0.852802004962113
"NEFH",0.000421295365610188,"2.33911123970064","2.3026748708248","28.9157631882523","9.77773397819332",0.289618928907273,1,1.08427912783146
"RPS19BP1",0.000335206177999192,"3.39737041133362","3.54952263140591","7.52504415902248","11.5868116758633",0.289618928907273,1,-0.431630847902487
"UQCR11",0.000615346411473808,"3.0908216158722","3.33188551438429","17.2368941033327","26.5226957314456",0.292412614732354,1,-0.430948716564242
"POLR2I",0.000587593703376729,"3.02491336254136","3.18309361326504","9.49213455139369","13.6230990796493",0.292412614732354,1,-0.36130330001124
