"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"CREM (human)",0.0468308718986441,1.64943803043046,5.04928054366202,"['COX8A', 'SET', 'RPL21', 'RPL34', 'BUD31', 'MRPS33', 'RPL11', 'TIMM10', 'RPL9', 'MRPL54', 'C1ORF216', 'RPS28', 'DBNDD2', 'RPS27', 'CCDC85B', 'NDUFS5', 'NDUFAF4', 'C18ORF32']",0.345535892657563,0,0,18,"CREM",0.345535892657563,0.151959210201527,0.0163434152030753,NA,NA,NA,0.0350016480651947,0.779542487038182
"XBP1 (human)",0.04869481394492,1.73005255613951,5.22853498207239,"['COX8A', 'MESP1', 'RPS9', 'XBP1', 'MRPS24', 'H3F3B', 'BAD', 'BUD31', 'RPL11', 'TIMM10', 'RPL9', 'RPS27', 'POLE3', 'DCAF11', 'SEPHS2']",0.349833794920083,0,0,15,"XBP1",0.349833794920083,1.82397952508502e-35,1.40867182254847e-17,0.654699174301869,0.652993293689233,-0.292121618938951,4.2035981648671e-06,0.00517453394131877
"E2F1 (mouse)",0.0574102929252849,1.31525502497967,3.75838289126335,"['RPL30', 'NDUFA13', 'RPL32', 'MRPS12', 'MEA1', 'SNAPC5', 'MRPL40', 'YWHAQ', 'RPL36AL', 'RPL36', 'RPL35', 'RPLP2', 'TMSB10', 'RPS10', 'COX8A', 'BUD31', 'GCHFR', 'PCP4', 'MRPL51', 'PPDPF', 'RPL26', 'PFDN5', 'CHMP5', 'PRR13', 'SET', 'SEMA3C', 'RPS19BP1', 'COX17', 'COX7A2', 'ARPP19', 'LAGE3', 'PSMB10', 'ANAPC11', 'CCDC85B', 'POLD2', 'BAG1', 'RPL13', 'TBL1X', 'POLR2K', 'NDUFA2', 'MT3', 'MRPL21', 'MZT1', 'RPS28', 'DBNDD2', 'RPS27', 'NDUFAF4', 'LAMTOR2', 'RSL24D1', 'RPS24', 'TPT1', 'NOP10']",0.401872050476994,0,0,52,"E2F1",0.401872050476994,1.07166518065873e-09,3.65781529737397e-08,0.935221843833067,0.933690411011139,0.283299768441761,0.885643637070756,0.754349647205564
"CRTC3 (human)",0.0597549144818664,1.54931867703015,4.36521132317171,"['GABARAPL2', 'MAGEH1', 'NRN1', 'RPL32', 'SEMA3C', 'NDUFB10', 'RPL34', 'PNMA5', 'UQCR11', 'NENF', 'RPL9', 'LAGE3', 'C1ORF216', 'TCEAL7', 'MARCKS', 'GUK1', 'RPS29', 'RPL37', 'FAU', 'RSL24D1']",0.407827291338738,0,0,20,"CRTC3",0.407827291338738,4.34821993690928e-47,1.21606255055126e-24,0.946104907235377,0.945260337522717,-0.0610104616758335,0.00773579940873652,0.930069559034011
"THRB (human)",0.0629697854193654,1.332988863658,3.68584785901214,"['ISCA2', 'COX7B', 'NDUFB11', 'TXN', 'COX5B', 'RPL8', 'COX7C', 'LAGE3', 'GABARAP', 'RPL7', 'ANAPC11', 'EEF1B2', 'MRPL40', 'BLOC1S1', 'DDT', 'SUMO2', 'SCN5A', 'RPS2', 'RPL17', 'AP2M1', 'RPS13', 'YWHAH', 'COX8A', 'NDUFA7', 'RPL21', 'BAD', 'RPL23', 'DCXR', 'RPS5', 'EIF1', 'MZT2B', 'GCHFR', 'RPS25', 'DBNDD2', 'HAX1', 'MORN2', 'RPL27A', 'PPDPF', 'POLE3', 'SNRPE', 'PHPT1', 'DCTPP1', 'RPL26L1', 'RPS24']",0.419286619987482,0,0,44,"THRB",0.419286619987482,2.15852226843211e-19,2.15706961168741e-16,0.976580030797734,0.975992847783691,0.00804189823930182,0.00340944893459816,0.0880049664348358
"ELK1 (mouse)",0.0647639714321441,1.40252827677977,3.83872806560833,"['RPL11', 'COX7A2', 'NEDD8', 'TMEM160', 'COX6A1', 'TOMM22', 'RPS14', 'PRDX5', 'MRPL40', 'AP2S1', 'ARL6IP4', 'CHCHD1', 'SERF2', 'POLR2L', 'COX8A', 'FIS1', 'GABARAPL2', 'ATP6V1G1', 'NDUFA6', 'GADD45B', 'NDUFA4', 'EDF1', 'HOPX', 'PNRC2', 'DNAJA1', 'ARL4A', 'NEIL2', 'NDUFS6', 'SNRPE', 'LY6E', 'SRSF9']",0.420965814308936,0,0,31,"ELK1",0.420965814308936,6.78291336292537e-30,3.28789152842772e-26,0.882300972181047,0.881139704669018,0.15197273816795,0.356942475674832,0.994575171132238
"MTF1 (human)",0.0740248791916627,1.38846146160149,3.61465675126466,"['STOML2', 'NDUFA13', 'NRN1', 'SET', 'RPL12', 'FRMPD2', 'MRPS12', 'NDUFB2', 'NDRG1', 'PET117', 'RPL7', 'UBL5', 'GUK1', 'TMSB4X', 'SUMO2', 'DCAF11', 'TMSB10', 'HRAS', 'NDUFA8', 'GPX4', 'NDUFA1', 'EDF1', 'C4ORF48', 'LSM3', 'MZT2B', 'RPS27', 'NEIL2', 'C18ORF32', 'RPL24', 'PRR13']",0.469971907426137,0,0,30,"MTF1",0.469971907426137,9.12950912051978e-08,8.65711640757764e-06,0.861510332810064,0.859108324307567,0.0615837573852901,0.448728318878484,0.89629969335107
"PLAU (human)",0.0800394790071991,1.38313743218807,3.49274743869667,"['ZNF593', 'COX7B', 'NRN1', 'UQCRB', 'NDUFB2', 'RPL9', 'RPS14', 'CHCHD2', 'YWHAQ', 'GUK1', 'RPLP2', 'RPL13', 'RPL18', 'ATP6V1G1', 'GABARAPL1', 'RPL41', 'RPS9', 'XBP1', 'RPL21', 'RPS3A', 'C1ORF216', 'RPS27', 'RPS29', 'UBE2S', 'C18ORF32', 'CYCS', 'AURKAIP1', 'PTMA', 'TPT1']",0.490550793298375,0,0,29,"PLAU",0.490550793298375,NA,NA,NA,NA,NA,NA,NA
"Gata1 (mouse)",0.0809192890015842,1.43994161358811,3.62044959541294,"['RPL39L', 'NDUFA8', 'ISCA2', 'SET', 'NDUFA6', 'RPS5', 'COX17', 'SUPT4H1', 'PNMA5', 'CHCHD10', 'NENF', 'COX7A1', 'PTMS', 'CCDC85B', 'BAG1', 'CYCS', 'ARL6IP4', 'LAMTOR2', 'SEC61B', 'SNRNP25', 'SAC3D1', 'VAMP2', 'PRR13']",0.490550793298375,0,0,23,"Gata1",0.490550793298375,NA,NA,NA,NA,NA,NA,NA
"FOXC1 (human)",0.0826569102260999,1.18276574433454,2.94870224075073,"['ISCA2', 'IFI27L2', 'RPL30', 'RPL32', 'RPL34', 'MRFAP1', 'RPL8', 'COX6A1', 'RPL9', 'TOMM22', 'EEF1B2', 'RPS15', 'CHCHD2', 'LGALS1', 'RPL18A', 'RPS18', 'RPL36AL', 'C19ORF53', 'RPL37', 'TMSB10', 'CHCHD1', 'RPL39', 'AP2M1', 'CHGB', 'GABARAPL2', 'GABARAPL1', 'RPS9', 'RPL21', 'RPL22', 'NEIL2', 'NHP2', 'RPL24', 'SRSF3', 'NHLRC1', 'SNRNP25', 'RPL26', 'AURKAIP1', 'RPL29', 'PHPT1', 'PPIB', 'VPS25', 'CTXN1', 'LY6E', 'PRR13', 'SRSF9', 'BEX4', 'SET', 'BEX1', 'UQCRB', 'NDUFB10', 'NDUFB11', 'COX17', 'SUPT4H1', 'MRPL14', 'COX7A2', 'TXN', 'NDRG1', 'OAZ1', 'COX7A1', 'GABARAP', 'ANAPC11', 'MYL12B', 'BLOC1S1', 'SAC3D1', 'SERF2', 'RPL39L', 'BTF3', 'FIS1', 'RPL41', 'F8A1', 'SDF2L1', 'H3F3B', 'GADD45B', 'SNHG8', 'DSTN', 'MT3', 'LSM4', 'LSM3', 'HOPX', 'MLLT11', 'RPS26', 'C1ORF216', 'RPS25', 'RPS27', 'UQCRQ', 'RPS29', 'UBE2S', 'NDUFAF4', 'OR6A2', 'RPS24', 'COX7B', 'MAGEF1', 'GPR22', 'MRPS12', 'NENF', 'SNAPC5', 'SEC61G', 'TMSB4X', 'SUMO2', 'RPLP2', 'TMED2', 'MRPL9', 'SCN5A', 'ZNF488', 'HRAS', 'YWHAH', 'TPI1', 'GPX4', 'H2AFZ', 'C14ORF119', 'BUD31', 'DCXR', 'NME2', 'NDUFC1', 'RPS3A', 'EDF1', 'C4ORF48', 'DCK', 'ARL4A', 'HAX1', 'MRPL51', 'SDHAF1', 'UFC1', 'PFDN2', 'PFDN5', 'DCTPP1', 'VAMP2', 'CHMP5', 'MAGEH1', 'ZNF593', 'NDUFB7', 'SEMA3C', 'RPL10', 'DCTN3', 'POMP', 'UQCR11', 'TMEM160', 'TIMM10', 'RNF5', 'PSMB10', 'PET117', 'TCEAL7', 'GNG3', 'RPS15A', 'DDT', 'AP2S1', 'RPL13', 'RPL15', 'TBL1X', 'RPS27A', 'DCAF11', 'POLR2I', 'TAF9B', 'POLR2J', 'RILP', 'RPL17', 'TIMM8B', 'CDKN2D', 'GADD45GIP1', 'NDUFA8', 'NDUFA7', 'BAD', 'NDUFA1', 'COX6C', 'ATOX1', 'PNRC2', 'MARCKS', 'DBNDD2', 'SPCS1', 'MORN2', 'POLE3', 'TOMM7', 'FAU', 'TOMM6']",0.490550793298375,0,0,174,"FOXC1",0.490550793298375,NA,NA,NA,NA,NA,NA,NA
"NRF1 (human)",0.0865482731709379,1.37758317998181,3.37101898357407,"['MESP1', 'NDUFA13', 'SET', 'UQCRB', 'NDUFB11', 'COX17', 'MRPS12', 'RPL10A', 'RPL8', 'COX6A1', 'RNF5', 'RPS16', 'SEC61G', 'BAG1', 'RPL36', 'HNRNPA1', 'POLR2J', 'HRAS', 'BAD', 'C14ORF119', 'RPS5', 'C4ORF48', 'MT3', 'MZT2B', 'NEIL2', 'NDUFS6', 'TOMM7', 'CHMP2A']",0.496654346559308,0,0,28,"NRF1",0.496654346559308,2.71312940314662e-45,2.59284933960146e-27,0.928172433262443,0.926652543903485,-0.0985572850611195,2.13704269075022e-05,0.0892701371494578
"FOXO3A (human)",0.0873238411532849,1.49780564263323,3.65184750593488,"['BTF3', 'BEX4', 'ATP6V1G1', 'RPL12', 'RPL11', 'NDUFA1', 'UBL5', 'PCP4', 'SDHAF1', 'RPL36', 'SNRPE', 'SEC61B', 'AURKAIP1', 'RPL18', 'TMSB10', 'CHCHD1', 'RPL39', 'RPS24']",0.496654346559308,0,0,18,"FOXO3A",0.496654346559308,NA,NA,NA,NA,NA,NA,NA
"CEBPD (human)",0.0963092406988537,1.35863868879841,3.17947404178947,"['SET', 'NDUFB7', 'RPL11', 'GABARAP', 'MRPL54', 'RPL18A', 'DDT', 'TMED2', 'BANF1', 'RPL37', 'RPL39L', 'CDKN2D', 'FIS1', 'XBP1', 'GPX4', 'NME2', 'CHCHD10', 'NDUFC1', 'MZT2B', 'GCHFR', 'NDUFS5', 'RPL27A', 'NHP2', 'RPL24', 'SNRPE', 'RPL29', 'TOMM5', 'TPT1']",0.52027640492118,0,0,28,"CEBPD",0.52027640492118,3.13048540699208e-20,4.2400677551333e-10,0.934060416386101,0.932530885410376,-0.0573559781319724,0.9301713962191,0.941767217821627
"NR5A1 (mouse)",0.0968986872351158,1.44079107012861,3.36293503156438,"['FIS1', 'NDUFA8', 'MESP1', 'XBP1', 'SET', 'RPS19BP1', 'RPS8', 'MRPS12', 'EDF1', 'CRIP2', 'UQCR11', 'TOMM22', 'UBL5', 'RPL36AL', 'NDUFAF4', 'SDHAF1', 'CYCS', 'TMSB10', 'RPS21', 'TOMM5']",0.52027640492118,0,0,20,"NR5A1",0.52027640492118,NA,NA,NA,NA,NA,NA,NA
"E2F1 (human)",0.0971944932270336,1.20775759061246,2.81533273130628,"['NDUFA13', 'YJEFN3', 'MAGEF1', 'FRMPD2', 'MRPS12', 'PARK7', 'RPL8', 'RPL9', 'TMEM141', 'RPL7', 'RPS15', 'CHCHD2', 'MRPL40', 'RPS19', 'RPLP2', 'ARL6IP4', 'TMED2', 'RPL38', 'SCN5A', 'SEC61B', 'ZNF488', 'HRAS', 'COX8A', 'TPI1', 'GPX4', 'C14ORF119', 'NDUFC1', 'EDF1', 'DCK', 'MZT2B', 'ARL4A', 'MRPL51', 'NDUFS6', 'PPDPF', 'NHP2', 'PHPT1', 'PTMA', 'DCTPP1', 'CTXN1', 'NDUFB10', 'RPL11', 'NDUFB2', 'RPL36A', 'CRIP2', 'UQCR10', 'RNF5', 'NDRG1', 'GABARAP', 'PET117', 'ANAPC11', 'MYL12B', 'GNG3', 'RPS15A', 'PGK1', 'RPL15', 'HNRNPA1', 'DCAF11', 'TAF9B', 'POLR2J', 'RPL39L', 'CDKN2D', 'OST4', 'FIS1', 'NDUFA7', 'F8A1', 'NDUFA6', 'GADD45B', 'BAD', 'DSTN', 'CHCHD10', 'LSM3', 'MRPL21', 'UQCRQ', 'CHMP2A', 'CYCS', 'PYDC1', 'PIN1', 'LAMTOR2', 'RPS24', 'TOMM6']",0.52027640492118,0,0,80,"E2F1",0.52027640492118,1.07166518065873e-09,3.65781529737397e-08,0.935221843833067,0.933690411011139,0.283299768441761,0.885643637070756,0.754349647205564
"LEF1 (mouse)",0.101452975611576,1.34934860177579,3.08752533785005,"['MESP1', 'SET', 'MRPL14', 'RPL9', 'RNF5', 'NDRG1', 'TOMM22', 'SNAPC5', 'GUK1', 'CCDC85B', 'TMSB4X', 'SUMO2', 'RPL15', 'HNRNPA1', 'NDUFA8', 'ATP6V1G1', 'GPX4', 'RPL23', 'NME2', 'HOPX', 'RPS27', 'SPCS1', 'S100A6', 'SRSF3', 'FAU', 'RPL26', 'VPS25', 'PRR13']",0.532628121960775,0,0,28,"LEF1",0.532628121960775,NA,NA,NA,NA,NA,NA,NA
