"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"SPTAN1","Q13813","3.41068653896211","17256.0408063206","0.551896988461672","0.016331445309433","-4587.65719387095","-16635.0336873998",0.888633645200623,1
"PLEC","Q15149","2.84706751402268","19523.3361812502","0.241043557703016","0.0298680511773117","5667.34081702696","-18682.6631856856",0.854892910878459,1
"ANK2","Q01484","3.35604449580696","1916.01978374718","0.952323436823758","0.00392858812161893","-407.751732175902","-1872.12989309453",0.988363400196758,1
"DYNC1H1","Q14204","2.81173435747543","13870.4930995762","0.169029550107403","0.022411048740164","4492.77709535208","-13122.7105735389",0.83269161670938,1
"SPTBN1","Q01082","3.91356842688118","12629.9005466868","0.597673911204555","0.0159118546096087","-8810.01627219782","-9049.75143873075",0.896993196896091,1
"SYNE1","Q8NF91","2.92353192419843","4353.1887251677","0.313900640592753","0.0211402264655364","941.754416549681","-4250.10008068473",0.858320217020593,1
"MACF1","Q9UPN3","3.05727915294688","1604.86503350792","0.743189649517413","0.00683736629013381","135.151529357803","-1599.1641066159",0.932244884056236,1
"AHNAK","Q09666","2.69845025493416","21255.4610459393","0.139192370785647","0.0711589380268542","9113.92610532751","-19202.3690002581",0.827648951646392,1
"MAP1B","P46821","3.66890772137602","17741.9388189823","0.108854873546059","0.0279575609434924","-8928.00873738639","-15331.8965898438",0.815334624224548,1
"MAP2","P11137","3.82072337916082","12300.5407812502","0.530589496486089","0.024186232488494","-7726.17708198877","-9571.28472092179",0.883945165029759,1
"DST","Q03001","2.14544585595772","4907.69783936533","0.162709998820173","0.0269978321851575","4119.43739498833","-2667.53324839314",0.83269161670938,1
"BSN","Q9UPA5","4.97960254181484","6367.04761596179","0.156434292554788","0.0343578951155088","-6141.08354544458","1681.18655472694",0.83269161670938,1
"MAP1A","P78559","2.58699069906741","9525.6128794847","0.186633650425481","0.0282642172911204","5016.23498405226","-8097.81991122148",0.834634147368829,1
"CLTC","Q00610","5.57970697888481","8013.20995064697","0.687611638645638","0.0158589655546844","-5183.53843151308","6110.84798061403",0.920033791845379,1
"TLN2","Q9Y4G6","3.4588287074287","2935.18444977197","0.554661934252486","0.0155733567261777","-915.606505791085","-2788.7223742668",0.888881935758129,1
"SPTBN2","O15020","4.0990234739932","3604.19630221568","0.41872639207167","0.0198340823760729","-2947.20678657795","-2074.65735533705",0.86926232833947,1
"PCLO","Q9Y6V0","4.65186368413335","3411.27381264957","0.211104438301642","0.0252768859881386","-3405.02744059568","-206.342321541518",0.845199919193779,1
"AKAP12","Q02952","2.44138135567307","9466.47912347282","0.0398539377312225","0.0528905600523544","6100.0030245909","-7239.07384235917",0.780251954668264,1
"ANK3","Q12955","2.01877251281498","2420.94926349548","0.495532901471583","0.0203969927972296","2182.06341928854","-1048.61554948518",0.883046502234227,1
"MYH10","P35580","3.6804504192724","1851.75830046532","0.810506036321673","0.00768320204464826","-950.240793881741","-1589.35560432057",0.94385904140351,1
"RYR2","Q92736","5.87444063410451","2672.38753811815","0.135055798236745","0.0268683037579988","-1062.16107857094","2452.23754906783",0.825159440698733,1
