"Symbol","Uniprot","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"RTN4","Q9NQC3",0.84370001857082,"3.81223270840981","3.53143523957264","3959.61422622961","3212.23196456978",0.878577381543236,1,0.209180591315143
"LRPPRC","P42704",0.113782291914562,"4.79924901032199","4.32860723872799","7757.87257979719","2561.48913527198",0.202662735430314,1,1.10811936168156
"CEP170B","Q9Y4F5",0.0434999626640614,"5.48645788036997","4.67808929306198","1854.17138993898","576.3103748143",0.102273245552393,1,1.16854682445128
"PGK1","P00558",0.00453669322326285,"2.40712138398736","0.886197985333248","19147.7134993797","6310.19875613211",0.0275491623838318,1,1.11001613433609
"RANBP2","P49792",0.0336974378084803,"2.50902778271263","1.34456455063187","1304.47291815184","764.51289436856",0.089577611058724,1,0.534315452398652
"HSPA1B","P0DMV9",0.252924529225703,"2.04666765180108","1.34699956264667","9889.07662930487","8042.55381548276",0.357746192407478,1,0.206684105705587
"CEP170","Q5SW79",0.121808928033547,"1.91206595767649","2.47060062899496","885.547063860531","321.136355291384",0.214076155912779,1,1.01433978951145
"KALRN","O60229",0.00471455497253506,"5.51215623853379","4.60092085315586","914.512947199755","377.600863448043",0.0280224671963039,1,0.884553904469653
"IQGAP1","P46940",0.210139756455296,"2.00848062276643","1.1589188478813","1717.14843846049","1858.96652512172",0.314022404420485,1,-0.0793556712518166
"CLIP1","P30622",0.00652188916743177,"2.71421814198381","1.49773004085076","2316.46979927651","630.536946162438",0.0338243075448177,1,1.30122791566632
"NF1","P21359",0.206819253327891,"5.27512413735438","4.47767087928544","917.214632373886","562.999242228318",0.309935934873808,1,0.488063221978735
"MSN","P26038",0.372689009097906,"2.06586016199021","1.42116077311933","2810.81767750878","2439.14020931021",0.478525451001923,1,0.141829825480465
"ARHGAP35","Q9NRY4",0.335734118227101,"5.25643109860885","4.64063861755268","917.570327905247","729.676298441759",0.449628730486421,1,0.229128219651388
"ARHGEF2","Q92974",0.00080302778593215,"5.44421044558687","4.00399724855646","1607.4310866255","1262.13377642001",0.0133650529929869,0.424801698758107,0.241833544300888
"OGT","O15294",0.245535558559678,"5.24649401377158","4.97325534566966","2735.34674611038","1532.91020964535",0.350103262744123,1,0.579090182351095
"RELCH","Q9P260",0.202004432472873,"5.35539734343134","4.49971280136887","588.73273378875","504.230142465664",0.304445426718376,1,0.154939522279419
"SOGA3","Q5TF21",0.0354089782647094,"2.3241656404724","1.21389080802689","1928.10046339674","1054.31506952779",0.0909288810778217,1,0.60364396950674
"KIF5A","Q12840",0.157374896856788,"5.07136668016686","4.51980473274447","1009.26892232151","983.486229264702",0.254591193997678,1,0.0258778724848528
"PPFIA4","O75335",0.340798808860351,"1.87562746069048","1.27557341257329","676.44851241657","419.877206362347",0.454112266718201,1,0.476894033217383
"UPF1","Q92900",0.159591071118162,"2.2195696848712","1.32656590227357","726.031299792707","767.09762525257",0.256606919822212,1,-0.055020948655978
"STIP1","P31948",0.000654777498254157,"2.51873639558912","1.17716798514814","10256.8261055263","2071.30109736677",0.0133650529929869,0.346377296576449,1.59976648616986
"SORL1","Q92673",0.492974864678485,"5.09689762256135","4.72924635626752","984.146651617847","1025.55898728338",0.588857136514918,1,-0.0412181742240981
"MINK1","Q8N4C8",0.0186241869960814,"5.54593994984548","4.47925235747842","2034.20711350067","642.314815157359",0.0608160180304139,1,1.15278284734941
"DLG3","Q92796",0.0215334862139161,"5.5246069538269","4.71223448210744","1466.09552691307","567.267912766878",0.0670424114802055,1,0.94952634050935
"HDLBP","Q00341",0.108496219734235,"5.18169900099365","4.20575464622556","748.581708957679","463.333209370832",0.194557627930204,1,0.479733891594259
"SLC4A10","Q6U841",0.610359254827294,"4.71243673150094","4.1759885819489","3188.29211848159","2790.49896439435",0.691391961035628,1,0.133264967242566
"TSC2","P49815",0.0385579411344969,"5.85117794352462","5.12914722110999","1254.12201718076","329.922022663349",0.0971292898102327,1,1.33533468725737
"LRP1B","Q9NZR2",0.00286670813030722,"5.47789479208874","4.11341883420466","412.578663016569","227.292585246681",0.0204930892017908,1,0.596188776489789
"ALDH9A1","P49189",0.00146379601481919,"2.60816203213195","0.377187768844077","5792.05736354345","1312.01874527469",0.0151061531053713,0.774348091839351,1.48492058098431
"DOCK4","Q8N1I0",0.489296044251159,"5.20084677896659","4.84218062702017","957.812288926662","691.497733051029",0.586933350133476,1,0.325791945401499
"XPO1","O14980",0.221507567716513,"2.39698904307547","1.88116383622296","1883.21269603217","884.14934853351",0.324591421944696,1,0.756108483543898
"TTC37","Q6PGP7",0.131023938534343,"5.35775478655267","4.29144550868545","755.583789192703","661.156035593992",0.225037868456712,1,0.133500809284905
"CAST","P20810",0.995008776373085,"1.68941351053743","1.68711222255297","1309.18611607408","1384.29139225107",0.996893262691974,1,-0.0557827198726559
"FKBP4","Q02790",0.127141559136029,"2.32358715595891","1.75488641742968","4429.22557784557","1973.38205378951",0.219081057924949,1,0.808475906304652
"FGB","P02675",0.0275468813056208,"2.14325550385838","1.00612292181152","13090.2140652518","7253.67085477426",0.0777671959351895,1,0.590357267606593
"LRRC7","Q96NW7",0.0129672683430038,"5.61364548396442","4.47438579152002","660.202257415132","403.317631906074",0.0497078619815146,1,0.492821818696633
"PITRM1","Q5JRX3",0.00332075095740385,"5.70907688831467","3.80591189799057","6835.32791379566","3211.52560021527",0.0228139903437226,1,0.755358355604541
"RTCB","Q9Y3I0",0.00145803842447176,"2.50154241666805","0.941230505210474","3891.27612208876","791.670263592294",0.0151061531053713,0.771302326545561,1.59234746349074
"CHGA","P10645",0.0829430666695917,"1.89134467662408","1.02082245277673","3884.64056689729","2688.27049418013",0.160325076768361,1,0.368132413493022
"VGF","O15240",0.147116834964108,"5.28050649295207","4.34727556114428","5928.24017659611","4008.08235923514",0.243202517800041,1,0.391414490510373
"GLG1","Q92896",0.72743568811005,"4.95740187702452","4.76927986714785","1387.90652140438","1115.04808112208",0.790768838656694,1,0.218898986060352
