"Symbol","Uniprot","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"MAP2","P11137",0.838389975262384,"3.79999251159507","3.82768156175437","12218.6567927718","18853.6726527503",0.914836330295084,1,-0.433743701662188
"TPR","P12270",0.0559411738362215,"2.45674864619831","0.917430400823717","1617.23125744681","895.402543152845",0.232622047868954,1,0.591197479661714
"RANBP2","P49792",0.0336974378084803,"2.50902778271263","1.34456455063187","1304.47291815184","764.51289436856",0.186833571849241,1,0.534315452398652
"HSPA1B","P0DMV9",0.252924529225703,"2.04666765180108","1.34699956264667","9889.07662930487","8042.55381548276",0.498389010010956,1,0.206684105705587
"KALRN","O60229",0.00471455497253506,"5.51215623853379","4.60092085315586","914.512947199755","377.600863448043",0.142537177987099,1,0.884553904469653
"CIT","O14578",0.797564894677806,"1.47226158928817","1.21105839935904","1336.56355064671","1978.24464914199",0.89838573915175,1,-0.392108105139298
"IQGAP1","P46940",0.210139756455296,"2.00848062276643","1.1589188478813","1717.14843846049","1858.96652512172",0.457902788083811,1,-0.0793556712518166
"DCLK1","O15075",0.107126923442671,"5.17373834684308","3.44124615121437","1551.79775311258","2123.46423027228",0.318192469035076,1,-0.313634726372556
"PRPF8","Q6P2Q9",0.0533696843748828,"2.79094552845152","0.404839418815637","1556.78366295537","902.426530829769",0.232166747218118,1,0.545289936775477
"MSN","P26038",0.372689009097906,"2.06586016199021","1.42116077311933","2810.81767750878","2439.14020931021",0.615800713708129,1,0.141829825480465
"ARFGEF3","Q5TH69",0.233811373356151,"5.63078330012042","4.40218650251578","306.693085100538","684.732421008706",0.483439287185988,1,-0.803180610951746
"ARHGAP35","Q9NRY4",0.335734118227101,"5.25643109860885","4.64063861755268","917.570327905247","729.676298441759",0.589899031673674,1,0.229128219651388
"ARHGEF2","Q92974",0.00080302778593215,"5.44421044558687","4.00399724855646","1607.4310866255","1262.13377642001",0.130044305183937,0.400710865180143,0.241833544300888
"OGT","O15294",0.245535558559678,"5.24649401377158","4.97325534566966","2735.34674611038","1532.91020964535",0.491595032676433,1,0.579090182351095
"PRKCG","P05129",0.588186518483175,"5.00443369178037","4.52380920750129","1578.51184522457","2410.35067842659",0.762657949891835,1,-0.423289713548151
"SIPA1L1","O43166",0.0988615903457216,"5.51023103319145","4.26310230034159","725.667169860785","564.819752062319",0.306409525357237,1,0.25058480864016
