"Symbol","Uniprot","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"RELCH","Q9P260",0.202004432472873,"5.35539734343134","4.49971280136887","588.73273378875","504.230142465664",0.446018636300724,1,0.154939522279419
"LMNB2","Q03252",0.0220639838539628,"2.55032819973648","0.589379311830507","8724.33614835239","2742.44753450432",0.157284684901821,1,1.15726559659707
"KIAA1107","Q9UPP5",0.269046293230374,"4.94528650007711","3.48130752233772","782.218870419137","1303.51946436105",0.505183451736556,1,-0.51068857881377
"HNRNPA2B1","P22626",0.150028466095525,"2.46235028900129","0.945809119768358","7523.7981472952","2944.67641282953",0.39195918629145,1,0.938072148965511
"RAB3GAP2","Q9H2M9",0.625640824841665,"3.49619967178568","4.41285840316673","487.932612475149","609.577839624735",0.789737687799603,1,-0.222589344262357
"SOGA3","Q5TF21",0.0354089782647094,"2.3241656404724","1.21389080802689","1928.10046339674","1054.31506952779",0.192055219066196,1,0.60364396950674
"NCDN","Q9UBB6",0.496717329906176,"0.850381657846555","1.66382673258984","999.999776119789","2212.07296829251",0.70415326029313,1,-0.79393029447026
"KIF5A","Q12840",0.157374896856788,"5.07136668016686","4.51980473274447","1009.26892232151","983.486229264702",0.398179722439814,1,0.0258778724848528
"UPF1","Q92900",0.159591071118162,"2.2195696848712","1.32656590227357","726.031299792707","767.09762525257",0.398179722439814,1,-0.055020948655978
"ILF3","Q12906",0.0252990464659033,"2.75571351100656","0.908128431740961","2550.24389911119","1144.02350925056",0.172934577897065,1,0.801637558516098
"SORL1","Q92673",0.492974864678485,"5.09689762256135","4.72924635626752","984.146651617847","1025.55898728338",0.702636441049872,1,-0.0412181742240981
"DLG3","Q92796",0.0215334862139161,"5.5246069538269","4.71223448210744","1466.09552691307","567.267912766878",0.157284684901821,1,0.94952634050935
"SLC4A10","Q6U841",0.610359254827294,"4.71243673150094","4.1759885819489","3188.29211848159","2790.49896439435",0.778949534933043,1,0.133264967242566
"LRP1B","Q9NZR2",0.00286670813030722,"5.47789479208874","4.11341883420466","412.578663016569","227.292585246681",0.130044305183937,1,0.596188776489789
"ESYT1","Q9BSJ8",0.2436550245074,"0.915533518477397","2.26872176445395","423.173711775642","690.474049570514",0.49025748882739,1,-0.489595629176133
"NBAS","A2RRP1",0.829350107092527,"4.30971344350859","4.14910326757104","216.417705549898","306.632398367477",0.90961247244552,1,-0.348439268429406
"DOCK4","Q8N1I0",0.489296044251159,"5.20084677896659","4.84218062702017","957.812288926662","691.497733051029",0.702636441049872,1,0.325791945401499
"TTC37","Q6PGP7",0.131023938534343,"5.35775478655267","4.29144550868545","755.583789192703","661.156035593992",0.365847518322244,1,0.133500809284905
"CAST","P20810",0.995008776373085,"1.68941351053743","1.68711222255297","1309.18611607408","1384.29139225107",0.997006785964196,1,-0.0557827198726559
"FGB","P02675",0.0275468813056208,"2.14325550385838","1.00612292181152","13090.2140652518","7253.67085477426",0.175107384116592,1,0.590357267606593
"LRRC7","Q96NW7",0.0129672683430038,"5.61364548396442","4.47438579152002","660.202257415132","403.317631906074",0.151707928645185,1,0.492821818696633
"MPRIP","Q6WCQ1",0.138841362603728,"5.4460326054965","4.31589406148987","400.050085117079","356.732229524588",0.373312876575264,1,0.114604309070422
"CHGA","P10645",0.0829430666695917,"1.89134467662408","1.02082245277673","3884.64056689729","2688.27049418013",0.286821050251462,1,0.368132413493022
"VGF","O15240",0.147116834964108,"5.28050649295207","4.34727556114428","5928.24017659611","4008.08235923514",0.388419580143333,1,0.391414490510373
"LUZP1","Q86V48",0.913869533182279,"1.49989267425932","1.70811315003096","488.739963898681","599.532577063799",0.964103376443884,1,-0.204319736515075
"GLG1","Q92896",0.72743568811005,"4.95740187702452","4.76927986714785","1387.90652140438","1115.04808112208",0.860490497487551,1,0.218898986060352
"HERC2","O95714",0.973008055813267,"6.00511685617303","5.84815834508026","125.826919294364","126.793637468052",0.990869720788088,1,-0.00765355682072457
"PRRC2C","Q9Y520",0.824938340056822,"2.0147751479665","2.22493583091297","135.501638997884","196.998981856713",0.90961247244552,1,-0.374214824312654
"HERC4","Q5GLZ8",0.214733694764505,"5.55156494686983","5.0143944441764","945.999985415355","492.389329937423",0.460226683836419,1,0.652972829060772
"SERPINA1","P01009",0.266517266539379,"1.84181681949564","1.06684127111391","16288.4935079741","16183.4179702943",0.505183451736556,1,0.00647180283800357
"FGA","P02671",0.0154321989032092,"2.05608385327706","1.04773131653386","17904.5977621281","10059.2172129551",0.151707928645185,1,0.576568188273125
"KLC2","Q9H0B6",0.907472129778924,"3.77658999117147","4.0494242665801","1043.42349265026","1086.25480910718",0.95938261177899,1,-0.0402286980128077
"PPFIA1","Q13136",0.414295809756575,"0.213005519923863","1.4272814491934","223.065661708369","151.558395963247",0.642073534317658,1,0.38649517265726
"KNDC1","Q76NI1",0.0483658637694976,"5.08960028955475","4.43282720348469","847.921882344282","501.973684549277",0.227684585103578,1,0.524240814570471
"HOOK3","Q86VS8",0.0643239382473848,"6.09538136359495","3.75187217603615","128.699300651606","233.644762002675",0.252737363664921,1,-0.596323170114931
"SAFB","Q15424",0.0158092430652297,"2.45157083490045","1.22304794885268","1892.06796083283","638.931324504386",0.151707928645185,1,1.08562869385584
"SRGAP2","O75044",0.114155525718478,"2.95713419632707","4.38936114169408","1260.60500399621","604.549621946217",0.333120510722342,1,0.7348632923338
"DHX30","Q7L2E3",0.749053227865521,"4.79029268995387","5.22712169145511","550.064507315457","508.562650993533",0.866665161668797,1,0.0784471420177111
"OSBPL8","Q9BZF1",0.0179501065708647,"5.35558471897849","4.44493011425396","1169.35766877124","490.501562671684",0.152377583765691,1,0.868781411109988
"DLGAP4","Q9Y2H0",0.234850919454614,"5.29747147634503","4.55789981343663","706.169131096094","482.98390384761",0.483439287185988,1,0.379871443531792
"LMNB1","P20700",0.0321917459679767,"2.66869566190344","0.400374264089896","2897.00981377996","753.016597483024",0.184640014230119,1,1.34734711596295
"RASGRF1","Q13972",0.173150615735649,"4.91491578187546","4.2915783323029","910.616708624054","576.174093505063",0.410280393426942,1,0.457712211062032
"FGG","P02679",0.0458645505828812,"2.10488078443137","0.960953596079726","8490.56392090188","5702.95210924729",0.222198162532599,1,0.39797146522379
"MAGI1","Q96QZ7",0.0425942418326764,"5.43477746232428","3.87973418088618","190.507498507806","220.39796862097",0.214692188631369,1,-0.145743304415243
"KIF3B","O15066",0.00610694253426026,"0.072475127288399","4.18170852628689","400.025941862472","328.251795790719",0.145112586885518,1,0.197748415691363
"TBC1D4","O60343",0.677065675252425,"1.53533610766367","1.63329606527752","124.912179031682","253.192146613156",0.826053232153937,1,-0.706537750613899
"SKIV2L","Q15477",0.15859642182543,"5.2860868463532","4.37874199874215","432.670444381788","324.733879535552",0.398179722439814,1,0.286970325089373
"CLUH","O75153",0.0877940799351612,"5.50324070115242","4.92430075482554","524.722073327258","299.646557264556",0.29206163925097,1,0.560265100630486
"DHX15","O43143",0.0040145065692694,"2.45094516617282","0.602013467516671","2197.76346288874","563.181559026524",0.142537177987099,1,1.36159345337037
"HP","P00738",0.106544362933145,"2.02460929159875","1.11598425935608","23067.8098373777","14160.9389055962",0.318192469035076,1,0.487950739191619
"RASAL2","Q9UJF2",0.0150304775356874,"5.25763685470662","3.99791258273734","575.367557631848","426.259960290899",0.151707928645185,1,0.299959671664445
"ERBIN","Q96RT1",0.53293025073325,"0.408295418113377","1.00868523782402","131.400856285382","288.491923934108",0.727204086996746,1,-0.78641446959955
"LCP1","P13796",0.258781916619601,"1.65336089559188","0.955579724844897","972.991078919821","1022.52317755383",0.504422564035863,1,-0.0496536416836648
"MECP2","P51608",0.00793772690167311,"2.69844868510129","0.907105118498274","3674.24746739402","1153.34700863436",0.151707928645185,1,1.15868018339062
"QARS1","P47897",0.227495429730977,"5.25517580243681","4.7285330544914","629.109231010839","347.560955581149",0.474979997639153,1,0.593364838462112
"NAV1","Q8NEY1",0.0144458049149567,"5.52441820071866","4.03073674996876","231.270985772904","172.402008731931",0.151707928645185,1,0.293761111824261
"MAP3K5","Q99683",0.299509159334545,"1.91656399971407","0.952668106746535","386.11138629119","304.946229606285",0.542871548112142,1,0.235990428666483
"KIF3A","Q9Y496",0.0710268261883759,"5.42321984629719","3.94961237432413","589.078288132853","547.423091569131",0.262536194577775,1,0.0733371120489213
"PSMC1","P62191",0.170918336597773,"3.04039852832923","4.90457417123909","387.751089915433","596.818600611743",0.409235304062058,1,-0.43124960272452
"ACIN1","Q9UKV3",0.00759372560553735,"2.58331660263898","0.848980539526098","1422.74475995575","431.387085637785",0.151570763086526,1,1.19333741686479
"SAMHD1","Q9Y3Z3",0.965029149154193,"0.72174211415155","0.678454295238007","605.130864229042","689.98179941074",0.986781855385128,1,-0.131220480426607
"ZNF638","Q14966",0.0113538327902299,"2.21553675486976","0.962591205964295","465.572076587491","191.610208748745",0.151707928645185,1,0.887803775966769
"GPD1L","Q8N335",0.0391759096972765,"3.20536882019995","1.37008956831729","1976.19094374005","1893.08994882027",0.203633113947302,1,0.0429608384609326
"AMPD2","Q01433",0.0199027861958723,"2.19707219903134","1.26739110388333","2190.14260245461","997.163975343752",0.154613685752044,1,0.786806710778378
"SAFB2","Q14151",0.00225404824088651,"2.32850608787241","1.23942444354012","804.237039930698","240.563327023859",0.130044305183937,1,1.20691068259755
"GBF1","Q92538",0.0665015227034487,"5.20179443696585","4.07184747843233","203.087875953963","133.119097475612",0.257242324255976,1,0.422394574576836
"GRK2","P25098",0.124546365337314,"4.88835048505235","3.91924748300537","651.545667626209","397.126157599709",0.351122239001806,1,0.495093482698555
"HSPB1","P04792",0.826017872453816,"1.66885046248172","1.39028397998195","3516.2503851261","3707.25387822107",0.90961247244552,1,-0.0528962176410935
"KCNAB2","Q13303",0.804604691915005,"1.44057642156416","1.79230390244823","708.475552163815","1047.53646658278",0.901607964118271,1,-0.391080912094908
"DGKZ","Q13574",0.0197833957429486,"5.13074673961276","4.40438967537628","887.293705521094","595.269137144465",0.154613685752044,1,0.399162415237005
"GCC2","Q8IWJ2",0.0305352691116702,"5.67503303518713","4.24422162418946","162.87297225223","172.884036064607",0.180410958478336,1,-0.059650472323312
"NEDD4L","Q96PU5",0.361807371052609,"5.16571895824308","4.50332573635148","387.072297590668","294.914282070236",0.60592030041345,1,0.271926746198747
"ANKRD24","Q8TF21",0.00201900017790878,"5.62015278535532","4.63752451910266","895.392468041795","282.993005844933",0.130044305183937,1,1.15183995092623
"NUCB1","Q02818",0.42181050473657,"4.99228911395249","4.54643115781388","844.187809250083","719.173045929044",0.643458683824975,1,0.160272988046205
"TIAM2","Q8IVF5",0.781858057559818,"0.878177238217428","1.29916699361356","281.602922411693","481.105634961837",0.88468746195544,1,-0.535588859186655
"G3BP2","Q9UN86",0.301353544743614,"5.51544630421596","4.15894393308419","697.061503704922","910.044462095474",0.542871548112142,1,-0.266619810285693
"ACADSB","P45954",0.352802479124827,"4.11670608877746","4.75259151388085","1178.07764885479","1229.07896134002",0.600156804923004,1,-0.0423810780729357
"AGO1","Q9UL18",0.0565638244529303,"2.25757410322499","0.714406522717964","352.492522845629","201.876692344337",0.232814750030856,1,0.557372333170275
"MMS19","Q96T76",0.0412141836267258,"5.35724452672436","4.09621436465019","186.740441487072","189.577500605193",0.209855894180981,1,-0.0150782758517095
"IRGQ","Q8WZA9",0.421333097135371,"4.2853395109585","4.61959116289596","216.313357467766","537.41513367537",0.643458683824975,1,-0.910042771288332
"PIK3R1","P27986",0.929997986973127,"1.1650947010526","1.40639988611967","205.943801861328","230.558460342243",0.972890975890126,1,-0.112901129251289
"CLU","P10909",0.941033874668544,"1.60595560810174","1.52276924136875","2483.44640856899","2809.48604710116",0.97757165749113,1,-0.123354288890993
"ADGRB1","O14514",0.378895882646056,"4.62289719551771","3.89858528302144","347.395959775964","326.042822425137",0.623103190535393,1,0.0634364939762202
"NGEF","Q8N5V2",0.132230469207932,"5.21101310525717","4.48896330461942","1468.27786906048","881.586338706092",0.365847518322244,1,0.51012253310808
"MTCL1","Q9Y4B5",0.109753331179578,"0.114624457805841","2.17883348022554","217.084776631131","190.093834895103",0.322158307403585,1,0.132770134849218
"ITGB1","P05556",0.165698093878468,"2.39573808972684","1.3509405138248","982.032961730846","1050.70597169823",0.409235304062058,1,-0.0675926975126961
"ROBO2","Q9HCK4",0.63475714053526,"4.96023844837112","4.55254143560869","216.921367772781","166.943701014976",0.797843358002758,1,0.261878291469593
"CELSR2","Q9HCU4",0.0375636494152437,"5.59822871906633","4.42502853238446","237.691824378012","187.345328843858",0.199407032534113,1,0.238021386917184
"NAMPT","P43490",0.309814546985762,"1.21183933922036","2.0365450279667","1877.90938920065","1799.28804840789",0.552133781949626,1,0.0427680730623752
"RAPH1","Q70E73",0.0899287328244124,"5.71197641180297","4.13502885050597","191.748139640212","258.198849304688",0.293296978296613,1,-0.297547283604411
"FKBP5","Q13451",0.0677040159202367,"2.02415365322794","1.263411820182","1599.38036310376","1593.269597982",0.258469034809695,1,0.00382802540735148
"MACROH2A1","O75367",0.0216285400469937,"2.62983197246847","0.914831627418257","5250.20369302706","1109.401995963",0.157284684901821,1,1.55444574674795
"NOP56","O00567",0.303687729337918,"2.1412663123332","0.872832068716394","299.071975812087","452.606124115494",0.545108550142522,1,-0.414337997873115
"KCNQ2","O43526",0.0791014407201203,"5.27213792629638","4.48976990355963","722.076528770327","447.156076235661",0.277969147319296,1,0.479223431294237
"THOP1","P52888",0.773456683559275,"4.76130367340325","5.15446134551763","676.220432136792","703.837082754783",0.88368987092229,1,-0.0400278069035661
"NUP98","P52948",0.0169463445447789,"2.67679628166966","1.06110335039532","203.606085750377","150.004080832954",0.152377583765691,1,0.305524675669375
"SERBP1","Q8NC51",0.422954806201587,"2.59482421589882","1.85184373961318","707.729836536678","611.355015660998",0.643458683824975,1,0.146384603263642
"USP32","Q8NFA0",0.0590022016536444,"5.18008552858213","4.4290161038512","253.534345536275","163.29480183634",0.239366655489175,1,0.439942131722473
"USP11","P51784",0.651434285853543,"5.20471611513712","5.03076526120042","609.538089938569","440.312077368642",0.805885987102979,1,0.325217698466868
"ARHGEF6","Q15052",0.586139454197713,"1.96095245062226","1.46419055640707","172.625453567381","209.968859173339",0.762657949891835,1,-0.195834990872544
"SORCS2","Q96PQ0",0.183392665950665,"2.8261256254823","4.00251631417967","373.328718138247","351.166816773986",0.421718618937243,1,0.0611979413856694
"KCTD12","Q96CX2",0.153549044191306,"1.95871305799457","0.840909082269931","628.724882765558","341.281703591406",0.394953469337431,1,0.610985526247238
"TMPO","P42166",0.0196577930630123,"2.55045831817479","1.01337544329034","1233.0174964244","391.953090588526",0.154613685752044,1,1.14607752742508
"PNP","P00491",0.0282509934982612,"2.50874249052126","1.06050739975632","1394.42192342225","359.006590967215",0.175107384116592,1,1.35689446899954
"HTATSF1","O43719",0.0131344690999856,"2.44792298692065","0.870384117846656","1583.53902080694","374.31836111003",0.151707928645185,1,1.44231083956556
"TRIM32","Q13049",0.529401746900692,"5.37072432178986","4.83699373956635","380.45242002737","290.853181965495",0.725745801383092,1,0.268542513037114
"PHACTR1","Q9C0D0",0.0110803963341042,"5.75115883775219","4.43730314969152","962.800803824075","781.090383901825",0.151707928645185,1,0.209155669219141
"TECPR2","O15040",0.664171377786799,"4.81793519689662","4.27280146541194","138.538551372867","169.290534878388",0.814303482839343,1,-0.200467744025346
"RGS12","O14924",0.132982775306432,"5.82652120574013","4.70516152986853","236.410251035521","234.053314014713",0.365847518322244,1,0.0100197206098569
"PNN","Q9H307",0.0817554861921922,"2.4346355922264","1.29759466937639","707.653635955734","244.230128928996",0.285286626642685,1,1.06384382708358
"PDS5B","Q9NTI5",0.0276805673086765,"2.40737372087003","0.863190694990908","1095.94687116088","262.310020380206",0.175107384116592,1,1.42984690298843
"ITIH4","Q14624",0.0533764967040557,"2.1753543755901","1.08606182444291","1829.54602002975","1906.67405236062",0.232166747218118,1,-0.0412925307410116
"OAT","P04181",0.343301481421004,"4.78171059366765","4.08432202529572","866.605418406667","778.290632579925",0.596606097199618,1,0.107483743626671
"TRIM25","Q14258",0.0549011546527815,"2.25345659999293","0.979816289819095","386.22964556996","309.84157798427",0.232166747218118,1,0.220371001175928
"APC2","O95996",0.0382108067488761,"5.33792154280253","4.19508741268743","97.9940281870017","87.8513351536652",0.200707290186202,1,0.109260527322295
"PRKAA1","Q13131",0.81568880818675,"0.801485200761649","1.26790864948352","271.598453630861","379.727551726948",0.906522751191956,1,-0.335129324320728
"BSG","P35613",0.031627772746715,"2.40235417222477","1.62056702215789","1523.26644332507","625.34369407813",0.183514634890823,1,0.890310874850142
"LDHD","Q86WU2",0.655952456072354,"4.87200409216247","4.40763911906991","354.376918615213","380.255959201433",0.8081982113089,1,-0.070483514266151
"UPF2","Q9HAU5",0.132035915415062,"1.87101100922571","0.96471472127282","244.44466398109","198.937120871637",0.365847518322244,1,0.206000160839946
"PRKCD","Q05655",0.279694627778003,"5.88030212576951","4.76709358227517","178.384946526832","603.786346769238",0.514873878205685,1,-1.21927656871221
"CPNE9","Q8IYJ1",0.218378273693771,"5.05940339829021","4.74773041896175","405.818674662987","210.541396252106",0.463705355630603,1,0.656224155141736
"HP1BP3","Q5SSJ5",0.0539525089043394,"2.71605682141775","0.91223884919177","1363.10676019424","1092.89926748433",0.232166747218118,1,0.220932433558072
"C2CD2","Q9Y426",0.864307462371692,"1.36387003629313","1.53234367532277","160.213958265542","241.825318086933",0.929798843574698,1,-0.411705478342281
"HDGF","P51858",0.00492828351964618,"2.50869569185559","0.999743585750991","4139.40105776252","1022.22104065891",0.142537177987099,1,1.39857335449222
"AARS2","Q5JTZ9",0.345827436308013,"4.29654099976898","4.99606315979112","324.859323924432","288.877511169194",0.596606097199618,1,0.117389477676642
"CPNE7","Q9UBL6",0.0953576231812301,"5.56978401951526","4.2708021872261","473.696619703586","417.769803066025",0.302086368282497,1,0.125636503501048
"EIF2A","Q9BY44",0.523503665328754,"5.40798764919079","6.17809840837248","202.91262056274","230.730018422479",0.722369100024812,1,-0.128472829783371
"TCEAL3","Q969E4",0.39383406245025,"2.01547661370021","0.860451497037689","302.583448242003","284.097048186397",0.633945797298951,1,0.0630412026302531
"DMWD","Q09019",0.0620439410229538,"5.68007187320848","4.96321754429391","635.280766688254","232.048828485902",0.247679412563632,1,1.00711923630439
"NRDC","O43847",0.647433020476931,"5.17296013153097","4.94666011785023","302.178692154658","230.746786795044",0.805885987102979,1,0.269697590030793
"USP10","Q14694",0.0854541143722431,"2.80184858473599","4.95433214586368","37.928269811046","234.419331743322",0.291645915110412,1,-1.82141478826589
"CNTN3","Q9P232",0.122471566280475,"6.00680424835975","4.89469523419168","183.508174487244","153.891167372007",0.349218923279754,1,0.176013566913724
"NT5E","P21589",0.493791209279214,"4.01802768105757","3.9290922982999","346.365933806279","723.961698584556",0.702636441049872,1,-0.737242660141931
"CBARP","Q8N350",0.404511865522866,"4.93953287091828","4.15702535072494","207.245000953623","210.952749618434",0.638770319290855,1,-0.0177325000676624
"POLR2B","P30876",0.989118636527663,"5.49291506306613","5.54824656894566","328.724238237287","301.627986870913",0.997006785964196,1,0.0860247911516649
"FBXL16","Q8N461",0.00970107606222027,"5.23508424602916","4.27436072246354","734.058109222269","486.82360773308",0.151707928645185,1,0.410686337667097
"DGKG","P49619",0.544411489663627,"1.91001773475732","1.16541090697195","408.02759343153","324.710190965583",0.736209575452981,1,0.228401738671971
"EIF4A3","P38919",0.00886994330235074,"2.62745840668012","0.645991997684315","901.01063094082","208.013549634661",0.151707928645185,1,1.46591383653117
"PON2","Q15165",0.453443848295762,"1.23049354449348","0.54559339424033","290.190728367791","555.115500767878",0.675428299401747,1,-0.648637810758305
"HMGCS1","Q01581",0.0118878573247261,"5.38528092308059","4.2583606873909","1907.51776702294","1799.27477223218",0.151707928645185,1,0.0584191190319259
"MARK4","Q96L34",0.395304258898721,"5.29010876442301","4.80343578455152","262.977256091004","169.932147958525",0.634266318940392,1,0.436668321975748
"GRSF1","Q12849",0.0930494114675251,"5.58280202781942","4.31778167576183","393.174610900018","224.207340896789",0.299559073047065,1,0.561682563012478
"AKT3","Q9Y243",0.729433828531531,"2.53713732021014","2.13827189355358","354.18269654169","576.949531011676",0.860490497487551,1,-0.487941922835368
"LMTK2","Q8IWU2",0.0748004823734994,"4.90043056626817","3.54983108044753","111.082771360989","137.025059162105",0.274451769885119,1,-0.209888211331422
"STRN4","Q9NRL3",0.0104070106278663,"5.71724583070113","4.46074034596886","305.875795365002","150.672791803997",0.151707928645185,1,0.70806857814956
"UCHL5","Q9Y5K5",0.574292799047535,"4.72924367186739","4.6331330461397","279.715570602635","490.633328012289",0.752157760432336,1,-0.5619237950863
"RECQL","P46063",0.000191557378320232,"2.69184309644167","0.377439054514076","553.758502719655","249.615796669956",0.0955871317817958,0.0955871317817958,0.796805753606731
"DNAJB2","P25686",0.64963505690344,"1.7992606950499","1.42705999485973","1044.91570219673","1118.30224910378",0.805885987102979,1,-0.0678754718224129
"GUF1","Q8N442",0.437514056094058,"4.85976827528804","4.30169104473711","339.709495368402","302.092890006023",0.661574284821015,1,0.117356274111349
"NACAD","O15069",0.748045338305615,"4.19962186627691","3.9090868556439","95.8580108450108","155.645120858548",0.866665161668797,1,-0.484710506628604
"DGKQ","P52824",0.285047899141218,"5.3221913984827","4.92624252725212","423.650226179977","233.876463619309",0.519120079092948,1,0.594115133827319
"EVI5L","Q96CN4",0.347920589749677,"2.93757859776133","3.63569818295168","49.2613562567304","224.924953294212",0.596606097199618,1,-1.51862688072194
"LINGO1","Q96FE5",0.0106528088871986,"5.80477751589469","4.3805207220058","967.33651958397","491.135412027237",0.151707928645185,1,0.677826560605548
"ITGA7","Q13683",0.724932440175812,"1.53110926416918","1.1592792300162","297.623524896657","220.229181247137",0.860490497487551,1,0.301160611479966
"RAE1","P78406",0.0762217213053588,"2.41252354980563","0.696120431999883","181.236845274293","257.400110225531",0.277625101688862,1,-0.350827010084667
"SPECC1L","Q69YQ0",0.339934014142109,"2.60040036389929","3.52072067488569","91.3899060842122","98.1251326336873",0.595182712480394,1,-0.0711084921364301
"SLC32A1","Q9H598",0.727985679443875,"3.78009101092666","4.07590077918403","952.546587238608","714.635628330448",0.860490497487551,1,0.287366214219822
"PPIP5K1","Q6PFW1",0.181364534184657,"4.94760698983565","4.54900419459127","188.907758696104","88.822723300828",0.420934430502995,1,0.754616336407461
"PI4K2A","Q9BTU6",0.533380151985589,"0.750541248181113","1.64313616456009","106.672196348323","170.898743988333",0.727204086996746,1,-0.471310694151674
"RNMT","O43148",0.617359309822008,"4.768251486545","4.80918989987714","497.46834677532","302.797282616251",0.783873525702753,1,0.496468382666026
"PECAM1","P16284",0.699727430712271,"1.29532413287518","0.872953551637315","148.86028577931","188.207244577025",0.846649270038757,1,-0.234535533727786
"RHOT2","Q8IXI1",0.561485821366512,"4.64516971315544","4.16163502547685","225.938095076735","441.393313218215",0.745832227655953,1,-0.669675298517127
"PDE4DIP","Q5VU43",0.269834839167514,"2.15763452326745","1.24018346442568","158.78147274459","106.948697929181",0.505183451736556,1,0.395179610753308
"CAPRIN1","Q14444",0.814931452243209,"3.8831301618891","3.73924136368662","597.243265263591","449.774860663253",0.906522751191956,1,0.283577361968354
"AARSD1","Q9BTE6",0.878246069027419,"5.14572272053406","5.09938291544782","260.105209624493","349.867991574239",0.940439460181721,1,-0.296469714839657
"ECHDC1","Q9NTX5",0.733929890691905,"2.14677811505887","2.11876857785512","349.263578052996","610.954956751463",0.861316005410632,1,-0.55919636078846
"PPM1E","Q8WY54",0.410668853205533,"4.51156772808626","3.77260242289645","161.330750082426","187.787477528156",0.640386742967378,1,-0.151854278687647
"MTMR7","Q9Y216",0.752039435169137,"5.2278808367149","4.87526066292255","153.544096591053","144.361179848465",0.866669002654502,1,0.0616694472798233
"SERPINA3","P01011",0.0178609601366682,"1.90111959996892","0.888735865451696","4531.27376930047","3388.61878665961",0.152377583765691,1,0.290580684442228
"JPT1","Q9UK76",0.621725447399136,"4.39340229159641","4.02338509929777","258.757146369651","440.870830842028",0.787413701147637,1,-0.532861968940028
"NOP58","Q9Y2X3",0.175129707013905,"2.45888870850129","1.25494650991335","385.841200784771","321.33493080778",0.410280393426942,1,0.182941910563667
"DDX23","Q9BUQ8",0.0144459592434428,"2.58203455813239","0.471235339900918","377.814493053727","149.75045405939",0.151707928645185,1,0.925433046933706
"ERLEC1","Q96DZ1",0.137223790932971,"5.54710529130516","5.04284512608641","772.028208038108","390.330154596335",0.373312876575264,1,0.682028157017571
"ASNS","P08243",0.0875059091534202,"5.07138616103061","4.33194263237977","1131.45041459274","679.937783130608",0.29206163925097,1,0.509254342805691
"UBXN1","Q04323",0.027017929061695,"3.14813587072807","4.5890816402142","195.208881404758","154.998747917964",0.175107384116592,1,0.230653133005728
"STAU2","Q9NUL3",0.149878294115693,"3.45630527716379","4.86931606606429","299.076484707373","311.53637124973",0.39195918629145,1,-0.0408167506718605
"LRRC4B","Q9NT99",0.0569206402881051,"5.06988713086276","3.91683085318675","125.031308988568","355.464542252665",0.232814750030856,1,-1.04486132592206
"CSK","P41240",0.17140316342479,"2.35711792959476","1.56383899817153","286.983087617555","166.967284839544",0.409235304062058,1,0.541625391799859
