"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"NOC2L","0.000380889863834602","27.7554484583455","25.8280880076989",0.00164547706732983,1
"KLHL17","0.000731134534294656","6.94105438628528","7.80761518855432",0.00285829372021577,1
"HES4","2.10532577264141e-09","20.0276680022949","14.9497257349025",8.73461044667174e-08,2.95229833097505e-05
"ISG15","0.00488892187016356","5.34406784566753","4.11473644378111",0.0142146695801998,1
"AGRN","0.881043532589512","15.6738052183306","15.800914182469",0.923722200146456,1
"C1orf159","0.145061807497494","28.758569230856","28.0037132546759",0.238784097492353,1
"SDF4","0.0141470255374859","36.0418427443798","34.540758220294",0.0351370419964869,1
"B3GALT6","0.000397617212011287","8.21077805828791","7.47418699929971",0.00170722172811827,1
"UBE2J2","0.00185920201632067","26.1307442804668","25.032468694639",0.00628533989268678,1
"SCNN1D","0.938625523962919","9.31641209763201","9.34557892204525",0.961808236940593,1
"ACAP3","0.220407966155113","71.255493343391","69.5388874572878",0.333417573828819,1
"PUSL1","0.0276212259739484","3.73680874390835","3.4256806150177",0.0619335548181449,1
"INTS11","0.206679636650233","32.062038199168","32.6790056086848",0.317097214961293,1
"CPTP","4.82649379424008e-05","9.82887647136806","8.85574210372788",0.000290075803779238,0.676819224766286
"DVL1","0.0132146778760004","25.6739540768624","24.5144965949536",0.0332393592565298,1
"AURKAIP1","4.01173256248532e-05","24.0837155991991","20.6657019668663",0.000248702589406418,0.562565257237316
"CCNL2","0.0188440797433779","49.6163620904927","47.9799243158",0.0450171261058583,1
"MRPL20-AS1","8.90447016930134e-05","3.05074616734251","2.58832885733225",0.000486054438240999,1
"MRPL20","1.16241577754814e-05","24.4337935258096","21.1535937654924",8.85674487103096e-05,0.163005564485576
"ANKRD65","1.12218562692754e-07","9.24825605087524","7.47485200168486",2.03927056945011e-06,0.00157364090464049
"VWA1","0.502538482737825","2.02001800066636","2.05596729024894",0.623416237034016,1
"ATAD3C","0.369739659468564","1.70120444389616","1.76812298695252",0.49609961969812,1
"ATAD3B","0.571159999311616","17.9694115705099","18.2706574272417",0.684445109412647,1
"ATAD3A","0.176794355779514","12.7690818934994","13.2864826736548",0.280260824225201,1
"TMEM240","8.51610588727833e-06","24.9447886652752","21.9996815168767",6.84755463631331e-05,0.119421352857304
"SSU72","0.0108920080325116","60.9098520032703","58.2582644606841",0.0281857591142111,1
"FNDC10","0.0550063590039427","18.4021028077719","17.3399133778564",0.108733320032744,1
"MIB2","0.272101140553956","33.6380471349545","34.7310049562865",0.392639873841132,1
