"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","amp_ratio_CTL","amp_ratio_AD","mesor_CTL","mesor_AD","BHQ","Bonf","Log_AD_CTL_ampRatio"
"NOC2L",2.60533190578274e-36,"6.23068366740226","6.22782859564307","7.34901452488923","5.5018913357659","0.198519738752101","0.285753997291569","27.7145807784702","25.7179762822029",9.28451570896858e-36,3.65345693147914e-32,0.289474313633413
"KLHL17",1.40823639238577e-07,"1.32710671486302","1.55059917388898","1.52040857154335","0.921382116763909","0.131734112190208","0.198208547591017","6.99425609240489","7.67075179159557",1.882885100155e-07,0.00197476989304257,0.500859531240414
"HES4",1.47045774356349e-21,"4.74153975371925","4.96648238111175","5.77737026643899","6.11162381859337","0.304567863929127","0.384773530220457","20.0665419514369","15.0149888510492",3.26476075649e-21,2.06202289379908e-17,-0.0562438940158945
"ISG15",1.55747824915888e-13,"5.99985629661658","5.76447341283788","1.74948604621609","2.68013962499723","0.492206526370084","0.438677192769399","5.44515255570191","3.98809437794444",2.60938082293369e-13,2.1840517487955e-09,-0.426546835121057
"AGRN",0.570487740093719,"1.55351304878682","4.56001358895683","0.938160890736759","0.389850165811422","0.0246522087456545","0.060424950317455","15.814005545452","15.5260515036907",0.577989276738258,1,0.878158984526559
"C1orf159",5.03671013054141e-33,"2.81624427557121","2.80244977365542","6.54881287512933","6.10199564144841","0.212072235589307","0.233704482985874","28.7731943056674","28.0217683095329",1.60887895582192e-32,7.06297861605822e-29,0.0706679207710978
"SDF4",4.1654283096877e-28,"6.17828270232333","6.20908151429545","5.99110658057831","5.83391906230499","0.161970071007993","0.173298852364617","36.0185003686087","34.57095358008",1.13069688708383e-27,5.84118011867506e-24,0.0265871351570372
"B3GALT6",7.31611152057921e-64,"5.91347373252347","5.78591043336651","3.16101476526556","3.26408096800637","0.39546551940387","0.428075620490094","8.25376880625823","7.38424384375497",8.40933047976084e-63,1.02593831853082e-59,-0.0320851388719125
"UBE2J2",6.33155807748347e-11,"0.238459065059245","0.483367678736676","2.59625437486168","2.36540908095178","0.0907284947169061","0.10342765377181","26.0712920271895","25.1021296547027",9.62882972785497e-11,8.87874389205507e-07,0.0931188013721556
"SCNN1D",7.91764415759679e-05,"1.61265056209233","2.24573114496316","1.32824127846329","1.31212504991294","0.140552982883685","0.143882312908151","9.33544790720515","9.2314423615861",9.49778648605473e-05,1,0.0122077217276419
"ACAP3",0.00246919190883859,"0.0725934313877283","0.0395149023456112","7.15907443929671","4.31154035791342","0.0605184342577116","0.103345229771106","71.243422120823","69.2733903166403",0.00278698310831001,1,0.507085472468319
"PUSL1",5.0589675419193e-21,"5.52558517518704","5.50008555502707","0.745176387519375","1.09475146781256","0.290482941783023","0.219897745226721","3.76872893496888","3.38874046548806",1.10398228820937e-20,7.09419018403343e-17,-0.384661694327925
"INTS11",4.75025913184788e-21,"0.922753678658085","0.85328871033985","5.60961724634499","4.51014566711049","0.140199106272292","0.172969675923712","32.1695750210487","32.4312178790177",1.03774550250666e-20,6.66128838059028e-17,0.218153038486939
"CPTP",1.13644473699528e-60,"6.13313861732751","6.06881806927269","3.67497349741084","3.8345471704692","0.388925609041395","0.417173480096236","9.85933320235818","8.80922127783164",1.10823119241202e-59,1.59363645468848e-56,-0.0425054286930309
"DVL1",1.83468787070313e-47,"6.19266654470389","6.16160775185728","5.70543899317352","6.47672563557501","0.251857614279537","0.232772563728778","25.7158222279772","24.5107881348997",9.77872596384264e-47,2.572782801087e-43,-0.126795150302647
"AURKAIP1",1.46695008017701e-43,"5.94782414368325","5.71899105951312","8.10549386391619","10.4205480592611","0.426819605501815","0.402201676976843","24.4144081596477","20.1528097168597",6.70284815064262e-43,2.05710409743222e-39,-0.251237545228102
"CCNL2",0.195770362542748,"0.94951253764534","2.20358018281364","0.766287788032693","1.53040404474912","0.0309001092031634","0.0159604380755094","49.5274639544782","48.0117014587794",0.202753899109081,1,-0.691729259483794
"MRPL20-AS1",4.6883939139169e-28,"5.34541411708441","5.22144353649977","0.779418406666743","1.15348300764134","0.372931113580607","0.309530874214274","3.09301896687155","2.51806353290363",1.27019605592845e-27,6.57453478548567e-24,-0.39199333729218
"MRPL20",7.71260920409624e-35,"5.87320732166513","5.71700666073123","5.896553501634","7.54900155396799","0.30646783518017","0.28249063426361","24.6322800875008","20.8734477764369",2.60173006661154e-34,1.08153918869042e-30,-0.247047282045464
"ANKRD65",1.63243422969487e-50,"5.90976644397123","5.71589130660457","3.60123205844458","4.84776493355054","0.515765898359038","0.495888179905579","9.3991575421605","7.26218571922864",9.93129076052545e-50,2.28916252030112e-46,-0.297241734918865
"VWA1",1.499076814209e-05,"0.146967755239264","0.122853272133086","0.56603615325586","0.398018420676425","0.196961749766759","0.277782538899716","2.02079043848745","2.03769522554551",1.85065183252512e-05,0.210215541656528,0.352159663853611
"ATAD3C",9.40385188923361e-06,"1.56490115774296","1.05256047968224","0.368708007344868","0.475706505724684","0.27974304941009","0.205611644283058","1.70051233347114","1.7932253235487",1.17009951235779e-05,0.131870215042723,-0.254796056670351
"ATAD3B",1.0635700062699e-16,"2.95848410980104","2.76075016093034","4.05565349253432","3.09827079590187","0.172657430193328","0.220043406080654","17.9446131709054","18.4311521293566",2.00140126112759e-16,1.49144421979228e-12,0.269267683719851
"ATAD3A",0.000757994241188251,"4.52082313058258","5.22560708105897","0.619422127871506","1.07951043776256","0.084231986874712","0.0467022110015396","12.8159203862571","13.2632291831127",0.000876358582255985,1,-0.5554759273909
"TMEM240",3.42433498111185e-43,"5.90964035653321","5.77073618133067","6.56941763392509","6.81011846119101","0.271944136434936","0.301414069371945","25.0423434403424","21.7953251074634",1.54701834536506e-42,4.80194494401315e-39,-0.0359843268186653
"SSU72",1.19695197321671e-89,"6.16802747169607","5.98550742306895","23.0133833810669","21.5328524441843","0.351483465766104","0.401252114473246","61.2627748996688","57.3539242560212",8.83413553706207e-88,1.67848575204179e-85,0.0664961432747483
"FNDC10",3.62607818176749e-17,"6.22662383780252","5.99013297154447","4.9665206300249","4.46225103819978","0.241229463615625","0.290655492415519","18.4979519969001","17.0873104401028",6.94461818395596e-17,5.08484943429255e-13,0.107066164710027
"MIB2",4.84048539758848e-05,"0.98393825470251","0.990289036924461","4.14625265901623","2.55063533413609","0.0755440943988308","0.120528911662124","33.7635304841985","34.4004820240917",5.86166897498992e-05,0.678781267303832,0.485862473806143
"CDK11B",2.6520421903691e-06,"3.31360283237764","3.54254950654545","2.55369992117221","1.13877182268258","0.0905991194599681","0.198964418524387","12.5693475772219","12.8349578286994",3.37534830600344e-06,0.0371895876355459,0.807592923914262
"SLC35E2B",0.00191156329217476,"2.45736775215923","2.23908577594517","1.79732382166767","2.06325560534612","0.0808420745654429","0.0681949444819101","25.5220516845579","26.3556754143915",0.00216682984772182,1,-0.137986333413584
"CDK11A",7.45351989680681e-09,"2.76270080703379","2.75682352804913","2.12315872678168","2.11732006195068","0.191417170834574","0.183081540168671","11.0612859479597","11.5967930181582",1.05257512097605e-08,0.000104520709512922,0.00275377796309494
"SLC35E2A",0.877604793458744,"0.280495117721735","2.27875963138284","0.510174036615207","0.725120493636945","0.0225306944078586","0.0148201944898746","32.1836726605296","34.4242470612492",0.879612037643626,1,-0.351585923393685
"NADK",6.54722777409256e-16,"6.15678400344489","6.15588874822773","2.19592789703333","1.58480169530233","0.0959788559720467","0.141203769477606","16.5119877628453","15.5514821251397",1.1964005092012e-15,9.18117750761e-12,0.326145403206726
"GNB1",1.82146411591843e-92,"5.80257853847335","5.72711956669461","47.8716927446118","51.3014919680255","0.210907436133239","0.208586098364227","243.241741062255","229.505672334019",1.76154422741546e-90,2.55423912975241e-88,-0.0691954708890849
"CFAP74",6.56935338654408e-12,"2.89236933166816","2.87997940292939","2.83572420606905","2.14101765093458","0.108470473798978","0.141425877140291","19.7382529636812","20.0509571756524",1.03647662623208e-11,9.21220425395076e-08,0.281016102612268
"GABRD",4.22492270183272e-81,"5.80332976269069","5.77730325780447","32.2531916421055","32.5621391173018","0.345212851705962","0.374763768571313","94.3248171566823","86.0627263010569",1.55501551306562e-79,5.92460910478002e-77,-0.0095332326904819
"PRKCZ",8.8250036326207e-07,"0.0607024039248137","0.112038897701068","5.68941702351118","4.7633627585093","0.0510937467971707","0.0610433122932019","93.227900811789","93.2029539318557",1.14617973455812e-06,0.012375302594024,0.177653905875998
"FAAP20",1.30149239555575e-08,"4.70915751147601","4.78138878632853","1.52219273930229","1.44000532664199","0.133109929044158","0.138983276311058","10.818166135182","10.9523446252301",1.81889853128147e-08,0.000182508278628783,0.0555050743307244
"SKI",0.14709370211995,"3.08930168160768","1.93523054718438","0.65530789036044","2.1011251337005","0.047326388775974","0.0143537266928368","44.3964812875638","45.6541986888651",0.153303231871279,1,-1.16512307137648
"MORN1",2.90616151125792e-17,"2.87416966816283","2.83170965785384","2.47403670748581","2.50651439813673","0.148984289391649","0.140643580358458","16.8240182127366","17.5908256969869",5.58491200114702e-17,4.07531028723698e-13,-0.0130419908618919
"RER1",2.88724254598768e-59,"5.96782991356842","5.90833699905903","7.2188406122663","6.55167343241766","0.200015602670936","0.235531427423809","32.7558117713267","30.6491608836425",2.62737198068691e-58,4.04878022223852e-55,0.0969738571103692
"PEX10",6.44563203258304e-23,"5.33133087675363","5.32233235464774","1.69688891097218","2.05560770966301","0.214592852660457","0.186111212505571","9.57910612668694","9.11760709162748",1.49821147012949e-22,9.0387097992912e-19,-0.191775004593466
"PLCH2",1.07956790286009e-22,"5.59987423172276","5.74360706484521","3.18931803526531","2.69717217161862","0.309772350664514","0.40639825915174","8.70694936404986","7.84776500254272",2.49075036225848e-22,1.5138780701807e-18,0.167603231576114
"PANK4",4.59388829851953e-30,"6.19585625207162","6.27309466533437","2.91786536796371","3.26091788993733","0.286623248547112","0.273111137986352","11.3770181116391","10.6838021674148",1.32770188809026e-29,6.44200956101394e-26,-0.111156406505381
"TNFRSF14",3.07407435900069e-05,"5.92410704169033","6.15456580653278","1.21721204738254","1.28762540259542","0.116315581627148","0.119123581118106","11.0701024280903","10.2180612432708",3.7520884964981e-05,0.431077447362667,-0.05623671227552
"PRXL2B",5.10191983181513e-55,"6.14262136981346","6.17183670689102","8.85748349889029","8.21795261113382","0.370008168634523","0.436382673733671","22.2101923897014","20.297514159089",3.77342941991264e-54,7.15442218015436e-51,0.0749415908296791
"TTC34",0.00119971462040652,"3.9773099581525","3.67505459023033","0.455435299108169","0.380890631836216","0.164385686007338","0.185814528409612","2.31705473321572","2.45102093472584",0.00137391573066236,1,0.178741384570153
"PRDM16",0.000172631758093585,"1.40219416632179","1.05486067669806","0.507441873934074","0.473898058755345","0.190452203031472","0.186627633163833","2.48827816749924","2.71900717665218",0.00020468547761447,1,0.068389937588266
"MEGF6",3.65907865972285e-06,"2.83305910164817","2.34365034077253","0.322922431063335","0.393649091620988","0.236089045096134","0.173361009065282","1.66737550851077","1.86271660971777",4.63390770751319e-06,0.0513112600452935,-0.198047739172482
"TPRG1L",1.53320250062952e-107,"5.99305200236027","5.91046447456922","26.5446435869804","28.9388718901511","0.482266291173867","0.518469022386761","60.0060017043944","51.1981284142738",1.1944499259071e-104,2.15000986663278e-103,-0.0863577602558945
"WRAP73",0.115148675251486,"6.01868093501342","5.6711140700254","0.383596327642195","0.46568702480191","0.0533082932813083","0.0451987713870454","8.73573315027131","8.48687510457728",0.120574213937544,1,-0.193923018331361
"LRRC47",6.5989077849046e-96,"5.95798789081437","5.79957054782219","10.8961123662441","11.0421882289503","0.369056612744349","0.410499144646958","29.9200389523963","26.5435689899308",8.6482695203474e-94,9.25364838677172e-92,-0.0133171683839995
"CEP104",6.0420797378543e-23,"2.7854415031495","2.74068821786627","3.1446817271395","4.17058100941284","0.137608024481721","0.101040416790236","30.3076875430825","31.1230082677507",1.40557538427224e-22,8.47280841639308e-19,-0.282342671505826
"DFFB",4.13265286500201e-16,"2.60210885398265","2.46671990987188","2.30669796750678","2.10934359746993","0.144903084867294","0.15289207038557","14.5569267859392","15.0871000810549",7.60826980778826e-16,5.79521911259232e-12,0.0894402427551966
"C1orf174",9.38073997272405e-26,"6.09257004833529","6.03261776468585","2.18136765117792","1.67634522173372","0.218721331882971","0.308456276776829","7.66429688088522","7.07188608373224",2.37576515509318e-25,1.31546116637509e-21,0.263336082613056
"AJAP1",1.8625373468435e-08,"4.22168939228404","3.86938333117696","10.6151609807988","5.97517203734752","0.0787520997280357","0.139382188710751","75.8731774515514","76.1586618705465",2.58546438475415e-08,0.000261183612147864,0.574670370182978
"NPHP4",1.38212806735238e-28,"3.34535881910856","3.26797033079796","8.12770739865218","6.99648313619228","0.154672072928681","0.169126332072646","45.2343012136287","48.0570192651079",3.81077111452663e-28,1.93815818884824e-24,0.14987127731639
"KCNAB2",2.74395965324101e-58,"6.05889902816993","5.97528011012033","33.5578858740053","27.4284451799719","0.167429450258399","0.207178870149574","163.820911659453","161.97542659528",2.37082847919893e-57,3.84785462173987e-54,0.201691264055315
"CHD5",5.4584875539818e-06,"0.131793840135","0.389028026959016","14.5716048427306","13.374635036982","0.0937617173932691","0.102302410624701","142.644945173989","142.436573622755",6.85881460300061e-06,0.0765443709694868,0.0857147557507707
"RPL22",3.53071320799942e-52,"5.72839805562455","5.58998415095446","18.7779606043726","24.4153378765174","0.363326047231477","0.322010529437814","67.1995252268886","58.3147409407895",2.30606387125179e-51,4.95111913157759e-48,-0.262527662441615
"RNF207",1.30407461021734e-17,"3.21351504221504","3.04866096304578","2.0054903206437","2.23443084015038","0.210519876302096","0.181083105764651","10.6138711431883","11.0749719703294",2.5363437252535e-17,1.82870382590778e-13,-0.108097958173141
"ICMT",8.97453928338866e-78,"5.99389134467399","5.96168420753902","6.95655578649431","6.54179443648913","0.310553816094365","0.35023499625149","21.0649301263177","19.8625376131718",2.48224781796764e-76,1.25849964370959e-73,0.06147298709903
"GPR153",0.0964926276121517,"4.77022280606562","4.30312547608633","0.934272693043085","0.624689587810282","0.0856018778107389","0.126705118827009","7.29761547043906","7.37359864930676",0.101440596521868,1,0.402513491332292
"ACOT7",1.51002458246919e-18,"5.6992471791185","5.89447053621984","8.15565441728118","10.0581223058153","0.13041526588164","0.110689289242135","77.1238109113982","73.6806105913333",3.02630766327933e-18,2.11750747199655e-14,-0.209669017508328
"TNFRSF25",4.4318979092783e-14,"1.43930170192408","1.54738165201079","11.153963772302","10.7799563715229","0.174646323108568","0.176714614301739","61.7244965691127","63.1185135217887",7.57908590022068e-14,6.21485043818096e-10,0.0341064117022773
"PLEKHG5",0.0054072157072233,"5.12203905876621","4.70190264350703","2.34257150973634","1.90195059403369","0.0518054229448246","0.062445723828459","36.7133494124613","37.5137217749525",0.0060112086461386,1,0.208369273777854
"NOL9",0.000884729224620237,"4.1848257293724","3.14665891139624","2.02034295304853","1.204513255537","0.0402536876007081","0.0666287255469167","29.9230536959752","30.3224012836011",0.00101943779103119,1,0.517191727714958
"ZBTB48",0.00123317249631883,"4.28951840756965","4.01698255188578","1.15670280657004","0.873434540114498","0.0860468511478392","0.113989356677061","10.1506856841725","10.1474632394588",0.00141165534007175,1,0.280895641657818
"KLHL21",7.57571878580665e-73,"0.232023523682453","0.291021776451677","9.46118756314421","7.66364247706003","0.300541201886814","0.393965024084737","25.4994737125801","24.0152982745727",1.46935414292347e-71,1.06234304533367e-68,0.210710520473479
"PHF13",4.8755375120511e-53,"6.08807224232975","6.11026428729959","3.22988024893893","2.98690936359257","0.368057487377799","0.428530259164929","8.1153337889486","7.53711127711952",3.30927698603546e-52,6.83696625314926e-49,0.0782058667666291
"THAP3",4.81256679512139e-25,"0.151147578390569","5.99816593339539","1.77350473427667","1.54523583069844","0.196840878217502","0.237471217705505","7.85017748697001","7.46829342693668",1.19150113290938e-24,6.74866241679872e-21,0.137781124751992
"DNAJC11",8.06457932181262e-11,"3.01765460560204","3.34765404754052","3.76113511195558","4.46790558426471","0.100253461179652","0.0845614791342259","44.5660980847169","44.4781140356529",1.22087440170332e-10,1.13089595829778e-06,-0.172198946121131
