"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"NOC2L","0.596002263582306","0.344706445568808","0.437211501444587","6.24141482844841","6.11293581824652","6.23653678532035","6.02358839700792","5.24878908753714","6.2816520043441","6.13517469020219","7.65239554221038","4.78890188526733","7.61474580514911","4.64995876730065","2.2511198162941","6.6948965967569","8.46401602652658",0.89873789259137,1,0.999884603092583,1,0.999817567079685,1
"HES4","0.402083118492497","0.309683046959526","0.673245279023426","4.78154240611985","5.01305231952629","4.75132506675455","4.91983535646319","6.12836708583604","4.77362228734536","4.88763591926006","6.04046227490136","2.93424452563689","6.21479249038647","2.96348647859439","2.99369543461914","5.81893863648425","5.95391352999657",0.85780272679386,1,0.999884603092583,1,0.999817567079685,1
"ISG15","0.549047013442217","0.447921963462545","0.946875362732871","5.97920291649052","0.0496548104386625","5.89981730755069","0.00745623576726364","6.18171781843452","6.07035057991518","5.91680401994185","1.95284116576343","1.25349328930145","1.77238854921051","2.61748480425465","2.34084255195809","2.04427931652671","1.53385828678523",0.887858714117738,1,0.999884603092583,1,0.999817567079685,1
"C1orf159","0.180786359357845","0.856093931155124","0.899166624936695","2.7368844629767","2.83319377043291","2.78861738716205","2.83930587939618","3.09315296085287","2.68415980070575","2.84011512432975","6.72979048330113","3.13705008593417","6.5430961636678","5.52595309739907","7.30532972865476","5.98121970919001","6.6271444443386",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"B3GALT6","0.181193025193123","0.890624206795563","0.27977630823988","5.93176588543201","5.60491617781465","5.92222671675158","5.91043651277271","6.01939333096065","5.99096520939526","5.81019255112022","3.34433627533706","1.79416405021728","3.23514580945672","2.87209483049251","1.93966710915236","3.03963991495586","3.70032847492551",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"PUSL1","0.433170854548727","0.339844422859865","0.594250089504448","5.54536206398036","4.88610604297612","5.51157112832211","4.56443459896499","5.56130985378758","5.26037667359415","5.85688665223137","0.814901707634562","0.361804038030563","0.811984522272046","0.509020824003328","1.212102588","0.776212719456018","0.657953599503681",0.862524968511169,1,0.999884603092583,1,0.999817567079685,1
"CPTP","0.821735951038269","0.954934292987674","0.578264381371458","6.11215471465731","6.15388055410995","6.1112768432456","6.11415878567147","5.43580826351984","6.15646512971311","6.05639738761097","3.69343044709066","3.12479600029499","3.65032989919151","3.35975554829657","1.48777533551676","3.40147023966277","4.05867489975981",0.953580833881277,1,0.999884603092583,1,0.999817567079685,1
"DVL1","0.78554400632551","0.506049967555691","0.81164345583851","6.11527883680927","6.17711743176971","6.17614902787988","5.94094354882356","5.57331801381245","6.15425088516052","6.16797221208806","5.74159854141353","4.71027703548634","5.61286590212206","6.06662743584293","5.21324483937708","5.61632389543644","5.78767946934514",0.943150169433612,1,0.999884603092583,1,0.999817567079685,1
"AURKAIP1","0.280188808773375","0.231562550969582","0.889585540242396","5.93036421707111","0.0237560598852133","5.87297269064261","6.25526332132631","5.36192626982784","6.02515018672642","5.90957296143816","8.44773493284111","6.77851953698697","7.93528480065516","10.1244236497433","5.66455910346995","7.79298616363798","8.56970097540287",0.836853833382386,1,0.999884603092583,1,0.999817567079685,1
"MRPL20-AS1","0.125676580132084","0.268471096766744","0.807620490574603","5.44880234426596","4.14347896630349","5.43219443368069","4.55754821441836","5.78965439072842","5.41091278395961","5.38209155672005","0.823421391466669","0.613176483251076","0.806527232056837","0.519129133080727","0.762868108908142","0.862623689775876","0.585875473908127",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"MRPL20","0.639092920408441","0.839490183987319","0.72533151825448","5.84050695847186","6.17450480836969","5.84240490759372","6.02100988262483","4.66397618941783","5.95013072562104","5.80799900050512","5.99198074825131","6.21575082118415","5.84509087823658","6.40501183235397","4.96386664784831","5.59839099817833","6.41579659236432",0.905991754399425,1,0.999884603092583,1,0.999817567079685,1
"ANKRD65","0.0621775223423014","0.489730354295443","0.416677460790348","5.90468716524039","5.51614011302973","5.85883076946838","6.14656527757168","6.22102892985919","5.94628681849118","5.8938505028806","4.01439496438979","1.03825951996955","3.78135336953882","3.29440023892804","1.48029445612127","4.31658684718745","3.1499522261626",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"VWA1","0.861952365728658","0.974735054657315","0.974353490868791","0.195531183393267","6.03833091372686","0.110891330810249","0.0542557313627362","0.299154637845666","0.161462514076373","0.117525125134806","0.596949598861556","0.353967729918154","0.557442718578414","0.457664633428931","0.452183791431638","0.67177918859954","0.455159907417977",0.966197038645568,1,0.999884603092583,1,0.999817567079685,1
