"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","amplitude_braak0to3","amplitude_braak3to5","amplitude_braak5to7","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"KLHL17","0.564922232249898","0.337805569449367","0.0303360741072562","1.18233023508362","1.41910705078627","1.69500051787045","1.38637556118425","1.55836176555619","1.19387116138411","1.13456348550421","1.21065131455447","1.93466172843362","1.34847960664731","0.96227163439875","1.54733458913728","0.947625661018102","1.39166312321589","1.10067742424567","0.83679597735947","1.23304837195525","1.87929005585222",0.884516115398947,1,0.743146557626987,1,0.821705979483723,1
"HES4","0.35960059773034","0.131725459140164","0.231930820667723","4.01326840249189","4.13664574488939","4.26303488667949","3.41741262267674","4.23187954344777","3.98196070723606","3.7946006546049","4.18099343772984","4.23085683260504","6.20898958454237","7.99028012595858","5.99945387382993","4.18891187362053","5.62078879210452","7.04557682184382","8.24844085324841","6.21058747937624","5.74518424149274",0.81398558670736,1,0.491223889422706,1,0.821705979483723,1
"ISG15","0.466323343905056","0.242810712697061","0.457079907881794","3.35468332133645","3.25720778693699","3.10972090030009","2.84522408609624","3.534762469618","3.04875018629508","3.17698419504176","3.0432057684175","3.93929674340803","1.05045753530615","1.5471057246349","0.296805844243295","2.08553220704703","0.662244203062083","1.34536345784042","1.20351273123136","0.827241594898778","1.41917075221847",0.853393966076687,1,0.651381694225615,1,0.840324224379269,1
"AURKAIP1","0.40396453103821","0.66375750915946","0.444361095118185","3.24418703478405","3.24753813668486","3.02985836474254","2.70077706421977","3.13106880604414","3.14041496366334","3.43322423532358","3.05036932380559","3.37078699003959","4.6386900291445","4.94782462700834","3.61425491018002","2.90379244355219","3.91328790458934","4.58355539259462","3.93192173854335","4.24376836111433","4.57257197735279",0.831743006536452,1,0.899561389771904,1,0.840324224379269,1
"MRPL20-AS1","0.406204078603455","0.117635320640124","0.837344872435017","3.7468998507304","3.72111621599406","3.44434752334649","3.71574820858045","3.60066875135012","3.66185655923665","3.84104291959313","3.71837369395421","3.43506449505443","0.728416734530441","0.726301732388932","0.477762383761023","0.308098439828215","0.492771066269824","0.760997595507884","0.625710869640181","0.628868069818312","0.542456498483582",0.831743006536452,1,0.468677014404551,1,0.934347540746397,1
"ANKRD65","0.0545850826779555","0.0372813584557884","0.632661071552364","3.20716952482117","3.23997935182086","3.27424375240382","1.92803443170114","3.2600199690138","3.06939062072962","3.0401620408765","3.20532461621995","3.13065377249939","1.04736485888313","0.656673300469826","0.533064502666178","0.577407150035707","0.562113246591587","1.02129045510187","0.971081377068839","0.75173885428664","0.517076244868514",0.413334029675844,1,0.319180013761183,1,0.875173915691142,1
"ATAD3C","0.462481406293448","0.799939416352802","0.665957253309263","0.843979327631683","0.78273202320048","1.22636135263266","2.07394993525227","0.807205831023043","1.19130735074673","1.68693332018708","0.669147467417414","1.34270995094677","0.407353630141437","0.161334782470806","0.177350225689582","0.809533119378687","0.253019242277934","0.253584103662211","0.205556101251032","0.283693907527591","0.300391495583018",0.853393966076687,1,0.951295996906339,1,0.884615330803565,1
"PEX10","0.29843342038863","0.284033490420517","0.724075064562507","3.88810595366619","3.80655724768018","4.11711075329372","4.35324794740642","4.04200475124739","3.7604570562838","3.9012237320459","3.89791533198852","4.13961319539061","1.75664311193789","2.04853177128096","1.57031974818889","0.904003924805947","1.72245006655469","1.64896084106966","1.94390020105124","1.69184493230466","1.55754334117209",0.781054059491261,1,0.685369626924896,1,0.894684225195978,1
"TNFRSF14","0.87883724180325","0.926642719823244","0.351985808603326","1.22017504477309","1.35178521598878","1.13950024660344","2.42967859727924","1.2421164831924","1.34647643453837","0.252817419318626","1.30053420267725","1.35139539223166","0.468083918954249","0.471301991036669","0.470302943457238","0.460804478322657","0.47230564609975","0.427433582312039","0.129300051183091","0.546164682300927","0.418067294922742",0.972521409125397,1,0.98052747721477,1,0.834773349440841,1
"TTC34","0.363706250299937","0.839602011969548","0.450335165888542","5.47546059886663","5.45818353790407","5.41123941091261","4.040423918771","5.43189914189159","5.29765718872123","4.97286779266076","5.40430587184402","5.54724639094648","0.445806094383904","0.365458722945868","0.473932691626872","0.482694882862135","0.401446084380374","0.433856958970074","0.501657339674159","0.383704016366208","0.518277194899946",0.81398558670736,1,0.962096014787105,1,0.840324224379269,1
