"Gene_Symbols","p_val","BHQ","Bonf"
"MRPL20-AS1",0.847545661043539,0.997647522936254,1
"ANKRD65",0.583752448929168,0.997647522936254,1
"PARK7",0.682631267227561,0.997647522936254,1
"CORT",0.568843773244258,0.997647522936254,1
"PINK1",0.931158662832845,0.997647522936254,1
"RPL11",0.923955826902539,0.997647522936254,1
"ZNF593",0.40004759398256,0.997647522936254,1
"SH3BGRL3",0.452178430789786,0.997647522936254,1
"HMGN2",0.644734987781272,0.997647522936254,1
"ATP5IF1",0.979257378776947,0.997647522936254,1
"EIF3I",0.820231365169093,0.997647522936254,1
"SYNC",0.712204328383731,0.997647522936254,1
"LSM10",0.392706280585359,0.997647522936254,1
"NDUFS5",0.950341935339159,0.997647522936254,1
"PRDX1",0.891898669366552,0.997647522936254,1
"UQCRH",0.573311048579391,0.997647522936254,1
"ACOT11",0.746935860796318,0.997647522936254,1
"MROH7",0.985457223372613,0.997647522936254,1
"GADD45A",0.362460763198054,0.997647522936254,1
"ZRANB2-AS2",0.483204886541208,0.997647522936254,1
"CLCA4-AS1",0.185926131756599,0.997647522936254,1
"CDC14A",0.265447717102814,0.997647522936254,1
"TAF13",0.951260765366158,0.997647522936254,1
"AMPD2",0.16151207533735,0.997647522936254,1
"LAMTOR5",0.568627333473639,0.997647522936254,1
"ANKRD34A",0.894604643541461,0.997647522936254,1
"BOLA1",0.277270157598444,0.997647522936254,1
"ADAMTSL4-AS1",0.85794670831411,0.997647522936254,1
"MRPL9",0.567750537760569,0.997647522936254,1
"RPS27",0.615854459607504,0.997647522936254,1
"HAX1",0.282695769035996,0.997647522936254,1
"DPM3",0.898434192370596,0.997647522936254,1
"ASH1L-AS1",0.730512518588193,0.997647522936254,1
"SSR2",0.41986609912298,0.997647522936254,1
"LAMTOR2",0.935417532781054,0.997647522936254,1
"PEX19",0.215442764898951,0.997647522936254,1
"UFC1",0.916313869300384,0.997647522936254,1
"PCP4L1",0.740230142837919,0.997647522936254,1
"AXDND1",0.700886634619851,0.997647522936254,1
"RGS16",0.985453093273224,0.997647522936254,1
"C1orf53",0.555109133030073,0.997647522936254,1
"PHLDA3",0.843523912190287,0.997647522936254,1
"SNRPE",0.785610942327738,0.997647522936254,1
"H3F3A",0.715239164130624,0.997647522936254,1
"HIST3H2A",0.945529290089196,0.997647522936254,1
"TRIM67",0.544755612827049,0.997647522936254,1
"RPS7",0.650320476956222,0.997647522936254,1
"ODC1",0.622526114613986,0.997647522936254,1
"PTRHD1",0.920422616479144,0.997647522936254,1
"OST4",0.756980546260563,0.997647522936254,1
"SNX17",0.718286144858267,0.997647522936254,1
"FNDC4",0.54830095211379,0.997647522936254,1
"LTBP1",0.853690625840179,0.997647522936254,1
"CRIM1-DT",0.7276544015015,0.997647522936254,1
"STPG4",0.716312930571467,0.997647522936254,1
"EPCAM-DT",0.360853729370706,0.997647522936254,1
"RPS27A",0.65830539919471,0.997647522936254,1
"SPRED2",0.53956381515174,0.997647522936254,1
"CCT7",0.756527149416976,0.997647522936254,1
"BOLA3",0.599139159757789,0.997647522936254,1
"LOXL3",0.197677667027588,0.997647522936254,1
"PARTICL",0.699380028666971,0.997647522936254,1
"RNF181",0.732545746898449,0.997647522936254,1
"COX5B",0.963466527521149,0.997647522936254,1
"IL1R1",0.0640067601534602,0.997647522936254,1
"MTLN",0.656260545793363,0.997647522936254,1
"CHCHD5",0.834031243994737,0.997647522936254,1
"PAX8-AS1",0.861926919543131,0.997647522936254,1
"MZT2B",0.775665700741898,0.997647522936254,1
"CCDC115",0.595965022151689,0.997647522936254,1
"IMP4",0.672109576847678,0.997647522936254,1
"MAP3K20-AS1",0.710981850432378,0.997647522936254,1
"ATP5MC3",0.859852694792667,0.997647522936254,1
"HSPE1",0.509068801036218,0.997647522936254,1
"NDUFB3",0.967048607083541,0.997647522936254,1
"EEF1B2",0.819995593230652,0.997647522936254,1
"RPL37A",0.766385835400236,0.997647522936254,1
"IGFBP5",0.0500753747337992,0.997647522936254,1
"ITM2C",0.788052016892942,0.997647522936254,1
"COPS9",0.791767904699066,0.997647522936254,1
"RPL32",0.790138414087361,0.997647522936254,1
"LSM3",0.759356091309702,0.997647522936254,1
"RPL15",0.614062281875424,0.997647522936254,1
"CMTM8",0.0949041767425237,0.997647522936254,1
"RPSA",0.956781872703344,0.997647522936254,1
"EIF1B",0.914461958238745,0.997647522936254,1
"RPL14",0.610043327358061,0.997647522936254,1
