"Gene_Symbols","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"NOC2L","2.87208322010716","2.1387071237805","9.76885362236259e-11","0.0997531096918453","0.569449187857887","-2.0615032824998",2.97666292845725e-10,1.43475153151639e-06
"KLHL17","1.26630051276605","1.20144987285774","6.09496110231942e-07","0.196285540823015","1.14618105806541","0.360209354573057",1.18142660300601e-06,0.00895166937097653
"HES4","4.0721837326728","6.93462445252654","2.19468749274093e-19","0.276380570555207","-5.56138274103077","-4.14246765893762",2.57455073529441e-18,3.2233375205886e-15
"ISG15","3.2585750588578","1.24554435187569","0.00105780494545529","0.226885177159037","-0.145374671441656","-1.23703150218281",0.00143825043824309,1
"AGRN","2.99824902815012","0.122499079441257","0.690863163801314","0.0330108909708103","0.01749939037526","-0.121242714422144",0.702291478872501,1
"C1orf159","0.0746270872621303","4.53639305445178","1.07190055468396e-15","0.162782515679764","0.338223656911307","4.52376687091453",6.67359196551222e-15,1.57430034466433e-11
"SDF4","2.85531399018529","3.60880112012124","3.25755556629909e-06","0.0871420794842114","1.01906879746433","-3.46192783151569",5.81262527059103e-06,0.0478437186022347
"B3GALT6","3.48167169186582","1.47630159814186","1.48203316123308e-15","0.190449339017534","-0.492437530248792","-1.39175130230896",9.00563551470014e-15,2.17666210390302e-11
"UBE2J2","1.64245061812863","1.85447427649033","4.32691283881999e-07","0.0692329453652045","1.84971556470322","-0.13276735991564",8.53584538129606e-07,0.00635493688637492
"SCNN1D","0.676189615794516","1.13823069805318","0.0116410616963699","0.0920882753698807","0.712333927367421","0.887777842656555",0.0141264375059559,1
"ACAP3","0.851455266483186","5.43076839517463","0.00141232370449912","0.0865767833894788","4.08524154681062","3.57827428605466",0.0018908658384666,1
"PUSL1","3.68102630870974","0.318920495544098","0.00102463798890988","0.119702274789602","-0.163813560471618","-0.27363369654285",0.00139573902273413,1
"INTS11","1.3625917476337","3.35720992827374","9.35817613973174e-10","0.100804211365947","3.28470631809394","0.693947336887659",2.51543801179063e-09,1.3744353296424e-05
"CPTP","3.02303718818544","1.19788728058291","9.99921646750716e-10","0.171245550775679","0.141683635665991","-1.18947874481505",2.67501807392127e-09,1.46858492258278e-05
"DVL1","2.62891064857984","2.45053136951296","1.49626664021666e-08","0.111803119338434","1.20202531931166","-2.13547163987274",3.48101823932553e-08,0.000219756681448621
"AURKAIP1","3.24090498039876","4.70542327462996","3.78489474816827e-19","0.231463478705165","-0.466538743507275","-4.68223769091617",4.18905419490184e-18,5.55887491663474e-15
"CCNL2","6.05197304660756","1.72523883617215","0.0678079166012257","0.0346171673169083","-0.39535175176439","1.67932904286607",0.0760457293159898,1
"MRPL20-AS1","3.7364831620234","0.722939992696644","5.99161099659657e-14","0.249114231014248","-0.405148639671305","-0.598746033650925",2.84233820113094e-13,8.79987907070138e-10
"MRPL20","3.43428987861225","2.73329306366966","2.46514392595036e-08","0.121173393434797","-0.788652849308308","-2.61704368614331",5.60197568318628e-08,0.000362055688404329
"ANKRD65","3.22021031828769","0.886607692467631","4.88890847205999e-12","0.249497250349254","-0.0696312457901286","-0.883869158842242",1.77907330845255e-11,7.18033987291451e-08
"VWA1","3.46516081326119","0.354573159713968","0.0603893555521011","0.071746558759891","-0.112737094397655","-0.336173278438845",0.0681003121156103,1
"ATAD3C","0.854774866038259","0.309263718814663","0.00315708359299258","0.220365949893275","0.233315712002997","0.202997109111458",0.00406844667283338,1
"ATAD3B","6.00060653491395","1.15134280791048","0.0296427929646337","0.0711044510466985","-0.321032449793685","1.10568007466294",0.0344542339562817,1
"ATAD3A","4.9947252557056","0.352385011406172","0.351263951371553","0.0319755246912985","-0.33843309268612","0.0981745284614922",0.367320876167485,1
"TMEM240","3.22522205869248","2.53408424896979","4.66494896500059e-07","0.114455162073473","-0.211677016227775","-2.52522787519813",9.17758067484318e-07,0.00685141054489637
"SSU72","3.00806903130872","8.27030573474339","4.22736406406165e-24","0.18269860097103","1.10100281274608","-8.19669139058283",1.1690687475866e-22,6.20872960088735e-20
"FNDC10","3.30370282604971","2.49634313141505","1.50244305000968e-09","0.175090388847744","-0.40291245295968","-2.46361331889019",3.9257038027917e-09,2.20663810754922e-05
"MIB2","0.810739202527049","1.15617030977268","0.234895602154097","0.0401261470622004","0.837988373625077","0.796558391374446",0.249866858031232,1
"MMP23B","0.981148821265041","0.458048528321574","0.00442670591701588","0.133381703487231","0.380700961349939","0.25470616860373",0.00562267835364631,1
"CDK11B","5.45065697550985","1.49799621950164","2.85791480798763e-06","0.129368755144804","-1.10797091384676","1.00816324457439",5.13445807766536e-06,0.0419741947849143
"SLC35E2B","0.744942485816725","1.2672763263875","0.0168221309564633","0.0515112033365976","0.859124046043988","0.931608909860358",0.0201112443921511,1
"CDK11A","6.05143399099163","2.095267946953","8.01297340268633e-07","0.180948502166092","-0.481246109448179","2.03925230211213",1.53217732541667e-06,0.0117686540365254
"SLC35E2A","5.69958109425026","0.936929484514917","0.281629599267714","0.0318604641010431","-0.516281088646987","0.781850814707557",0.297575102478052,1
"NADK","2.07042534970689","0.257410846175088","0.42250116845241","0.0186542365245198","0.225945036334272","-0.123325521626626",0.438318475740662,1
"GNB1","3.318019844636","23.5787795478614","5.39054513074308e-27","0.110643453906771","-4.13839065096324","-23.2127673444306",2.80748001188736e-25,7.91709363352236e-23
"CFAP74","0.355417877312508","1.71988876518455","3.88952669407911e-10","0.179980963092613","0.598490600710942","1.61239770697824",1.09709004332514e-09,5.71254785559399e-06
"GABRD","3.14170251205885","12.9436358680028","3.14078408351954e-18","0.185512498981525","-0.00142196801758484","-12.9436357898952",2.98567610580269e-17,4.61286958346515e-14
"PRKCZ","4.51406910247038","0.563907407295735","0.773829574461016","0.00749156281178696","-0.552854248700092","-0.111102401851875",0.782675777157836,1
"FAAP20","3.25092811454776","3.15886766402871","4.08610898512149e-15","0.138125294630955","-0.344688544722854","-3.14000552961026",2.31709199476754e-14,6.00126826644793e-11
"SKI","0.579626352548105","4.32009512865017","3.40882573879624e-07","0.0717082137665897","2.36616516271562","3.61448258307297",6.80329170073385e-07,0.00500654236257004
"MORN1","5.51832989747737","1.69243892845136","2.25034723489041e-09","0.131320946100206","-1.1719000338542","1.22106504216201",5.75598220808698e-09,3.30508498388355e-05
"RER1","3.32698211592856","2.38381579304384","1.95092836378772e-11","0.0903016069193284","-0.43940718279968","-2.34296800295464",6.52248688343962e-11,2.86532848789502e-07
"PEX10","3.85617228106054","1.87248306622452","7.70572437762744e-21","0.227966413289507","-1.22703803780738","-1.4144152456303",1.18382817922818e-19,1.13173973934214e-16
"PLCH2","1.22606943381215","1.34089942610942","0.0439836753768586","0.0497246589263433","1.26201133794513","0.453143083185104",0.0503262885836649,1
"PANK4","2.7464005712165","1.488450699643","1.5455801789197e-09","0.164878806168081","0.573031896756692","-1.37372483801056",4.03267651231011e-09,2.26999360877936e-05
"TNFRSF14","1.30179773663023","0.462268265721243","0.000292498133885372","0.211045286156976","0.445643952719578","0.122855268089719",0.000421086070611102,1
"PRXL2B","2.74066929935684","1.91070418587861","2.60167052839783e-09","0.163504170422317","0.745687927408305","-1.75918731261101",6.60628199353024e-09,3.82107350505789e-05
"TTC34","5.47339631583085","0.434077254170445","4.82598565647441e-09","0.25581935009833","-0.314333426924687","0.299361920266983",1.18904967852105e-08,7.08792513366397e-05
"PRDM16-DT","1.35276645426301","0.382363954227271","0.000165897729819447","0.252534704308836","0.373311676996803","0.0827078310086144",0.000245272796241013,1
"PRDM16","0.923109012603557","0.336071401498236","0.000425683068404233","0.146029891102394","0.268010649549883","0.202766561919954",0.000602893657247152,1
"MEGF6","5.85560828920807","0.155613482273343","0.0610171086785151","0.097576862730688","-0.0645278028088253","0.14160409079508",0.0687712589334166,1
"TPRG1L","3.06392655590551","6.33490133394347","3.4350432514832e-28","0.240234919878281","0.491512582015442","-6.31580480164794",2.40072279537513e-26,5.04504802345338e-24
"WRAP73","4.09118329712731","0.304315172549627","0.103046620743633","0.0393978119704138","-0.247462196726508","-0.177116304825953",0.11338370683711,1
"LRRC47","3.27070168138434","4.80060540059059","1.2636611588392e-31","0.206399947402597","-0.618081004250043","-4.76064996448645",2.08532488088442e-29,1.85593914398713e-27
"CEP104","0.00994401905503386","3.05485565360507","6.12914340574926e-10","0.0898739355259382","0.0303770421926001","3.05470461741729",1.68795666979635e-09,9.00187292002394e-06
"DFFB","0.20180236120171","1.84006091277231","1.55919940166812e-06","0.0849537891102008","0.368813420747499","1.80272039523299",2.88594349241332e-06,0.0228999616122997
"C1orf174","2.78019173779786","0.955312668397323","7.74694854191278e-09","0.128010831899462","0.337784229669599","-0.893601761741173",1.8634037542593e-08,0.000113779433235073
"AJAP1","5.90681760825164","8.80414518489419","8.15058152642273e-07","0.0956403519278401","-3.23591813676556","8.18790609672871",1.55727319992937e-06,0.0119707590878571
"NPHP4","6.00064153185963","3.62193904551138","2.39134979029018e-12","0.098493410356399","-1.00979465334857","3.47832678273168",9.09418808130292e-12,3.51217543699919e-08
"KCNAB2","3.11081807442169","4.42259785872776","7.13745938768254e-05","0.0531034581732758","0.136082105571405","-4.42050375868708",0.000109709959211819,1
"CHD5","0.875598728557093","8.98243263204755","0.000445481404251919","0.0750187013313853","6.89785387111211","5.75358218521787",0.000629598285628169,1
"RPL22","3.41932042995531","10.3105513537381","4.31682741753642e-13","0.159757092819824","-2.82685628010894","-9.9154602913672",1.82344677254407e-12,6.34012442813574e-09
"RNF207","5.69283480464202","0.953065394403057","0.000264161010911325","0.0817934123694698","-0.530525982418254","0.791754903987213",0.000382126737639578,1
"ICMT","3.15154165954179","2.29276638078639","1.40648837240127e-20","0.157939404610714","-0.0228103700592317","-2.29265290959667",2.06158629994585e-19,2.06570947254575e-16
"GPR153","1.29367208978731","0.494477726308016","0.0249936706973615","0.0848432135152636","0.475611520350112","0.135284528032587",0.0292775595415655,1
"ACOT7","4.0674353463203","2.3218001279852","0.00773073398050555","0.0395116484136424","-1.85541465964272","-1.39577658495011",0.00955895689271637,1
"TNFRSF25","0.972936981468874","5.63435437743242","1.68488956880955e-09","0.165782408091504","4.65703294467097","3.17143396632203",4.37826841774697e-09,2.47459730971059e-05
"PLEKHG5","5.8843672755388","1.72481793206021","3.66106069390972e-07","0.110399621945564","-0.669797522311465","1.589455308545",7.28393367806178e-07,0.00537699984114521
"NOL9","5.86121059294836","1.71771000499482","6.08619667962911e-05","0.0593614940478298","-0.703510027478082","1.5670358331886",9.43851791222278e-05,0.893879706337127
"ZBTB48","4.95463669065905","0.647759206364069","0.0288482128807652","0.0735277735367571","-0.628845437501238","0.15538791833114",0.0335705334426589,1
"KLHL21","2.11995407717833","3.77247669676583","4.71129298520718e-23","0.173701089572966","3.21778852113813","-1.96911590844035",1.07278697788741e-21,6.91947600737379e-19
"PHF13","2.71764238372663","1.11255165525367","1.05231252458235e-09","0.140058039385665","0.457663932670035","-1.01405863259512",2.8054663366384e-09,1.5455314048541e-05
"THAP3","2.87330571163454","0.971954822960914","4.31379300317615e-09","0.107687923150286","0.257645833688676","-0.937184508119852",1.06858960765134e-08,6.33566778376481e-05
"DNAJC11","5.33466520173795","5.13104362496557","9.54147339037988e-10","0.101550510063628","-4.16924891712789","2.99081462954957",2.55908728423136e-09,1.40135619684509e-05
"CAMTA1","0.132730658148795","33.7615604703382","1.68120081537297e-06","0.0504074849107199","4.46804787463933","33.4646009027783",3.10081582009077e-06,0.0246917963753828
"VAMP3","1.92463787030104","0.311146077429011","0.141982832370283","0.02812160290267","0.291870119886151","-0.107813332279008",0.154306782523483,1
"PER3","0.422263972139487","9.94279355998658","2.00692540768914e-09","0.0993879663350031","4.07482142051289","9.06945280419056",5.16574017923771e-09,2.94757134627304e-05
"Z98884.1","4.66100218316537","0.599650025087028","1.39183754993397e-06","0.262416473593101","-0.598858480483463","-0.0308005347341821",2.59020756410038e-06,0.0204419180958802
"PARK7","3.49785953603461","7.45884425271594","1.75260754313625e-18","0.208789836931054","-2.60148058575828","-6.99046896482606",1.72062479853223e-17,2.57405469860421e-14
"ERRFI1","2.43891538019074","1.13103202017975","0.00385871470260304","0.0528946221515911","0.730944222944432","-0.863107162301445",0.00493022556216884,1
"SLC45A1","3.86624674719203","1.55172354507524","1.20759267946658e-10","0.118455119231516","-1.02860106051245","-1.16182004572719",3.64261936400198e-10,1.77359136833257e-06
"RERE","0.327656778778934","52.5580098084662","2.55707652536126e-21","0.102756287803387","16.9145001289266","49.7618737631067",4.34170900901512e-20,3.75557829279808e-17
"RERE-AS1","4.37314907501897","1.12315228210887","7.16160216917266e-13","0.334706631795547","-1.05914144676071","-0.37375184890511",2.92742697073863e-12,1.05182451058639e-08
"ENO1","3.23583166049785","13.0411906194173","2.67124294325193e-27","0.212502755075078","-1.22717055410302","-12.9833241199286",1.47490771080982e-25,3.92325451075411e-23
"GPR157","0.0640282104289813","0.369884133399658","0.00027133323542119","0.178666193848205","0.0236668405804597","0.36912620172206",0.00039227002939571,1
"MIR34AHG","0.0600211349420497","8.37714321856931","2.26532464892825e-14","0.261589635504751","0.502503801966598","8.36205826536929",1.14600342749523e-13,3.32708231188092e-10
"LNCTAM34A","5.11195871957161","0.671465902326721","5.92407730830756e-05","0.204281160793782","-0.618573499273816","0.261215014850952",9.19540513920029e-05,0.870069234271131
"H6PD","6.17493637568769","1.80254143786598","1.46447288395476e-07","0.126265076057471","-0.194742337733237","1.79199080832413",3.04742324265281e-07,0.00215087132466436
"SPSB1","1.61395127940538","0.0634781306563439","0.909738690135106","0.024254858966169","0.0634190305830379","-0.00273854551387593",0.913532896349945,1
"SLC25A33","5.01457141420108","1.86305698111562","1.19436925246616e-08","0.0944978976742841","-1.77864049288206","0.554454066595161",2.81252224001451e-08,0.000175417012109705
"TMEM201","2.51507084034578","0.9795424260432","0.000106955907794013","0.0830978103382205","0.5743358251029","-0.793499668822848",0.000161213199689108,1
"PIK3CD","5.6964779803634","0.661861833516015","0.249762899635637","0.0356854351105139","-0.366421269227693","0.551177412565816",0.265105709832232,1
"CLSTN1","2.89979330265873","26.1377238503977","2.6900307322774e-20","0.101156435534709","6.25867846143259","-25.3773432808884",3.72370229641453e-19,3.95084813649582e-16
"CTNNBIP1","5.51673985215831","1.77935180082593","1.43508503610433e-06","0.0712933838127304","-1.23412104351654","1.2818104700197",2.66764889574285e-06,0.0210770939252643
"LZIC","3.30865389196619","1.44780333003267","1.26266908228616e-07","0.0685920245572661","-0.24074830102841","-1.42764657321258",2.64321847370821e-07,0.00185448208115368
"NMNAT1","5.51906139905955","1.84919835462405","6.67992841833187e-11","0.176503922932598","-1.27946909871075","1.33510051314072",2.08032461153605e-10,9.81081086800402e-07
"UBE4B","6.23732496723329","15.5336701758866","1.01353588558162e-21","0.120954542628796","-0.712129711882924","15.5173380580138",1.83322679206124e-20,1.48858015515373e-17
"KIF1B","0.000355174240482716","16.8879245541067","2.12154971224455e-06","0.0445490466390972","0.00599815565072428","16.8879234889115",3.87167005762124e-06,0.0311592006237357
"PGD","3.15291543120161","3.37170568874917","9.61336487466115e-18","0.122708704910824","-0.038176257940954","-3.37148955580069",8.42431324070097e-17,1.41191489914148e-13
"CENPS","0.945789222349204","0.12499746907525","0.640434200943","0.0196160548590152","0.101367817860509","0.073136398444391",0.652971684085376,1
"CORT","3.91625225852596","6.57252019598877","3.42542950474157e-17","0.554555890420141","-4.59729942935996","-4.69711184489862",2.70916979731499e-16,5.03092831361394e-13
"DFFA","6.04974416723038","0.688147094600173","0.242250485081059","0.03171881001538","-0.15918678925642","0.669481881706212",0.257373616492008,1
"PEX14","5.62744279989358","5.32932251247216","1.53971396742693e-16","0.0974825231313202","-3.24954331283294","4.22399653171795",1.09828941425932e-15,2.26137790395993e-12
"TARDBP","1.94711714102178","5.01853006121533","2.24015918594853e-14","0.0966271159394907","4.66734854585814","-1.84431600513519",1.13530772822726e-13,3.29012179640261e-10
"MASP2","4.62619084007156","0.58506452796","2.02560739309416e-08","0.380736293641624","-0.582892323790037","-0.0503690454913393",4.6390294374511e-08,0.000297500957823739
"SRM","3.60761567617239","5.00466022475852","6.86051500295866e-20","0.150036141119322","-2.24877884264762","-4.47097502589093",8.86195108605575e-19,1.00760383848454e-15
"EXOSC10","5.76097497176873","3.50893670400233","1.66630613296271e-10","0.0972030458282134","-1.75024743088421","3.04126137044778",4.93507525203132e-10,2.44730381748233e-06
"MTOR","5.59869316203955","5.76736659037424","6.20584732376575e-15","0.0992447612116223","-3.64658845690781","4.4682110529508",3.40602689253167e-14,9.11452796441476e-11
"ANGPTL7","4.08203087790428","0.308516148233563","5.2997494377272e-06","0.215898188274155","-0.249224429601206","-0.181849931016835",9.24105662969243e-06,0.0778374199918994
"UBIAD1","5.06571658276914","0.759776494839367","6.92719705813241e-06","0.0939952448933764","-0.712842431345656","0.262899201565177",1.1913318875034e-05,0.101739743192791
"DISP3","0.905282804595095","0.903856805617134","0.0153967412647559","0.0678095131750197","0.710973589597177","0.558098270876836",0.0184582433234405,1
