group,individual,time,value
Group1,1,1,0.9702246504875376
Group1,2,1,0.8144909239006664
Group1,3,1,0.843350368806818
Group1,4,1,0.8816694885041196
Group1,5,1,0.8270309040653415
Group1,6,1,0.863254656068438
Group1,7,1,0.8194463895339265
Group1,8,1,0.8578129751163522
Group1,9,1,0.8971778472322235
Group1,10,1,0.8261586056466218
Group1,11,1,0.9223366055911216
Group1,12,1,0.8868179690898134
Group1,13,1,0.8945298835941407
Group1,14,1,0.8742496651769093
Group1,15,1,0.895034845953979
Group1,16,1,0.9214548055451323
Group1,17,1,0.8539269568604084
Group1,18,1,0.9246757115470251
Group1,19,1,0.8647678329730206
Group1,20,1,0.8624036482166008
Group1,1,2,1.8929547606745176
Group1,2,2,1.6053220060241205
Group1,3,2,1.6896286511827903
Group1,4,2,1.765377582977054
Group1,5,2,1.6688345481074907
Group1,6,2,1.7205300143463929
Group1,7,2,1.6795752689927792
Group1,8,2,1.7275444678871659
Group1,9,2,1.763941787930803
Group1,10,2,1.676318145303874
Group1,11,2,1.8257527052444855
Group1,12,2,1.7553687092579981
Group1,13,2,1.7647382042017865
Group1,14,2,1.7619262411326113
Group1,15,2,1.7586729887599135
Group1,16,2,1.8632136937572321
Group1,17,2,1.7359928149157633
Group1,18,2,1.8184337569018882
Group1,19,2,1.7104205106369579
Group1,20,2,1.753525968178694
Group1,1,3,1.8005421408620659
Group1,2,3,1.5793198266028212
Group1,3,3,1.6536128402666135
Group1,4,3,1.7064277243018633
Group1,5,3,1.636516267479781
Group1,6,3,1.6669953235541113
Group1,7,3,1.64287242531272
Group1,8,3,1.6834185175433976
Group1,9,3,1.69585153059512
Group1,10,3,1.6527908588182167
Group1,11,3,1.7636470388717098
Group1,12,3,1.69091117511901
Group1,13,3,1.7348422075191783
Group1,14,3,1.706599761398177
Group1,15,3,1.6998314208418912
Group1,16,3,1.8034366402183308
Group1,17,3,1.677317632796769
Group1,18,3,1.7469592729184837
Group1,19,3,1.6751112615897619
Group1,20,3,1.7098190547816559
Group1,1,4,1.1677203520166546
Group1,2,4,1.0194938909699633
Group1,3,4,1.0747753829516438
Group1,4,4,1.1151684566309987
Group1,5,4,1.0659204264667015
Group1,6,4,1.1130086933947343
Group1,7,4,1.0747946111856455
Group1,8,4,1.1015337095995548
Group1,9,4,1.1036797492638628
Group1,10,4,1.0863802064129857
Group1,11,4,1.118904615923182
Group1,12,4,1.091367457690191
Group1,13,4,1.104578799223347
Group1,14,4,1.0939704685834364
Group1,15,4,1.0952439768095699
Group1,16,4,1.182835251880156
Group1,17,4,1.085974051297009
Group1,18,4,1.139048783817164
Group1,19,4,1.0919221597909659
Group1,20,4,1.1144284958034947
Group1,1,5,0.5419319710090728
Group1,2,5,0.5028081678476027
Group1,3,5,0.5256324280825535
Group1,4,5,0.5383969874868269
Group1,5,5,0.5279819316231389
Group1,6,5,0.5301448519107901
Group1,7,5,0.5175757695873466
Group1,8,5,0.5252889364793741
Group1,9,5,0.5304398936216651
Group1,10,5,0.5191240173535839
Group1,11,5,0.53556589599837
Group1,12,5,0.5236102286316611
Group1,13,5,0.531203315340126
Group1,14,5,0.5223026825402696
Group1,15,5,0.5228486348932885
Group1,16,5,0.548492264172827
Group1,17,5,0.5366940439561536
Group1,18,5,0.5474444371698417
Group1,19,5,0.5245082059203605
Group1,20,5,0.5310145565812153
Group1,1,6,0.26674177281454214
Group1,2,6,0.25960140697008577
Group1,3,6,0.26042687066662823
Group1,4,6,0.2656491429310417
Group1,5,6,0.2642463703465593
Group1,6,6,0.2636193305555055
Group1,7,6,0.25919837546645774
Group1,8,6,0.26047623069590403
Group1,9,6,0.2621965704416258
Group1,10,6,0.2607000626769407
