group,individual,time,value
Group1,1,1,0.8721662238836925
Group1,2,1,0.6969422050698229
Group1,3,1,0.7486914816093558
Group1,4,1,0.759420640197341
Group1,5,1,0.7120525817389658
Group1,6,1,0.7471663788466545
Group1,7,1,0.7130977607460075
Group1,8,1,0.7594516087272317
Group1,9,1,0.7717313222561998
Group1,10,1,0.737714263917829
Group1,11,1,0.8256233371437061
Group1,12,1,0.796141017991498
Group1,13,1,0.7933589166019825
Group1,14,1,0.784665669674394
Group1,15,1,0.801270677671919
Group1,16,1,0.824363315437762
Group1,17,1,0.7642263929414301
Group1,18,1,0.7963660710982575
Group1,19,1,0.749442360581265
Group1,20,1,0.7723357059171276
Group1,1,2,1.7516773047277443
Group1,2,2,1.4413357675429854
Group1,3,2,1.5170641141137908
Group1,4,2,1.6013249925382749
Group1,5,2,1.503752677775375
Group1,6,2,1.5514094525358613
Group1,7,2,1.4890231134982732
Group1,8,2,1.5803050547428907
Group1,9,2,1.589603893879523
Group1,10,2,1.5062749640956055
Group1,11,2,1.6770045576104553
Group1,12,2,1.5980683255752002
Group1,13,2,1.6164843851177901
Group1,14,2,1.6194508323857575
Group1,15,2,1.6242263312113623
Group1,16,2,1.6949801827236095
Group1,17,2,1.5711060943453932
Group1,18,2,1.6445830508115815
Group1,19,2,1.5476417181543274
Group1,20,2,1.5689929136479797
Group1,1,3,1.6562554381386183
Group1,2,3,1.4107071612819388
Group1,3,3,1.4870627889060894
Group1,4,3,1.5730898783882985
Group1,5,3,1.4670873975464764
Group1,6,3,1.5228628515100948
Group1,7,3,1.4593604906193482
Group1,8,3,1.554346320488878
Group1,9,3,1.526185970217511
Group1,10,3,1.489997294148733
Group1,11,3,1.5853430363062972
Group1,12,3,1.543352687038173
Group1,13,3,1.577938357782478
Group1,14,3,1.5605862592027886
Group1,15,3,1.5562220880157833
Group1,16,3,1.6462522531141546
Group1,17,3,1.5237342425691174
Group1,18,3,1.5766691681973717
Group1,19,3,1.5107375631188078
Group1,20,3,1.5447738440297603
Group1,1,4,1.0612677705240896
Group1,2,4,0.9266493696430177
Group1,3,4,0.9509064327975014
Group1,4,4,1.0043752500317884
Group1,5,4,0.9390190494092728
Group1,6,4,0.9805653743938313
Group1,7,4,0.9334919496884344
Group1,8,4,0.998956649182993
Group1,9,4,0.9804894410505448
Group1,10,4,0.9733605348763498
Group1,11,4,1.0120270641757816
Group1,12,4,0.9899376352366068
Group1,13,4,0.9957209421183575
Group1,14,4,0.9966206461653391
Group1,15,4,0.9926280068985791
Group1,16,4,1.0683776586928815
Group1,17,4,0.9802593145428818
Group1,18,4,1.0130881125464821
Group1,19,4,0.9730823922452327
Group1,20,4,0.9940275294519888
Group1,1,5,0.48993001338270126
Group1,2,5,0.43983286640811686
Group1,3,5,0.46177706778642563
Group1,4,5,0.48277384097488074
Group1,5,5,0.4618725651137864
Group1,6,5,0.4654904090816547
Group1,7,5,0.4455687663586403
Group1,8,5,0.4730295126151112
Group1,9,5,0.46906301441454307
Group1,10,5,0.4630461649230668
Group1,11,5,0.4822201190453948
Group1,12,5,0.47309935819077015
Group1,13,5,0.4769206775450302
Group1,14,5,0.4739046818904531
Group1,15,5,0.47314178214328434
Group1,16,5,0.49259014868842405
Group1,17,5,0.46717566012646156
Group1,18,5,0.4840543382406097
Group1,19,5,0.46506446485463787
Group1,20,5,0.470708531362878
Group1,1,6,0.23761711911876165
Group1,2,6,0.2306997533400596
Group1,3,6,0.23106510643075684
Group1,4,6,0.23652428562529393
Group1,5,6,0.23405173547084557
Group1,6,6,0.2338975421410334
Group1,7,6,0.23001809352377534
Group1,8,6,0.23165468429815977
Group1,9,6,0.23294294893017564
Group1,10,6,0.23089488503458114
Group1,11,6,0.23421311686829435
Group1,12,6,0.2352155483138437
Group1,13,6,0.23338831360976334
Group1,14,6,0.2296476730206613
Group1,15,6,0.2373818924077869
Group1,16,6,0.23598373170833736
Group1,17,6,0.23252738081085522
Group1,18,6,0.23450442833838595
Group1,19,6,0.23121877608378918
Group1,20,6,0.23005394297013554
Group2,1,1,0.7973669728871842
Group2,2,1,0.8269436109887677
Group2,3,1,0.7557514488453769
Group2,4,1,0.8598493157897398
Group2,5,1,0.7775956876891164
Group2,6,1,0.8653690660474449
Group2,7,1,0.7859172314548933
Group2,8,1,0.7834636388895848
Group2,9,1,0.8128684033431248
Group2,10,1,0.8186794061779846
Group2,11,1,0.8212670720875134
Group2,12,1,0.7967519673150517
Group2,13,1,0.695693824956635
Group2,14,1,0.7343209138557046
Group2,15,1,0.8189475652690463
Group2,16,1,0.666681099605601
Group2,17,1,0.7588374949703641
Group2,18,1,0.7489644818441179
Group2,19,1,0.8289527289720159
Group2,20,1,0.7748797831725391
Group2,1,2,1.7028432330792331
Group2,2,2,1.6491493922257627
Group2,3,2,1.541785514656302
Group2,4,2,1.7407636984616819
Group2,5,2,1.6011150398503704
Group2,6,2,1.7293841051128254
Group2,7,2,1.61660703937004
Group2,8,2,1.5922422377892846
Group2,9,2,1.683693642547604
Group2,10,2,1.6711509732884968
Group2,11,2,1.6748782481305287
Group2,12,2,1.6545160775500283
Group2,13,2,1.449004793686477
Group2,14,2,1.5145880877027664
Group2,15,2,1.680837182598959
Group2,16,2,1.3662198259679996
Group2,17,2,1.5908757040426178
Group2,18,2,1.528670255458071
Group2,19,2,1.7548107263695185
Group2,20,2,1.6046937661094378
Group2,1,3,1.6437864770885513
Group2,2,3,1.5833049262761603
Group2,3,3,1.478819340568601
Group2,4,3,1.6563044482065346
Group2,5,3,1.5538187333796254
Group2,6,3,1.6728468018586828
Group2,7,3,1.5557652156631403
Group2,8,3,1.5175423660932428
Group2,9,3,1.642647493492194
Group2,10,3,1.6129626119518434
Group2,11,3,1.6186982974328634
Group2,12,3,1.6036582792132128
Group2,13,3,1.443784237407868
Group2,14,3,1.4745031000037334
Group2,15,3,1.6038703906922356
Group2,16,3,1.3706249398334966
Group2,17,3,1.531439030689289
Group2,18,3,1.472531814856756
Group2,19,3,1.6617953725986352
Group2,20,3,1.5436716905373928
Group2,1,4,1.0491782784471255
Group2,2,4,1.0149121498600127
Group2,3,4,0.9391216463397142
Group2,4,4,1.0578538700221354
Group2,5,4,1.0078309298000168
Group2,6,4,1.055134453812315
Group2,7,4,1.0024226804403675
Group2,8,4,0.9828070767500562
Group2,9,4,1.0455257882680433
Group2,10,4,1.0235919257212718
Group2,11,4,1.0310037065442692
Group2,12,4,1.0352615912897023
Group2,13,4,0.9484034045116008
Group2,14,4,0.9595718224729891
Group2,15,4,1.0048811779157643
Group2,16,4,0.9038765697562047
Group2,17,4,0.9843253129612598
Group2,18,4,0.9537996338706537
Group2,19,4,1.0557440284610562
Group2,20,4,0.983556772891303
Group2,1,5,0.48419932371822133
Group2,2,5,0.48502669190851694
Group2,3,5,0.4581071934961847
Group2,4,5,0.4810552255385365
Group2,5,5,0.46740840867957095
Group2,6,5,0.49151567675696584
Group2,7,5,0.476960063197632
Group2,8,5,0.4714196359240406
Group2,9,5,0.4825308332853279
Group2,10,5,0.47872599371668
Group2,11,5,0.4831312466168196
Group2,12,5,0.49480489644016684
Group2,13,5,0.4530214768220974
Group2,14,5,0.4684139518212706
Group2,15,5,0.4824759664622902
Group2,16,5,0.43568433287205155
Group2,17,5,0.4675325673843725
Group2,18,5,0.45647013806440734
Group2,19,5,0.48276382745264845
Group2,20,5,0.47244608689191236
Group2,1,6,0.24064733785473416
Group2,2,6,0.23838049819358642
Group2,3,6,0.2285782173224712
Group2,4,6,0.23539848915429498
Group2,5,6,0.23549458298241627
Group2,6,6,0.2405401539519005
Group2,7,6,0.23449606456453637
Group2,8,6,0.23206683940200543
Group2,9,6,0.23478199481380196
Group2,10,6,0.23379951104430208
Group2,11,6,0.2410055054908962
Group2,12,6,0.23769295050083666
Group2,13,6,0.23302476286282148
Group2,14,6,0.23580421797922374
Group2,15,6,0.23942978317362104
Group2,16,6,0.23121461487402958
Group2,17,6,0.23387581430638324
Group2,18,6,0.22466832067355066
Group2,19,6,0.23710514174517702
Group2,20,6,0.22676211331773977
