"Gene_Symbols","p_val","acrophase_Male","acrophase_Female","amplitude_Male","amplitude_Female","BHQ","Bonf","Log_Male_Female_ampRatio"
"HES4",0.67166873784098,"3.83645763315523","4.18638992357882","7.48160732455172","7.96757025064409",0.948214302171636,1,-0.0629319325568584
"HES5",0.966594559309233,"4.3358782460062","4.39021071530596","12.7610777670979","13.5572998473581",0.996874839886341,1,-0.0605253975271271
"MEGF6",0.764809022805028,"0.373114903236192","0.667789171292594","0.496275756788426","0.803560648060719",0.969707715161103,1,-0.481920928677947
"Z98884.1",0.326923935412285,"4.67023203572264","5.18727152345197","2.62013292335216","2.34445137024132",0.848017550838209,1,0.111173633317145
"MIR34AHG",0.739789524321766,"1.86923465579419","1.36157276729582","2.43159257890143","2.18103780784873",0.959990805021646,1,0.108745602780015
"SLC25A33",0.0125432231356423,"4.6555501849565","5.02052108927667","32.546025767733","13.7189746912943",0.612185769171369,1,0.86387537642081
"CASZ1",0.793837744788113,"1.37592837800542","1.17177087467113","1.10614220882252","0.823422178674289",0.973899605496438,1,0.29516470876907
"PDPN",0.572470631660884,"1.75922807377783","2.12179393689122","2.05565518912907","0.937898493524037",0.9409432088199,1,0.78470817565143
"TMEM51-AS1",0.611939172519488,"4.92480437738886","5.08666134418575","2.7760484828986","2.06364468366025",0.943490501582027,1,0.29655482410266
"TMEM51",0.175175658990852,"4.61153628775016","4.94251158881489","5.42404407926458","3.43827396615026",0.828581228494931,1,0.455872085874599
"EPHA2",0.97817771819181,"1.85233785481349","1.96277134394002","1.71303180775246","1.79407482050831",0.997374625992771,1,-0.046224681117696
"SPATA21",0.130794155753587,"4.8359542291167","5.32450160603336","1.01880282015121","1.85758540367658",0.782113701634625,1,-0.600649242075977
"PLA2G5",0.320024441394747,"3.92869647033236","4.36165523361149","4.8192973797209","5.53444227581833",0.848017550838209,1,-0.138362652312573
"FAM43B",0.441708427065628,"1.7152095706055","2.13748920771502","1.60426505095467","2.23419106720341",0.890994466386,1,-0.331213484408089
"PINK1-AS",0.515166189891613,"5.29005672841828","4.97354456677615","0.494428423682085","0.742462247638081",0.90640572177749,1,-0.406569628695055
"C1QB",0.787012398520794,"2.48853539714592","2.67430750997592","1.02776760260598","0.718245600881866",0.973515962184174,1,0.358332779886346
"CLIC4",0.475584843369024,"1.99687689589115","1.35188019467962","25.1335046764828","17.4388166351232",0.890994466386,1,0.365503241001213
"MAN1C1",0.421057906394641,"1.88143205998643","1.28974977940362","27.5738567188778","16.061355340997",0.882395263543791,1,0.540452006197105
"SH3BGRL3",0.311961765764875,"2.5767299106708","3.00101196320606","4.6280664370681","3.45859951077702",0.848017550838209,1,0.291275423229708
"MAP3K6",0.861832103149763,"1.80383948001687","1.68506216182961","4.31096900863812","3.39644399261771",0.983613463840363,1,0.238433707056875
"DCDC2B",0.649425489617379,"5.04766791701086","5.34327385090012","1.55402317942249","1.68442161221654",0.943490501582027,1,-0.0805750802259242
"ZMYM4-AS1",0.409670821537987,"4.42515668121123","4.74941812547608","1.44937763802558","2.80433719611641",0.882395263543791,1,-0.66003296819474
