"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"TMEM141",6.01608316509449e-07,"3.44015964493157","3.44469264834898","2.64329882822417","5.10265776962263",0.000316145170325715,0.000632290340651431,-0.657733842028875
"COX7A1",5.90498352982435e-07,"2.86116522758633","3.34943333230052","4.2069887008974","10.3259988863522",0.000316145170325715,0.000620613768984539,-0.897917759789982
"SELENOH",9.35943023821066e-07,"3.6209930565577","3.62470837291272","10.6378193216278","20.1807753305038",0.000327892039345313,0.00098367611803594,-0.640314922992602
"CHCHD2",9.13237074938885e-06,"2.95798338789946","3.18102308457225","17.4330469512356","29.4017307682235",0.00117222879986604,0.00959812165760768,-0.522685887282893
"POLR2K",1.09190235700751e-05,"3.10002995161391","3.30169644198152","5.5984510748546","9.24529044127122",0.00117222879986604,0.0114758937721489,-0.501624314677579
"RSL24D1",7.62124517125752e-06,"2.97892159980538","3.1722042579125","6.77469769973923","10.4548308106708",0.00117222879986604,0.00800992867499165,-0.433869404320533
"SDHAF1",4.77983477713959e-06,"3.06620704798923","3.15045584288055","1.23225784408714","2.23385522539681",0.00117222879986604,0.00502360635077371,-0.594880761197482
"TMEM160",1.22688076103962e-05,"3.15242296562431","3.38083007403946","12.823131380203","20.999025835016",0.00117222879986604,0.0128945167985264,-0.493225368746
"DDT",7.53374327987027e-06,"3.18775494307738","3.35906845742237","3.04562574940595","6.22487821228727",0.00117222879986604,0.00791796418714365,-0.71484749719276
"UQCR10",1.03451855665993e-05,"2.80488904773304","3.10572507333925","13.2360337358639","22.612629284859",0.00117222879986604,0.0108727900304959,-0.535565629259648
"LAGE3",1.21966965706415e-05,"2.99252297595758","3.24035658340483","3.34865934326512","6.07670324611498",0.00117222879986604,0.0128187280957442,-0.595902249964319
"LAMTOR5",1.66768666191122e-05,"3.0008039915101","3.18737861184883","6.83463615980966","10.62090406856",0.00132093265202322,0.0175273868166869,-0.44082090422029
"COX14",1.75956775721456e-05,"3.04350387455076","3.30194580495067","3.81818042938019","7.36878782462243",0.00132093265202322,0.018493057128325,-0.657479236651657
"POLR2I",1.53694647278963e-05,"2.78522787922153","3.15649510100415","5.6511587420045","9.14271996242444",0.00132093265202322,0.016153307429019,-0.481097318870657
"SELENOW",2.10891794529568e-05,"3.09186413119528","3.22597207799568","39.3448253586096","62.9789191267747",0.0013852954753161,0.0221647276050576,-0.470435590101123
"RPS19BP1",2.10096258023599e-05,"3.06775528732204","3.36087463895438","5.0030648684675","8.4878756248891",0.0013852954753161,0.0220811167182803,-0.528588049815711
"MTLN",2.2850399065367e-05,"2.80914085133579","3.21210934013166","4.61591826678607","7.8965526657228",0.0013966026272586,0.0240157694177007,-0.536915470260878
"TCEAL8",2.39189793441054e-05,"3.13179992535991","3.24670511384744","5.17765614666251","8.4399963167899",0.0013966026272586,0.0251388472906548,-0.488629399676933
"NCBP2AS2",2.91599933491571e-05,"3.39181413220175","3.42485613060666","2.9021126784685","5.10671112521923",0.00150165120179454,0.0306471530099641,-0.565116600014631
"MRPS24",2.81788042410448e-05,"2.90926631195846","3.22799031943591","5.5662166100663","8.53919188599192",0.00150165120179454,0.0296159232573381,-0.427950797394937
"FAU",3.00044483707758e-05,"2.94749859953145","3.21420356300986","15.2468816696613","29.7834399874613",0.00150165120179454,0.0315346752376854,-0.669577532464846
"ATP5MF",3.54539406703083e-05,"2.85248100641258","3.21435840592163","8.37554954970586","14.6269541263197",0.00155258715185392,0.037262091644494,-0.557549306233321
"ATP5MPL",3.44347690910992e-05,"3.0629326738762","3.27039840614766","16.0840034636554","28.5802096211821",0.00155258715185392,0.0361909423147453,-0.574889302632945
"C19orf53",3.35131643633262e-05,"2.9103660970124","3.23443900454818","4.84305064748286","8.29004653471935",0.00155258715185392,0.0352223357458558,-0.537510761247002
"UQCRQ",5.19001250607246e-05,"3.0107231872497","3.39185424758241","4.18703411991066","8.90567757437882",0.00207871698645396,0.0545470314388216,-0.754696367037734
"MRPS12",5.34018635911102e-05,"3.04231010065592","3.19697096064372","1.84806960732646","2.86834869466316",0.00207871698645396,0.0561253586342568,-0.439594857658492
"SELENOM",5.05253250591498e-05,"2.88030064438164","3.11422184353216","7.29059332933657","11.0650127883611",0.00207871698645396,0.0531021166371664,-0.417203197058825
"TMSB10",8.05006276705286e-05,"2.8788157553719","3.21298349377239","57.2255957762575","93.3973727813425",0.00291745378212847,0.0846061596817256,-0.489861939256803
"BEX4",7.97397954364828e-05,"3.1714991594207","3.23166585712305","21.5072001571302","33.4729106373545",0.00291745378212847,0.0838065250037434,-0.442348703916847
"GCHFR",8.42995385688197e-05,"2.6704933971444","3.00351266251675","0.9960199347745","1.40648015053609",0.00295329383452765,0.0885988150358295,-0.34507824294677
"EMC6",9.33054490761321e-05,"3.05951933139901","3.26212023633665","2.0659007448769","3.51238557766966",0.00316335570900048,0.0980640269790148,-0.53072913100341
"SNRNP25",0.00010354205006713,"3.22113425387021","3.32072062056339","4.82717550257026","7.53809926406638",0.0034007092068923,0.108822694620554,-0.445708548710545
"COA3",0.000106902173153607,"2.9025302658731","3.11564592363132","3.87805010943667","5.51419974041062",0.00340467224195276,0.112354183984441,-0.351994057975892
"ATP5MC1",0.000113324493322835,"3.08412105932458","3.27756495845509","6.60413720760095","12.2795488404112",0.00350306007300881,0.1191040424823,-0.620238880383173
"TCEAL7",0.000119991841422419,"3.27171465427456","3.34019704903733","9.47552664757798","14.9387096472616",0.00360318358099893,0.126111425334962,-0.45524347470114
