"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","amplitude_braak0to3","amplitude_braak3to5","amplitude_braak5to7","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"FAM41C","0.326371834460999","0.866034825978351","0.669869755303153","0.736563699915998","0.417728551136088","0.998616478363506","1.65659345846722","0.749278805115792","0.811291882898068","0.843202850122153","0.621888198005398","1.21410131799549","0.186063668178787","0.325046399348281","0.344083217204226","0.462812000215755","0.273685420884545","0.232724897926055","0.286955363562198","0.276055213809658","0.257081029620317",0.669694389743294,1,0.986760080719733,1,0.901457459590248,1
"KLHL17","0.305814527726305","0.0908025603473109","0.0470066940913419","1.09708280706311","1.69250664360796","1.56245287683423","1.83594253778761","1.53817824454147","1.19371078255494","2.14576398220772","1.28072279747827","1.67587520525134","1.05124477826823","0.907979005712748","1.61921795420181","1.1014360414175","1.41232852698166","0.773666892525562","0.331940825754814","1.19524707553491","1.66638602143462",0.656847986852551,1,0.657310255805473,1,0.67858960891212,1
"HES4","0.130069208797049","0.215275413627322","0.103816877398266","3.87341410971521","4.02533878093347","4.34582549618135","3.76390068361637","4.23127909636736","3.90008682885611","3.55644163045693","4.12653724143402","4.4055745946273","4.3321688076564","6.64406809462887","5.22641425638533","2.87153160893663","4.66842883843795","5.25682953548823","5.69741272210116","5.18775145613019","5.03934038194985",0.453490992972331,1,0.783642673602399,1,0.710017201860843,1
"ISG15","0.400049719921482","0.303849531095619","0.538930217010971","3.00801133194468","3.06429986102602","3.01067565313799","2.53938919704261","3.14043286908466","2.83910250194277","2.68612161326599","2.98941190724366","3.48591793317159","1.3018542912012","1.94615520119141","0.889378361322159","0.776276671279172","1.09621777705194","1.54820803647149","1.47759368556051","1.2968059449112","1.19837957666499",0.715241453349546,1,0.849148883241293,1,0.856072188111142,1
"B3GALT6","0.058086183102333","0.051730485668971","0.279522433901997","3.2888577793835","3.05314553121528","3.18225973252572","3.67862057636616","3.20714327593642","3.14349982162516","3.33849011471597","3.13067717410997","3.2384838455658","2.0625710003354","2.36587413187626","1.90535088827732","1.00342029554006","1.83478035247508","2.31690267853842","2.36903687496786","1.98659180936285","1.9127441181599",0.301663244275692,1,0.581492234894536,1,0.775281874519077,1
"PUSL1","0.291986713601687","0.645951916944723","0.279225254012448","3.39686462762915","3.39415942953959","3.41919524122051","4.7469586093087","3.37864401025629","3.42993535453101","3.47493084217576","3.5285453199156","3.19004581206554","0.645176240801014","0.816639712100604","0.519849630709345","0.507763427990074","0.576276846269962","0.680742682235809","0.851796440902704","0.560438858078677","0.681768999402436",0.644184357815584,1,0.935128705796127,1,0.775281874519077,1
"CPTP","0.0457201040511963","0.105924928300221","0.129568054850409","2.99165798756708","2.65412214669341","2.71642352807739","2.61062049980266","2.7722106414956","2.79227907830597","3.07398938685276","2.72966855368063","2.71197598696202","2.2424924590895","2.55721970009972","2.21071763671483","1.1953854582702","2.04621110871521","2.5700001711146","2.49043804371189","2.24846978767921","2.13239617918723",0.271079636087857,1,0.67781672749943,1,0.714380674028675,1
"AURKAIP1","0.0174027211542688","0.289948334376385","0.803350963791423","3.23361227269925","3.13258496010773","2.94975513415889","2.54099252032513","3.06003958982854","3.13467555736573","3.17566829844871","3.12041054251979","3.01219043655136","7.28266942409688","8.51027635540876","5.60232124703235","3.98128246531691","6.15094280459234","7.49566819407298","7.81144997111198","6.53220783770537","6.28457162567569",0.172136545276564,1,0.840056751790495,1,0.932876159951027,1
"MRPL20-AS1","0.0804375180384281","0.0895349701997521","0.265580300440549","3.65116315520158","3.77459181329065","3.81512428398687","4.60285832261199","3.77518448246882","3.69835007561613","3.67543422873859","3.73414058523389","3.92398047245367","0.958796860335224","0.934630676891582","0.708129094884335","0.672890267815801","0.739317841549915","0.966737269693116","0.933655907239198","0.885521021027049","0.650030392510149",0.356616762852082,1,0.65517614369895,1,0.764946982481489,1
"MRPL20","0.0234528928793323","0.0271905939852828","0.640076877844374","3.20193007419332","3.29607645148973","3.00924083121886","2.62662976212974","3.16908992891852","3.13840190990089","3.18633705648025","3.16088593320376","3.13716414427285","4.50494520153291","6.28263832200747","3.12531074517808","3.86166924078773","3.49167259713444","5.58432786346977","5.56582634236983","4.26594758232747","3.51328619219803",0.19800440141091,1,0.507240281241293,1,0.888847913743963,1
