"Gene_Symbols","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"FAM41C","0.58241754872142","0.239122759774141","7.4400344520289e-06","0.182853741621213","0.131528164232783","0.199699865436999",1.10438827190555e-05,0.125900262997233
"NOC2L","2.64328674405105","4.04553995480059","9.28436373732002e-23","0.162686289628936","1.93351787004297","-3.55357596965543",4.91891055613429e-22,1.57110003162929e-18
"KLHL17","1.32950136396746","0.951464577775809","6.44468548855556e-06","0.14685282325401","0.923900025216184","0.227362235579336",9.6043124471455e-06,0.109056967837337
"HES4","3.96508414421846","5.25563317385843","1.94823253627425e-14","0.284943832001779","-3.85512958544291","-3.572066060084",5.53804652760505e-14,3.29679909788329e-10
"ISG15","3.00983796864704","1.53209200879149","2.06018759194299e-07","0.427256834454357","0.20127678114247","-1.51881321457764",3.44083048074016e-07,0.00348624944308593
"AGRN","2.74826222658374","0.551919458837928","0.268232645498815","0.0453908419573612","0.21153231823135","-0.509773643284569",0.278896026244605,1
"C1orf159","6.26783842275482","5.83375569319852","6.31311458656439e-22","0.18706916003657","-0.0895264599749071","5.83306870359766",3.14207426570125e-21,1.06830525033843e-17
"TNFRSF18","2.70931895750374","0.159729348781387","0.0409265400685745","0.111310296732081","0.0669164439384166","-0.145036734632171",0.0451826011900064,1
"TNFRSF4","3.01339570108104","0.186339341019567","0.000980953414280108","0.152326367992761","0.0238227579671429","-0.184810243802786",0.00123106598015782,1
"SDF4","2.66086617895569","4.02439438475274","2.18920419244647e-10","0.110765355861179","1.86097426690687","-3.56826637766014",4.57072342314364e-10,3.70457133445792e-06
"B3GALT6","3.18715563015629","2.15295944660518","4.22363838460962e-42","0.299795892219758","-0.0980613036317641","-2.15072507760906",1.32848343391011e-40,7.1472408744364e-38
"C1QTNF12","3.3536301589297","0.00340908239055417","0.996669535168059","0.00411320599437465","-0.000717448919672182","-0.00333273308160851",0.996787344805786,1
"UBE2J2","1.94223520369813","1.7991761287237","2.45045129930009e-08","0.0726639620111483","1.67648322076515","-0.65302278112032",4.39496946335518e-08,0.000414665368867561
"SCNN1D","0.851723647886216","0.990888968139837","0.00245132588131082","0.105065253023398","0.745561573070403","0.652685902974789",0.0029789110638091,1
"ACAP3","0.594817081099231","4.55337977692225","0.0449624001538534","0.0574920245705411","2.55151942058701","3.77134141112307",0.0494832033951293,1
"PUSL1","3.39545015177046","0.712083532968844","1.02992926956233e-16","0.213495915888946","-0.178832435708566","-0.689261864507194",3.47042275976379e-16,1.74284630995337e-12
"INTS11","1.43357391982558","3.94944920641439","7.96005687084206e-14","0.123837676060119","3.91232347522357","0.540253698980226",2.1645521833262e-13,1.34700082368389e-09
"CPTP","2.84142860896159","2.33945364959838","6.90016907771429e-38","0.293304025143269","0.691722450773879","-2.2348519927983",1.3593092099311e-36,1.16764661133081e-33
"DVL1","2.61772011264695","4.01512962960896","1.05266176562957e-26","0.162899690769228","2.0085166775836","-3.47665452675878",7.52561994000151e-26,1.78131423979836e-22
"MXRA8","6.24367872007466","0.0265088799336831","0.477345478193346","0.0514214671413371","-0.00104700296934122","0.0264881954863032",0.488074935467541,1
"AURKAIP1","3.18787423491636","7.75276174509734","1.78034153030021e-28","0.368213940366792","-0.358681992643933","-7.74446007830099",1.47753503559295e-27,3.01269393757402e-24
"CCNL2","0.228879524678629","2.00980189265412","0.00397097631107437","0.0389922994560852","0.455996739225552","1.95738872519787",0.0047445358424063,1
"MRPL20-AS1","3.7073077058241","0.94945907405394","6.50550979350218e-30","0.331610240533171","-0.508928676932799","-0.801538604871154",6.07539937779492e-29,1.10086236725644e-25
"MRPL20","3.23646887081112","5.20566813360643","4.59707626291431e-20","0.220889206117228","-0.49315346970002","-5.18225630131975",1.9804410519612e-19,7.7791724521036e-16
"ANKRD65","3.23657284495651","3.55030887064807","1.63063926996799e-30","0.439417867740803","-0.336702237526224","-3.53430681750287",1.60615120642598e-29,2.75936777263983e-26
"VWA1","2.12179873125199","0.308540643550554","0.001109966791451","0.124275292831511","0.2628766745321","-0.161533843851791",0.00138711011335454,1
"ATAD3C","1.00444681112091","0.591756595175416","4.10830514752342e-09","0.243153121874442","0.49936284460009","0.317510027190493",7.81922615075822e-09,6.95207397063913e-05
"ATAD3B","5.97287644726549","1.73493762455082","7.61287431286082e-05","0.104729625207466","-0.529767991308755","1.65207579622326",0.000104109470763076,1
"ATAD3A","4.61819988032051","0.776263612050337","0.000403375331854739","0.0619296657884058","-0.772822812040627","-0.0730075104564864",0.000522458275212085,1
"TMEM240","3.21769157545907","4.50577461297072","4.72503055141149e-19","0.189456551787168","-0.342553742644633","-4.49273433404331",1.89202477498782e-18,7.99569669909852e-15
"SSU72","2.88592828207615","16.2626385879757","7.53400187158061e-52","0.299502590244957","4.11263006403236","-15.7340296109908",1.13830696134721e-49,1.27490379670887e-47
"FNDC10","3.0478842448411","3.11109974878576","3.90599948437103e-15","0.238658340697428","0.291109718058564","-3.09745004462488",1.16882976612779e-14,6.60973232745266e-11
"MIB2","1.2363132487041","2.0985504544585","0.00793885083593667","0.0611556368294558","1.98224906409526","0.688914114967507",0.0092540630878088,1
"MMP23B","1.39832149839054","0.0915341717542343","0.208200616982824","0.0555269832776574","0.0901760839905527","0.0157091844111159",0.218382869930165,1
"CDK11B","5.32821804657221","1.62548435868512","1.14766025077943e-05","0.120591374360245","-1.32687447734373","0.938937442912873",1.67665602725456e-05,0.194207067636895
"SLC35E2B","0.458095388909967","1.44941204917139","0.0126793469950324","0.0588046911591047","0.640988957547777","1.29997247839522",0.0145503804319774,1
"CDK11A","6.09667001225806","2.03604917838095","2.0682426480376e-06","0.169183421970816","-0.377556326964162","2.0007367334947",3.20003676420337e-06,0.0349988020900923
"SLC35E2A","5.57550077167136","0.530907039148044","0.694692365117986","0.0174188967560403","-0.345129959013704","0.403419875078238",0.703001088537649,1
"NADK","2.75339154086257","1.18352993000166","1.44173460769535e-11","0.0789913307113578","0.447994475815563","-1.09546521845674",3.29867942555715e-11,2.43970330314207e-07
"GNB1","3.24583320405279","39.0508360043294","3.08061521345944e-43","0.166643026780557","-4.06331258006949","-38.8388630563985",1.1259216121417e-41,5.21301706421606e-39
"CALML6","0.785630229763854","0.0739196817644114","0.0309196421632645","0.114115555040611","0.0522812367332111","0.0522569769293804",0.0344497092893575,1
"TMEM52","0.791307938969416","0.100504443569707","0.0118096885655741","0.109270876540458","0.071486122344886","0.0706461427775667",0.0135818642046109,1
"CFAP74","6.12276671242875","2.00711353045858","5.25314632906864e-09","0.109161978229212","-0.320599136075115","1.98134321057655",9.90901150156053e-09,8.88937421804995e-05
"GABRD","3.16844078961607","20.7302191574626","2.25331657355959e-47","0.305124934327968","-0.556500881787066","-20.7227482030015",1.41749528095819e-45,3.81306230577754e-43
"PRKCZ","2.33819974337075","2.92109823432338","0.0311385612851079","0.0326616052812416","2.10236061287946","-2.02802730454506",0.0346822045722764,1
"FAAP20","3.6506435663458","1.54951045249429","4.47339591827959e-11","0.12916600253444","-0.755151930165881","-1.35304405129907",9.86560741940925e-11,7.56988057291272e-07
"SKI","0.152733648787777","4.83251188321809","6.47695692644079e-06","0.0964639069769444","0.735220888229445","4.77625599679866",9.6515555749587e-06,0.109603065109231
