"Gene_Symbols","p_val","BHQ","Bonf"
"AURKAIP1",0.931964447949199,0.999732466999525,1
"MRPL20-AS1",0.910539530802977,0.999732466999525,1
"MRPL20",0.312941213294971,0.999732466999525,1
"ANKRD65",0.3476975194878,0.999732466999525,1
"SSU72",0.999585459039407,0.999732466999525,1
"TPRG1L",0.697209812645847,0.999732466999525,1
"SMIM1",0.567393940026522,0.999732466999525,1
"RPL22",0.761111376289348,0.999732466999525,1
"PARK7",0.925206916844964,0.999732466999525,1
"FBXO2",0.927146774234562,0.999732466999525,1
"BX284668.5",0.92368188830141,0.999732466999525,1
"MICOS10",0.636646674108791,0.999732466999525,1
"UBXN10-AS1",0.60167122331842,0.999732466999525,1
"PINK1",0.743205498189782,0.999732466999525,1
"SH2D5",0.0627523301572628,0.999732466999525,1
"RPL11",0.489343857823308,0.999732466999525,1
"PITHD1",0.703378928549847,0.999732466999525,1
"PNRC2",0.421712947355715,0.999732466999525,1
"SYF2",0.969833024433744,0.999732466999525,1
"STMN1",0.968550936664628,0.999732466999525,1
"ZNF593",0.847881889818712,0.999732466999525,1
"HMGN2",0.676249871979471,0.999732466999525,1
"NUDC",0.798520130683772,0.999732466999525,1
"TRNP1",0.922657841781696,0.999732466999525,1
"RPA2",0.941360710102735,0.999732466999525,1
"DNAJC8",0.745913984647243,0.999732466999525,1
"ATP5IF1",0.852484155326887,0.999732466999525,1
"FABP3",0.38984742143019,0.999732466999525,1
"HCRTR1",0.868910855578119,0.999732466999525,1
"PEF1",0.915455685740727,0.999732466999525,1
"CCDC28B",0.0685531529650031,0.999732466999525,1
"EIF3I",0.411866424555801,0.999732466999525,1
"TMEM54",0.73320333125049,0.999732466999525,1
"C1orf216",0.590734893071464,0.999732466999525,1
"LSM10",0.750426703852851,0.999732466999525,1
"C1orf122",0.437924830821448,0.999732466999525,1
"NDUFS5",0.917756195767169,0.999732466999525,1
"CAP1",0.627524649438381,0.999732466999525,1
"PPT1",0.497837277979749,0.999732466999525,1
"PPCS",0.334325168173999,0.999732466999525,1
"SVBP",0.772849444574577,0.999732466999525,1
"EBNA1BP2",0.756263527374289,0.999732466999525,1
"RPS8",0.647748205826944,0.999732466999525,1
"UROD",0.0480223090422933,0.999732466999525,1
"PRDX1",0.960641489451757,0.999732466999525,1
"UQCRH",0.557063562035983,0.999732466999525,1
"BEND5",0.574571952813683,0.999732466999525,1
"KTI12",0.301519799769592,0.999732466999525,1
