ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Circular_Error,Modified_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Model_Output_Magnitude,Modified_Model_Output_Magnitude,Phases_MA
GSM1841564,1.1315182447433472,0.3396618366241455,2.04682993888855,0.8704886436462402,1.8525017499923706,0.5479265451431274,0.6496130228042603,0.2500457763671875,1.611378788948059,1.095609426498413,2.1952221393585205,0.5955353082772197
GSM1841565,2.0841245651245117,0.11660554260015488,3.2215287685394287,-1.5820263624191284,2.806321620941162,2.467595100402832,0.9290413856506348,1.2623307704925537,1.475459337234497,0.8926147818565369,3.3977315425872803,5.926114295075641
GSM1841567,0.7585366368293762,1.6082462072372437,3.433272123336792,2.4920177459716797,2.3616106510162354,2.9604063034057617,2.559626817703247,1.4659755229949951,3.2720046043395996,1.242824912071228,3.9311115741729736,0.9685169161911906
GSM1841568,4.928018633519308,0.036404941231012344,3.0648298263549805,0.6557586193084717,-2.99385404586792,2.131760835647583,0.7357668876647949,1.0086209774017334,1.6596050262451172,1.2991533279418945,3.534919500350952,3.082220226680845
GSM1841569,1.2535218000411987,1.2394499778747559,2.830380916595459,0.8830174207687378,2.6891143321990967,1.6751469373703003,1.8382244110107422,0.7546746134757996,2.78515625,1.0506253242492676,2.968994140625,0.4735317529793681
GSM1841572,2.088387966156006,0.18035003542900085,0.6043986082077026,-0.2990496754646301,0.5252304077148438,0.0782502293586731,0.07185725122690201,0.04007752984762192,0.48630353808403015,0.8925734758377075,0.45445284247398376,5.921850894044147
GSM1841573,1.0817736387252808,0.2273789942264557,2.586261749267578,1.2149311304092407,2.2831320762634277,1.258113145828247,0.7239127159118652,0.5785443186759949,1.626085638999939,1.1147561073303223,2.793792724609375,0.6452799142952861
GSM1841574,2.537266492843628,0.29473361372947693,1.0112189054489136,-0.8321170806884766,0.5745823383331299,6.293179467320442e-5,0.2983139455318451,3.594751615310088e-5,1.0655115842819214,0.9155405163764954,0.9289430975914001,5.472972367356525
GSM1841575,2.9513912200927734,0.07325491309165955,3.230283737182617,-3.1720292568206787,0.6107068061828613,2.4870822429656982,1.0161699056625366,1.4737658500671387,1.4887741804122925,0.9545547962188721,3.6661267280578613,5.05884764010738
GSM1841577,4.264931265507833,0.12817755341529846,3.3876562118530273,-1.4657540321350098,-3.0541415214538574,2.8504509925842285,0.9137457013130188,1.302320122718811,1.7235658168792725,1.1111900806427002,3.6378014087677,3.7453075946923198
