MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,-0.6568878,0.22966702,-0.40327606,-0.069454335,0.17844208
Error,0.44194177,0.43225253,0.2862832,-0.38662052,0.055818524
Magnitude,-0.0036491218,-0.07248845,0.17336394,0.07644665,0.044443686
ProjectionX,0.021589898,0.7347755,0.4861337,-0.050544538,-0.4698492
ProjectionY,0.7136397,-0.43157998,0.38417676,0.11393582,-0.3793203
Circular_Error,0.0047356808,-0.03255302,0.18533108,0.08788765,0.057004835
Modified_Error,0.4117558,0.34194946,0.33357355,-0.3066877,0.06985983
Out_of_Plane_Reconstruction_Error,0.014678377,-0.091363326,0.16644014,0.090815485,0.057704378
Input_Magnitude,0.32029843,0.5031745,0.33480936,-0.28041422,-0.029874286
Model_Output_Magnitude,-0.3275028,0.8031401,0.20094974,-0.12309926,-0.20868182
Modified_Model_Output_Magnitude,-0.064885505,0.056912526,0.19411777,0.053483527,-0.001695172
