MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,0.36508757,0.18929113,-0.48359752,-0.28530344,0.27927125
Error,-0.1065728,0.030564962,-0.14041066,0.064068265,-0.00764555
Magnitude,-0.0008676366,0.17495704,-0.038433336,0.087307066,-0.13049409
ProjectionX,0.111289494,0.87907964,0.33725646,0.20729214,-0.055296075
ProjectionY,-0.4836475,-0.32138926,0.69856966,0.30149937,-0.28475672
Inner_Error,-0.12007509,0.028318796,-0.12578203,0.07361618,0.004390907
Circular_Error,0.044803906,-0.18364869,0.02998299,0.02055383,0.011326364
Modified_Inner_Error,-0.1266103,0.051677715,-0.13133256,0.0676272,0.0071760435
Modified_Error,-0.11267763,0.049227897,-0.14739008,0.055654924,-0.0012301574
Out_of_Plane_Error,0.041678727,-0.18439233,0.035447553,0.022094637,0.010024337
Out_of_Plane_Reconstruction_Error,0.028671427,-0.18156205,0.01719371,0.031698685,-0.024882967
Input_Magnitude,-0.09914542,-0.25137147,-0.19015995,0.011287364,-0.082454324
Dense_Input_Magnitude,-0.05354417,-0.67420423,-0.3082241,0.013632132,0.013292896
Decoding_Dense_Output_Magnitude,-0.12702389,-0.7841188,-0.3417879,-0.17587169,-0.014319311
Model_Output_Magnitude,-0.10224706,-0.7238498,-0.1952403,-0.16019732,0.017416034
Modified_Decoding_Dense_Output_Magnitude,-0.11478284,-0.78718895,-0.3529545,-0.16368705,-0.032635756
Modified_Model_Output_Magnitude,-0.0683773,-0.44544354,-0.1568033,-0.05891017,-0.06688632
