Gene_Symbols,Sine_Coefficient,Cosine_Coefficient,Weighted_Average,Fit_Average,Fit_Average_1,Amplitude,Amplitude_Ratio,Offset_Plus_Minus_Amplitude_Ratio,Acrophase,F_Statistic,P_Statistic,BHQ_Statistic,Bonferroni_Statistic,R_Squared
NOC2L,-1.3891765984489697,-0.8205344549533098,-154.69867822557717,28.714816540162115,-5.557984689870889,1.613408941788713,-0.010429364751495073,0.979356568375148,4.178863616398229,2.722207776128884,0.06771000351365497,0.11608966612935366,1.0,0.08908010628600815
KLHL17,-0.008153492473991048,1.057685444842818,9.347394781416398,7.27968903197185,0.06265774998316767,1.057716871223993,0.11315632814897743,1.255188894594686,6.275476653334996,1.8016990001639774,0.16718891921021894,0.2486731241074353,1.0,0.07085728227222865
HES4,-5.615780950735697,-5.344487499133362,57.33821489230934,20.327071890955022,1.1215497879198275,7.75245395439655,0.13520570825159,1.312688715782885,3.9517382095826834,18.716098456522598,2.714992641816849e-8,2.0524173485820848e-7,0.00038072341816197675,0.33532712404688936
ISG15,-1.0865374169363669,-1.535013963201154,-29.458789107822867,5.527698879506838,-1.0601966056766579,1.8806465445758982,-0.06383991336821401,0.8799821052660244,3.7575580256364836,2.1340529624104905,0.12054267827254528,0.18882595815637873,1.0,0.07134807852368386
AGRN,-0.7187864301916974,-0.5995980593861263,-168.43490960793554,16.720957772492966,-5.610783860012985,0.936040471906708,-0.00555728307205152,0.9889468592876705,4.01715058783615,1.029983253769379,0.35854729004425057,0.4602242956845467,1.0,0.11323483121205669
C1orf159,-0.048925348433597436,6.0667102750916895,-45.21880915112399,30.05948057839837,-2.2811602948340113,6.066907552585784,-0.13416778695586193,0.7634075160678438,6.275120922100713,11.758107839615837,1.3276251522365001e-5,5.6177693149705616e-5,0.1861728750981244,0.2601932416259193
SDF4,-0.7022473358874044,-2.2639532885612295,-111.6383308150755,36.502341650313895,-4.489111286829984,2.3703661771017916,-0.021232547636601713,0.9584178007531403,3.4423682978169863,1.2543411561374518,0.28708168448337035,0.38629878727969363,1.0,0.0849854441306771
B3GALT6,-1.3114121527623455,-2.1268287603337725,-57.552582372839396,8.44974986419773,-2.00007067384961,2.498640112180156,-0.043414908752371306,0.916783039252749,3.6941319526250993,12.511423783311832,6.687934070104262e-6,3.0204476478284082e-5,0.09378489946507207,0.31079108798704635
UBE2J2,0.12425301587474938,1.056688740008527,-160.183399196202,27.039619783842333,-5.673424817577101,1.0639689399671304,-0.006642192295244771,0.9868032706236961,0.11704965180038882,0.7577130651111391,0.46982793466999606,0.5668901331851106,1.0,0.18049594474876185
SCNN1D,-0.17176848613899257,1.8687564152868434,-29.1593860495301,9.93693367200153,-1.1847369612585354,1.876633942063879,-0.06435780022515669,0.8790673583421997,6.191526923431011,3.9605737125874,0.02027948529058099,0.04059660560025941,1.0,0.10010888427794895
ACAP3,-6.688886556232932,5.611056448154726,-602.7127306990617,76.77398318208864,-20.590506481246983,8.730702023693878,-0.014485677137709528,0.9714423230132145,5.410381541304531,2.60762614317834,0.07574600419956234,0.12758993596281834,1.0,0.18713675852183487
PUSL1,-0.6034314153691276,-1.0658119638558357,-4.875882547712791,3.771816705271177,-0.26205149251466536,1.2247794149774978,-0.2511913285425681,0.5984765514077458,3.6567661007278063,9.928478620776987,7.133628616740051e-5,0.0002578883065030826,1.0,0.27467988955044664
INTS11,1.4117989802466733,2.194975053892815,42.71167088294328,32.470110334860685,0.3103503196388656,2.609806860255623,0.061102897786605624,1.1301588803342968,0.5715771491445201,3.069487011570486,0.04822813542477877,0.08658342632974941,1.0,0.06519031844458734
