GENE_SYMBOLS,refseq_ids
SYNC,NM_001161708
YBX1,NM_004559
PLXNA2,NM_025179
STEAP3,NM_001008410
ENTPD3-AS1,NR_040100
CDCP1,NM_022842
MANF,NM_006010
SUCLG2-AS1,NA
ECT2,NM_001258315
KCNMB2,NM_001278911
PIGX,NM_001166304
SGCB,NM_000232
FGF2,NM_001361665
CYSTM1,NM_032412
OPRM1,NM_000914
ABCB4,NM_000443
SGCE,NM_001099400
MGAM,NM_001365693
CLEC5A,NM_001301167
SLC4A2,NM_001199692
ADHFE1,NM_144650
CBWD3,NA
ENO4,NM_001242699
WNT5B,NM_030775
CLEC1A,NM_001297748
ARHGAP9,NM_001080156
RNASEH2B-AS1,NR_046552
RAB27A,NM_004580
ADAMTS17,NM_139057
STAT5A,NM_001288718
RTTN,NM_001318520
ZNF420,NM_001329515
DIAPH2-AS1,NR_125391
