GENE_SYMBOLS,refseq_ids
RPL10A,NM_007104
SRSF3,NM_003017
PPIL1,NM_016059
TOMM6,NM_001134493
TBCC,NM_003192
C6orf226,NM_001008739
MEA1,NM_001318942
MRPL2,NM_001300848
DNPH1,NM_006443
LRRC73,NM_001012974
MRPS18A,NM_001193343
MRPL14,NM_001318767
COX7A2,NM_001366292
PNRC1,NM_006813
NDUFAF4,NM_014165
GTF3C6,NM_138408
CALHM6,NM_001010919
RPS12,NM_001016
ABRACL,NM_021243
SF3B5,NM_031287
VIP,NM_003381
MAS1,NM_001366704
C6orf120,NM_001029863
ZFAND2A,NM_001365381
PSMG3,NM_001134340
NUDT1,NM_001367553
NDUFA4,NM_002489
TOMM7,NM_019059
CYCS,NM_018947
MRPS24,NM_032014
SNHG15,NR_003697
SEC61G,NM_001012456
MRPS17,NM_015969
CHCHD2,NM_001320327
NUPR2,NM_001145712
EIF4H,NM_022170
MDH2,NM_001282403
TMEM60,NM_032936
TAC1,NM_003182
PDAP1,NM_014891
BUD31,NM_001370407
ATP5MF,NM_001003713
LAMTOR4,NM_001008395
POP7,NM_005837
AP1S1,NM_001283
ZNHIT1,NM_006349
FIS1,NM_016068
POLR2J,NM_001371100
RASA4B,NM_001277335
GPR22,NM_005295
THAP5,NM_001130475
DNAJB9,NM_012328
FAM3C,NM_001040020
NDUFA5,NM_001282419
ARF5,NM_001662
FAM71F2,NA
ATP6V1F,NM_001198909
SMO,NM_005631
SMKR1,NM_001195243
BPGM,NM_001293085
FMC1,NM_197964
KDM7A-DT,NR_024451
NDUFB2,NM_004546
MRPS33,NM_016071
TRBC2,NA
ATP6V0E2,NM_001100592
CDK5,NM_001164410
PRKAG2-AS1,NR_038926
HTR5A-AS1,NR_038945
NEIL2,NM_001135746
R3HCC1,NM_001136108
AF106564.1,NA
NEFL,NM_006158
PNOC,NM_001284244
SARAF,NM_001284239
DCTN6,NM_006571
STAR,NM_000349
LSM1,NM_014462
TM2D2,NM_001024380
TCIM,NM_020130
UBE2V2,NM_003350
YTHDF3-AS1,NA
CRH,NM_000756
RRS1,NM_015169
SNHG6,NR_002599
RPL7,NM_000971
ELOC,NM_001204857
FABP5,NM_001444
OTUD6B-AS1,NR_110438
UQCRB,NM_001199975
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
AARD,NM_001025357
LY6D,NM_003695
LY6E,NM_001127213
EXOSC4,NM_019037
CYC1,NM_001916
MFSD3,NM_138431
RPL8,NM_000973
RPS6,NM_001010
TUSC1,NM_001004125
BAG1,NM_001172415
CHMP5,NM_001195536
RPP25L,NM_148178
DCTN3,NM_001281425
STOML2,NM_001287031
CCDC107,NM_001195200
HINT2,NM_032593
TOMM5,NM_001001790
ISCA1,NM_030940
SEC61B,NM_006808
NAMA,NR_102270
MRPL50,NM_019051
TXN,NM_001244938
GNG10,NM_001017998
POLE3,NM_001278255
ATP6V1G1,NM_004888
RAB14,NM_016322
NDUFA8,NM_001318195
RPL35,NM_007209
ARPC5L,NM_030978
RPL12,NM_000976
DPM2,NM_001378436
C9orf16,NA
SET,NM_001122821
ENDOG,NM_004435
SURF6,NM_001278942
RPL7A,NM_000972
SURF2,NM_001278928
TMEM141,NM_032928
PHPT1,NM_001135860
EDF1,NM_001281297
SSNA1,NM_003731
TMEM203,NM_053045
IDI1,NM_001317955
NEBL-AS1,NR_046283
GAD2,NM_000818
FRMPD2,NM_001017929
FAM241B,NM_145306
PCBD1,NM_000281
UNC5B-AS1,NR_038453
CHCHD1,NM_203298
VDAC2,NM_001184783
RPS24,NM_001026
PPIF,NM_005729
SNCG,NM_001330120
PGAM1,NM_001317079
GOT1,NM_002079
BLOC1S2,NM_001001342
NDUFB8,NM_001284367
MRPL43,NM_001308396
NPM3,NM_006993
NOLC1,NM_001284388
FBXL15,NM_001387294
CUEDC2,NM_024040
ATP5MD,NA
GSTO1,NM_001191002
HABP2,NM_001177660
FUOM,NM_001098483
HRAS,NM_001130442
RPLP2,NM_001004
POLR2L,NM_021128
TSSC4,NM_001297658
PHLDA2,NM_003311
TRIM68,NM_001304496
CAVIN3,NM_145040
ARFIP2,NM_001242854
TIMM10B,NM_012192
MRPL17,NM_022061
RPL27A,NM_000990
NRIP3,NM_020645
RPS13,NM_001017
LDHA,NM_001135239
CD59,NM_000611
PSMC3,NM_002804
NDUFS3,NM_004551
TIMM10,NM_012456
UBE2L6,NM_004223
SELENOH,NM_001321335
TKFC,NM_001351976
TMEM258,NM_014206
FTH1,NM_002032
EEF1G,NM_001404
UQCC3,NM_001085372
UBXN1,NM_001286077
GNG3,NM_012202
COX8A,NM_004074
OTUB1,NM_017670
FKBP2,NM_001135208
BAD,NM_004322
TRMT112,NM_001286082
PRDX5,NM_001358511
ARL2,NM_001199745
SAC3D1,NM_001367485
CDCA5,NM_080668
