GENE_SYMBOLS,refseq_ids
MOAP1,NM_022151
DCTN1,NM_001135040
FITM2,NM_001080472
GDE1,NM_001324066
PSMD8,NM_002812
KCTD17,NM_001282684
HNRNPA0,NM_006805
JPT1,NM_001002032
MEPCE,NM_001194990
PRAF2,NM_007213
ATP1A1,NM_000701
EIF1,NM_005801
C4orf3,NM_001001701
ARPC5L,NM_030978
POLR2E,NM_001316323
ZMAT2,NM_144723
IGIP,NM_001007189
IMP4,NM_001320304
FXYD6,NM_001164831
ACTG1,NM_001199954
KLC2,NM_001134774
LRRC59,NM_018509
L1CAM,NM_000425
SSU72,NM_014188
SLC39A7,NM_001077516
CHST1,NM_003654
CHRNB2,NM_000748
PLK2,NM_001252226
BAD,NM_004322
HSBP1,NM_001537
MRPL49,NM_004927
POP7,NM_005837
TOMM40L,NM_001286373
ATXN7L3B,NM_001136262
SKP1,NM_006930
INTS5,NM_030628
FAM171A2,NM_198475
SVOP,NM_018711
FASN,NM_004104
RSL24D1,NM_016304
MRPL35,NM_001363782
VDAC1,NM_001401008
GPRIN1,NM_052899
YWHAG,NM_012479
MAGEF1,NM_022149
GPR27,NM_018971
TMEM115,NM_007024
IRF2BP1,NM_015649
CANX,NM_001024649
GRWD1,NM_031485
ARMCX6,NM_001009584
ENO2,NM_001975
CALM1,NM_001166106
RRS1,NM_015169
STUB1,NM_001293197
SLC22A17,NM_001289050
ENC1,NM_001256574
SNU13,NM_001003796
IER5,NM_016545
ARL1,NM_001177
PNMA6A,NM_032882
TIMP2,NM_003255
ODC1,NM_001287188
ZDHHC23,NM_001320466
SNAPC5,NM_001329613
B3GALT6,NM_080605
AMPD2,NM_001257361
MAP1LC3B,NM_022818
EFNA3,NM_004952
VXN,NM_152765
BCL2L2,NM_001199839
SAC3D1,NM_001367485
UBE2S,NM_014501
CSTF2T,NM_015235
RANBP6,NM_001243202
PTGES2,NM_001256335
NAT14,NM_020378
UBE2L6,NM_004223
EEF1G,NM_001404
NUDT11,NM_018159
STK16,NM_001008910
SNX17,NM_001267059
ITM2C,NM_001012514
FUT1,NM_000148
PSPN,NM_004158
SLC12A5,NM_001134771
UBE2M,NM_003969
MRPS34,NM_001300900
MBOAT7,NM_001146056
ELK1,NM_001114123
FAM217B,NM_001190826
PRKAR1A,NM_001276289
