GENE_SYMBOLS,refseq_ids
TMEM141,NM_032928
COX7A1,NM_001864
SELENOH,NM_001321335
ATOX1,NM_004045
CHCHD2,NM_001320327
OTUD6B-AS1,NR_110438
POLR2K,NM_005034
SEC61B,NM_006808
NEDD8,NM_006156
RSL24D1,NM_016304
C18orf32,NM_001035005
SDHAF1,NM_001042631
TMEM160,NM_017854
DDT,NM_001084392
UQCR10,NM_001003684
LAGE3,NM_006014
CHCHD1,NM_203298
POLR2I,NM_006233
ATP5IF1,NM_016311
LAMTOR5,NM_001382293
MTLN,NM_001355251
LSM2,NM_021177
COX7A2,NM_001366292
RPLP2,NM_001004
COX14,NM_001257133
SELENOW,NM_003009
RPS19BP1,NM_194326
TCEAL8,NM_001006684
LAMTOR2,NM_001145264
BRK1,NM_018462
LSM3,NM_014463
NCBP2AS2,NM_001355243
NDUFS6,NM_004553
TOMM6,NM_001134493
MRPS24,NM_032014
ATP5MF,NM_001003713
BAG1,NM_001172415
FAU,NM_001997
ATP5MPL,NA
LSM7,NM_016199
C19orf53,NM_014047
NDUFA5,NM_001282419
GLRX2,NM_001243399
TMEM126A,NM_001244735
NDUFA6,NM_002490
SPCS1,NM_014041
TIMM8B,NM_012459
ATP5F1E,NM_006886
UQCRQ,NM_014402
SNAPC5,NM_001329613
RILP,NM_031430
MRPS12,NM_021107
SELENOM,NM_080430
RPL29,NM_000992
COA8,NM_001302652
RND2,NM_005440
CHCHD10,NM_001301339
RPL36A,NM_001199972
MRPL46,NM_022163
RPL41,NM_001035267
PDRG1,NM_030815
NDUFB2,NM_004546
RPS8,NM_001012
ATP5MD,NA
RPS15A,NM_001019
RPL11,NM_000975
UQCRH,NM_001297565
SNRPE,NM_001304464
TMSB10,NM_021103
TMA7,NM_001329417
COX17,NM_001382002
RPL22L1,NM_001099645
MRPL47,NM_020409
MRPL36,NM_032479
COX6C,NM_004374
RPS13,NM_001017
TRIAP1,NM_016399
GCHFR,NM_005258
EMC6,NM_001014764
SNRPD1,NM_001291916
NDUFA7,NM_005001
RPL18A,NM_000980
TMSB4X,NM_021109
BEX4,NM_001080425
UQCRB,NM_001199975
MYL6B,NM_001199629
MRPL57,NM_024026
SNRNP25,NM_024571
COA3,NM_001040431
POMP,NM_015932
ATP5MC1,NM_001002027
COX4I1,NM_001318786
TCEAL7,NM_001348258
PFDN6,NM_001185181
ANAPC15,NM_001278485
PCP4L1,NM_001102566
RNF5,NM_006913
MRPL52,NM_001318870
ELOB,NM_007108
UQCC3,NM_001085372
HAX1,NM_001018837
VBP1,NM_001303543
RPS2,NM_002952
MRPS33,NM_016071
RPL12,NM_000976
MESP1,NM_018670
NDUFA13,NM_015965
SMIM26,NM_001348957
BTF3,NM_001037637
ELOC,NM_001204857
RNF181,NM_016494
NUDT1,NM_001367553
SEC61G,NM_001012456
TOMM5,NM_001001790
TXN,NM_001244938
MRPL51,NM_016497
ISCA2,NM_001272007
IFI27L2,NM_032036
RPL17,NM_000985
UQCR11,NM_006830
UBL5,NM_001048241
PFDN4,NM_002623
RANBP1,NM_001278639
HEIH,NR_045680
CYCS,NM_018947
UBXN10-AS1,NA
RPS14,NM_001025070
NME1,NM_000269
FAM174C,NM_017914
CORT,NM_001302
NDUFS5,NM_001184979
MZT2B,NM_001330282
SUMO1,NM_001005781
EEF1B2,NM_001037663
COPS9,NM_001163424
RPL35A,NM_000996
H2AFZ,NA
SNHG8,NR_003584
DNPH1,NM_006443
RPL35,NM_007209
C9orf16,NA
IDI1,NM_001317955
GMPR2,NM_001002000
HDDC3,NM_001286451
NDUFB10,NM_004548
RARA-AS1,NR_110861
RPS28,NM_001031
COX6B1,NM_001863
ATP5PF,NM_001003696
MRPL21,NM_181512
MRPL54,NM_172251
LSM4,NM_001252129
RPL39,NM_001000
PPIL1,NM_016059
NDUFB3,NM_001257102
RPL9,NM_000661
SNHG29,NM_152350
WDR64,NM_001367482
CTXN2,NM_001145668
SERTAD4-AS1,NR_024337
COX7C,NM_001867
RPS24,NM_001026
CENPX,NM_001271006
PRADC1,NM_032319
NME2,NM_001018137
NDUFA1,NM_004541
COX5B,NM_001862
RPL21,NM_000982
HBQ1,NM_005331
PHPT1,NM_001135860
NDUFC1,NM_001184986
FIS1,NM_016068
LSM1,NM_014462
C12orf57,NM_001301834
TCEAL5,NM_001012979
PSMB10,NM_002801
TOMM7,NM_019059
RPS27A,NM_001135592
ZNF622,NM_033414
NDUFA4,NM_002489
ISCU,NM_001301140
CIAO2B,NM_016062
COX7B,NM_001866
NHP2,NM_001034833
SNHG15,NR_003697
SERF2,NM_001018108
RPS15,NM_001018
TGFBR3L,NM_001195259
RPL36AL,NM_001001
ANAPC11,NM_001002244
LSM10,NM_032881
OST4,NM_001134693
MORN2,NM_001145450
PRELID1,NM_001271828
PDAP1,NM_014891
SET,NM_001122821
ATP5ME,NM_007100
MRFAP1,NM_001272053
MRPS17,NM_015969
HINT2,NM_032593
RPL10,NM_001256577
ABRACL,NM_021243
TXNDC17,NM_032731
POP4,NM_006627
DUSP28,NM_001033575
RPS3A,NM_001006
COX8A,NM_004074
NPB,NM_148896
MRPS26,NM_030811
RPL18,NM_000979
NDUFB5,NM_001199957
MRPL40,NM_001318151
ATP5PO,NM_001697
NOP10,NM_018648
RPL26,NM_000987
POLE3,NM_001278255
RPL19,NM_000981
SMDT1,NM_033318
TSR2,NM_001346789
MRPS23,NM_016070
GADD45GIP1,NM_052850
LAMTOR4,NM_001008395
CALHM6,NM_001010919
PRDX5,NM_001358511
