GENE_SYMBOLS,refseq_ids
BCAP31,NM_001139441
ATP6AP1,NM_001183
TPRG1L,NM_182752
TMEM203,NM_053045
CDIPT,NM_001286585
TGOLN2,NM_001206840
THY1,NM_001311160
LRRC47,NM_020710
LY6E,NM_001127213
RETREG2,NM_001321109
ETV5,NM_004454
PSAP,NM_001042465
UBL4A,NM_014235
NEU1,NM_000434
TBCC,NM_003192
OAZ2,NM_001301302
TUSC2,NM_007275
COPS7A,NM_001164093
AP2M1,NM_001025205
SPRYD3,NM_032840
MANBAL,NM_001003897
TMEM109,NM_024092
PGAM1,NM_001317079
RTL6,NM_032287
ATP6V0E2,NM_001100592
TMEM246,NA
EGLN2,NM_017555
SULT4A1,NM_014351
B4GAT1,NM_006876
C1orf216,NM_001348691
ATG9A,NM_001077198
CDKN2AIPNL,NM_080656
SNN,NM_003498
KLHDC3,NM_001242872
SCN2B,NM_004588
USP5,NM_001098536
PNMA8A,NM_001103149
PARD6A,NM_001037281
RAB1B,NM_030981
YWHAH,NM_003405
GRINA,NM_000837
POLE3,NM_001278255
SPRY4-AS1,NR_120664
FAM89B,NM_001098784
SRRD,NM_001013694
MIEF1,NM_001304564
NSG1,NM_001040101
SARAF,NM_001284239
RAN,NM_001300796
ATP6V0D1,NM_004691
LAMTOR1,NM_017907
PDXP,NM_020315
PITHD1,NM_020362
ZPR1,NM_001317086
ABCF2,NM_007189
FRMD6,NM_001042481
COPZ1,NM_001271734
CREB3,NM_006368
GSK3A,NM_019884
BRK1,NM_018462
OTUB1,NM_017670
RAB6B,NM_001363953
TM2D2,NM_001024380
NR2F6,NM_005234
PHF23,NM_001284517
PEF1,NM_001359651
ATP6V1B2,NM_001693
NOLC1,NM_001284388
BORCS6,NM_017622
DEXI,NM_014015
TIMM17A,NM_006335
DUSP26,NM_001305115
MRFAP1,NM_001272053
SNX17,NM_001267059
AP1S1,NM_001283
AGPAT1,NM_001371437
PNMA1,NM_006029
MTCH1,NM_001271641
MEF2D,NM_001271629
WBP2,NM_001330499
SEPHS2,NM_012248
STOML2,NM_001287031
MRPS2,NM_001371401
EI24,NM_001007277
ATP6AP2,NM_005765
DCTN1,NM_001135040
SUPT4H1,NM_003168
THAP5,NM_001130475
CD59,NM_000611
KBTBD11,NM_014867
MOAP1,NM_022151
NFE2L1,NM_001330261
FAM32A,NM_014077
CCDC85B,NM_006848
GLRX5,NM_016417
VPS18,NM_020857
NCBP2,NM_001042540
RRAGA,NM_006570
TWF2,NM_007284
B4GALT3,NM_001199873
PKM,NM_001206796
DHCR24,NM_014762
NDUFB5,NM_001199957
MRPS17,NM_015969
PEG13,NR_144431
UBXN6,NM_001171091
SRXN1,NM_080725
CCDC106,NM_001370467
JPT1,NM_001002032
ARL6IP5,NM_006407
PIP4P1,NM_001100814
TOMM22,NM_020243
TMED9,NM_017510
EIF1,NM_005801
SF3A1,NM_001005409
ARCN1,NM_001142281
FARSA,NM_004461
CTSB,NM_001317237
HSBP1,NM_001537
GDE1,NM_001324066
EPN1,NM_001130071
RNF5,NM_006913
RSL24D1,NM_016304
HMGA1,NM_001319077
NOP9,NM_001286367
STMN3,NM_001276310
RNF26,NM_032015
SNAPC5,NM_001329613
LRRC59,NM_018509
CALM3,NM_001329921
ARF3,NM_001412914
VDAC1,NM_001401008
C6orf120,NM_001029863
CD2BP2,NM_001243646
RSL1D1,NM_015659
FAIM2,NM_012306
ARFIP2,NM_001242854
DYNLL2,NM_080677
MAGEH1,NM_014061
ICMT,NM_012405
MFN2,NM_001127660
DIRAS1,NM_145173
CELSR2,NM_001408
COA3,NM_001040431
C4orf3,NM_001001701
MRPL49,NM_004927
TOR1A,NM_000113
MRPL35,NM_001363782
MAGEF1,NM_022149
SSU72,NM_014188
HCCS,NM_001122608
IMP4,NM_001320304
MRPS23,NM_016070
TMEM35A,NM_021637
NRN1,NM_001278710
PRAF2,NM_007213
OAZ1,NM_001301020
PNMA8C,NM_001386793
FEN1,NM_004111
SHISA4,NM_198149
PNMA8B,NM_020709
ADO,NM_032804
ANKRD34A,NM_001039888
NAT8L,NM_178557
TMED2,NM_001321445
EIF3I,NM_001394168
AHCY,NM_000687
C22orf39,NM_001166242
ATP6V0C,NM_001198569
ZBTB22,NM_001145338
RANBP6,NM_001243202
GNAZ,NM_002073
RAB3A,NM_002866
PPT1,NM_000310
MANEAL,NM_001031740
TOMM20,NM_014765
SERINC1,NM_020755
TAF13,NM_005645
VSTM2L,NM_080607
PHYHIP,NM_001099335
SRSF9,NM_003769
GOT1,NM_002079
TMEM167B,NM_001322248
ENO2,NM_001975
NT5C3B,NM_052935
BEX4,NM_001080425
ISCA1,NM_030940
VBP1,NM_001303543
VXN,NM_152765
PEX19,NM_001131039
CDK5R2,NM_003936
ASNSD1,NM_001353497
MMGT1,NM_001330000
SET,NM_001122821
ZMAT2,NM_144723
MZT1,NM_001071775
AMIGO1,NM_020703
ACLY,NM_001096
CDV3,NM_001134422
CAMKV,NM_001320147
REEP5,NM_005669
VPS4A,NM_013245
MYADM,NM_001020818
LAMTOR5,NM_001382293
MFSD5,NM_001170790
RTN4,NM_001321859
ILF2,NM_001267809
BCL7B,NM_001197244
HPCAL4,NM_001282396
SSTR3,NM_001051
TXN2,NM_012473
HNRNPA0,NM_006805
PELI3,NM_001098510
SERINC3,NM_006811
CDKN2D,NM_001800
NORAD,NR_027451
TUSC1,NM_001004125
LRP8,NM_001018054
TMEM121,NM_001331238
PELO,NM_015946
UBE2V2,NM_003350
C11orf68,NM_001135635
DNAJC14,NM_001394687
GET3,NM_001371488
GABARAPL1,NM_001363598
NUDT16,NM_001171905
KCTD17,NM_001282684
PCYOX1,NM_016297
NSG2,NM_015980
SPOCK2,NM_001134434
NEFL,NM_006158
ATP1A3,NM_001256213
ITM2C,NM_001012514
MAP7D1,NM_001286365
PINK1,NM_032409
WSB2,NM_001278557
BTBD6,NM_001387567
SNX12,NM_001256185
PDE10A,NM_001130690
MRPS18A,NM_001193343
ATP6V1D,NM_015994
GZF1,NM_001317012
PPP1R11,NM_021959
ARHGDIA,NM_001185077
DDN,NM_015086
GABARAP,NM_007278
RIMS3,NM_014747
YIPF3,NM_015388
ODC1,NM_001287188
MAF1,NM_032272
TPI1,NM_000365
NGRN,NM_001033088
ATP1A1,NM_000701
SELENOW,NM_003009
ERP29,NM_001034025
C1orf115,NM_024709
SKP1,NM_006930
PYGO2,NM_138300
APLP2,NM_001142276
TOLLIP,NM_001318512
ADCK2,NM_052853
MAP1LC3B,NM_022818
MPI,NM_001289155
SAC3D1,NM_001367485
DDX54,NM_001111322
MSL3,NM_001193270
BPGM,NM_001293085
FKBP1B,NM_001322963
FXYD6,NM_001164831
PDHB,NM_000925
KLC2,NM_001134774
ALDH1B1,NM_000692
MRPS12,NM_021107
ISCU,NM_001301140
CYCS,NM_018947
ELOC,NM_001204857
SLC25A4,NM_001151
IRF2BP1,NM_015649
EFNA3,NM_004952
C2CD2L,NM_001290474
PSPN,NM_004158
TOMM40L,NM_001286373
MAPK3,NM_001040056
FAM131B,NM_001031690
LSM4,NM_001252129
PER2,NM_003894
SNRNP25,NM_024571
CSTF2T,NM_015235
SSR2,NM_003145
TMEM183A,NM_001322955
GRPEL1,NM_025196
PRELID1,NM_001271828
NUDT15,NM_001304745
MAL2,NM_052886
DNAJB9,NM_012328
PSMD8,NM_002812
ACTG1,NM_001199954
RITA1,NM_001286215
NUCB1,NM_006184
SNU13,NM_001003796
ENC1,NM_001256574
EIF4G2,NM_001042559
GMPR2,NM_001002000
MOCS3,NM_014484
ATP6V1E1,NM_001039366
HNRNPUL2,NM_001079559
WBP11,NM_016312
KCNJ11,NM_000525
DMTN,NM_001114135
PSMD2,NM_001278708
NICN1,NM_032316
POP7,NM_005837
INTS5,NM_030628
NEIL2,NM_001135746
TCEAL8,NM_001006684
GHITM,NM_014394
RNF187,NM_001010858
NECAP1,NM_015509
SUB1,NM_006713
TCEAL7,NM_001348258
DUSP3,NM_004090
CANX,NM_001024649
CCDC184,NM_001013635
PIANP,NM_001244014
MEPCE,NM_001194990
MPP1,NM_001166460
AAMP,NM_001087
PRKAR1A,NM_001276289
NAP1L5,NM_153757
STUB1,NM_001293197
BLOC1S2,NM_001001342
COQ10B,NM_001320818
BAIAP2-DT,NM_001004336
ATG101,NM_001098673
ATXN7L3B,NM_001136262
ARL1,NM_001177
C20orf27,NA
RRAGC,NM_001271851
GRWD1,NM_031485
SALL2,NM_001291446
C3orf80,NM_001168214
SPATA2L,NM_152339
EEF2,NM_001961
EEF1AKNMT,NA
KBTBD6,NM_152903
C18orf32,NM_001035005
IGIP,NM_001007189
STRAP,NM_007178
POLR2E,NM_001316323
MRPS7,NM_015971
EIF1B,NM_005875
EIF4H,NM_022170
CALM1,NM_001166106
SYT4,NM_020783
RGS4,NM_001102445
KCTD2,NM_015353
TMEM130,NM_001134450
GSPT2,NM_018094
NARS,NA
SLC25A6,NM_001636
CDK5R1,NM_003885
MSANTD3,NM_001198805
OIP5-AS1,NR_026757
ATP5PB,NM_001002014
CEND1,NM_016564
UBE2M,NM_003969
OPRL1,NM_000913
SYT11,NM_152280
COPS8,NM_006710
HAPLN4,NM_023002
CNIH2,NM_182553
PPIF,NM_005729
SMKR1,NM_001195243
ABT1,NM_013375
YWHAG,NM_012479
FAM217B,NM_001190826
HEY1,NM_001040708
SLC12A5,NM_001134771
GPR162,NM_014449
COMMD8,NM_001329668
C9orf78,NM_016520
TMEM59L,NM_012109
RRS1,NM_015169
VPS35,NM_018206
UBE2S,NM_014501
SPRED2,NM_001128210
BCL2L2,NM_001199839
H2AFX,NA
SYT13,NM_001247987
KCNJ9,NM_004983
L1CAM,NM_000425
RAB5IF,NM_001199534
ABRACL,NM_021243
ERH,NM_004450
GABRD,NM_000815
LGI3,NM_139278
SPRED3,NM_001039616
SRP9,NM_001130440
DKK3,NM_001018057
YRDC,NM_024640
SCG5,NM_001144757
B3GALT6,NM_080605
GOT2,NM_001286220
BAD,NM_004322
SELENOM,NM_080430
TMEM250,NM_001256526
PRPS1,NM_001204402
RPP25,NM_017793
PFN2,NM_002628
SLC35C1,NM_001145265
PLEKHB2,NM_001031706
CHST2,NM_004267
JAGN1,NM_001363890
PDK2,NM_001199898
C16orf91,NA
TMEM271,NM_001362796
RBM15B,NM_013286
CHMP4B,NM_176812
SYNGR3,NM_004209
ARMCX3,NM_016607
KBTBD4,NM_001318716
POLR3K,NM_016310
ABHD14A,NM_015407
TMEM60,NM_032936
ATP6V1G2,NM_001204078
FNDC4,NM_022823
CREG2,NM_153836
CCT6A,NM_001009186
TSR2,NM_001346789
PYURF,NM_032906
FNDC5,NM_001171940
ATP6V1G1,NM_004888
ARL2,NM_001199745
CCDC115,NM_001321118
TTPAL,NM_001039199
FJX1,NM_014344
FLRT1,NM_001384466
CNDP2,NM_001168499
POLR2K,NM_005034
PTPRN,NM_001199763
PRNP,NM_000311
AIP,NM_001302959
PGK1,NM_000291
TOMM6,NM_001134493
SPRY4,NM_001127496
TRIAP1,NM_016399
SLC25A5,NM_001152
NPM3,NM_006993
PLEKHJ1,NM_001300836
FAM174C,NM_017914
CALM2,NM_001305624
MRPL17,NM_022061
GTF2F1,NM_002096
KEAP1,NM_012289
NAT14,NM_020378
STOML1,NM_001256672
SRPRA,NM_001177842
NSF,NM_006178
FITM2,NM_001080472
RTL5,NM_001024455
NDUFA5,NM_001282419
SEZ6L2,NM_001114099
RNASEK,NM_001004333
DBNDD1,NM_001042610
POLR3H,NM_001018050
SSTR1,NM_001049
LGALSL,NM_014181
RPL15,NM_001253379
BRD3OS,NM_001355256
TMEM160,NM_017854
HEIH,NR_045680
MLLT11,NM_006818
NBL1,NM_001204084
SMIM29,NM_001008703
ARHGDIG,NM_001176
SELENOT,NM_016275
NCDN,NM_001014839
MRPS34,NM_001300900
MAGEE1,NM_020932
LDOC1,NM_012317
SELENOH,NM_001321335
TINF2,NM_001099274
VPS25,NM_032353
POP4,NM_006627
EFNB3,NM_001406
MDH2,NM_001282403
SPCS1,NM_014041
ENO1,NM_001201483
G3BP2,NM_001400004
GPX4,NM_001039847
FBXL15,NM_001387294
IDH3B,NM_001258384
ARF6,NM_001663
HIGD1A,NM_001099668
B4GALT7,NM_007255
TMEM141,NM_032928
PTGES2,NM_001256335
MCRIP1,NM_001093767
ATP6V1F,NM_001198909
CHRNB2,NM_000748
EIF4A2,NM_001967
HNRNPA1,NM_002136
TMEM115,NM_007024
PDAP1,NM_014891
ARL4C,NM_001282431
UQCC3,NM_001085372
SVIP,NM_001320340
BYSL,NM_004053
RNF6,NM_005977
SLC8A3,NM_001130417
SUMO2,NM_001005849
