"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"IRF1 (human)",0.811290611105797,0.605077519379845,0.126539227689459,"['HCP5']",0.999993514387119,0,0,1,"IRF1",0.999993514387119,1.31500130600979e-07,2.67115078022939e-05,0.980129487229629,0.980495797519752,0.114476956800087,0.929425322078489,0.536126412524215
"ELF3 (human)",0.815264261471473,0.903094246084486,0.18445065199799,"['HCP5', 'RPL34', 'ADRA1D', 'TSPAN11', 'SNAPC5', 'ADAMTS2', 'TMEM147', 'TUBB3', 'ENC1', 'TIMP2', 'RPL38', 'SH3BGRL3', 'MAF1', 'PHLDA2', 'NUDT14', 'SKP1', 'HSP90AA1', 'LAG3', 'SLC30A2', 'SPNS3', 'OR2H2', 'TINF2', 'ZBTB32', 'FOS', 'PRSS55', 'DYNLL2', 'TMC4', 'TUBA4A', 'RHOB', 'LENG1', 'EPN3', 'CEACAM1', 'VGF', 'MYADM', 'AURKAIP1', 'SLC25A11', 'ISCU', 'CD63', 'ZNF593', 'COX17', 'CEND1', 'CRIP2', 'THY1', 'UQCR10', 'TIMM10', 'ARPP19', 'CYP2C18', 'TMEM71', 'HSD11B2', 'SNN', 'LDHA', 'TMEM203', 'C14ORF180', 'NPC1L1', 'PGK1', 'CCL2', 'CD59', 'POLR2I', 'MBNL3', 'ISOC2', 'CACNG5', 'AOC3', 'MOAP1', 'RASL10A', 'LAMB3', 'TRPA1', 'RBPMS', 'HMGA1', 'RPL35A', 'NR2F6', 'SELL', 'P4HA3', 'NDUFAF3', 'SDC1', 'CMTM2', 'FGFR4', 'SLC24A5', 'FAM50B']",0.999993514387119,0,0,78,"ELF3",0.999993514387119,0.000653422087378021,0.0076326534586458,0.8179679281116,0.816045214171736,0.0873275237895321,0.494773714298147,0.899855909201371
"RORB (mouse)",0.815899362263996,0.869188331306572,0.176848762527101,"['CDKN1A', 'BTG1', 'SRXN1', 'TTC29', 'TCEAL7', 'TPO', 'PLN', 'NEUROD6', 'RPS18', 'PEG10', 'RFK', 'DCDC2B', 'GNRHR', 'NUDT18', 'NUDT15', 'CCT7', 'FZD1', 'DUSP1', 'NDUFA3', 'MRPL49', 'GPR3', 'SELE', 'MANF', 'SELL', 'PLSCR2', 'CR1L', 'NEURL3', 'BHLHE40', 'LY6D', 'CALM3', 'VDAC1', 'FAU', 'PPEF1', 'EIF1B', 'CALM2', 'ITM2A', 'EIF4G2', 'ARF6']",0.999993514387119,0,0,38,"RORB",0.999993514387119,0.0405578320648132,0.00235504321570302,NA,NA,NA,0.462710462658775,0.681354915194986
"NR5A1 (human)",0.81741054009144,0.898346865249694,0.181119137150724,"['EIF4A2', 'SCOC', 'POP7', 'SRXN1', 'ZBTB22', 'TMEM141', 'RGS4', 'LSM10', 'SCGN', 'HINT1', 'CALB1', 'RPS18', 'SEPHS2', 'TMSB10', 'YWHAH', 'CD52', 'RPL21', 'ATP6AP2', 'H2AFX', 'MRPL49', 'SHISA4', 'NDUFC1', 'KMO', 'TUBA4A', 'ZPBP', 'RAB33A', 'CREB3', 'DUSP23', 'CEACAM1', 'TMEM215', 'C3ORF22', 'CD63', 'CEBPB', 'FKBP2', 'KCNE1', 'RNASEK', 'HHLA2', 'RAB1B', 'RPL36A', 'MRPL17', 'WDR64', 'GLYAT', 'SLC5A3', 'DEDD2', 'ACMSD', 'HSD11B2', 'CAMK2N2', 'PCBP1', 'DNAJB4', 'SEC14L4', 'LONRF3', 'SCAND1', 'CGA', 'NPTX2', 'ATP6V1F', 'GABRQ', 'DNAH11', 'RSPH4A', 'ANKRD34C', 'RASL10A', 'C9ORF153', 'CCK', 'HCRTR1', 'RPS27', 'UBE2S', 'GPR183', 'CYCS', 'KLRD1', 'PTPN7', 'GRINA', 'ZNF695']",0.999993514387119,0,0,71,"NR5A1",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"GABPA (human)",0.81861730771546,0.719608605495075,0.144021438759798,"['RPS14', 'ATP6V1G1', 'TMEM208', 'PDYN', 'TMC4']",0.999993514387119,0,0,5,"GABPA",0.999993514387119,5.61375016283755e-11,5.45513006953692e-08,0.775505242912945,0.773221987783756,0.119639596650001,0.534466914775872,0.770244094674918
"NR2F1 (mouse)",0.819074713715297,0.867484703378558,0.17313257433078,"['CDKN1A', 'BTG1', 'SRXN1', 'TTC29', 'TCEAL7', 'TPO', 'PLN', 'NEUROD6', 'RPS18', 'PEG10', 'RFK', 'DCDC2B', 'GNRHR', 'NUDT18', 'NUDT15', 'CCT7', 'FZD1', 'DUSP1', 'NDUFA3', 'MRPL49', 'GPR3', 'SELE', 'MANF', 'SELL', 'PLSCR2', 'CR1L', 'NEURL3', 'BHLHE40', 'LY6D', 'CALM3', 'VDAC1', 'FAU', 'PPEF1', 'EIF1B', 'CALM2', 'ITM2A', 'EIF4G2', 'ARF6']",0.999993514387119,0,0,38,"NR2F1",0.999993514387119,2.36829195028082e-12,1.89956222377634e-11,0.780071013835838,0.778218747377347,0.255006908811754,0.851310042395179,0.991001603545627
"PITX1 (human)",0.819765255826005,0.902819414977137,0.179423850569604,"['C17ORF78', 'COX7B', 'RPL3', 'COX6A1', 'ALKBH7', 'TOMM20', 'AQP3', 'PSMD8', 'SPRED2', 'CAPNS1', 'MFSD5', 'ARHGDIA', 'SPDYE2', 'C9ORF16', 'RPL35', 'NEK2', 'ATP6V1E1', 'RAG2', 'SEPHS2', 'RPL39', 'RPS10', 'YWHAG', 'COX8A', 'EIF5A', 'ATP6AP1', 'GPX4', 'FKBPL', 'MIA', 'EIF1AX', 'TINF2', 'NME2', 'DYNLL1', 'KCTD4', 'TUBA4A', 'COX6B1', 'GCHFR', 'UFC1', 'RPL24', 'MMP19', 'MASP2', 'RHOV', 'RPL29', 'ALDOA', 'PPEF1', 'UBA52', 'PPEF2', 'ATF3', 'OTUB1', 'PRR13', 'SET', 'HVCN1', 'GPR87', 'RPL11', 'SLC3A1', 'TMEM160', 'COX7A2', 'DLL3', 'RPS15A', 'UBB', 'SERTAD1', 'AP2S1', 'RPL13', 'RABAC1', 'RPL17', 'MAPK3', 'GADD45GIP1', 'TM4SF19', 'RSPH4A', 'TAF13', 'F12', 'RPS26', 'RPS27', 'S100Z', 'INTS5', 'CASS4', 'NDUFAF3', 'SDC1', 'FAU', 'SLC28A2', 'GRINA', 'RNF187']",0.999993514387119,0,0,81,"PITX1",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"Myf (human)",0.82035106556459,0.636682863092565,0.126077787953355,"['HCP5', 'CKB']",0.999993514387119,0,0,2,"Myf",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"MYOG (human)",0.821125413387462,0.897972975241856,0.176971997023908,"['RTL1', 'ST6GALNAC1', 'MEA1', 'RPL8', 'LCTL', 'ABCC12', 'ACTG1', 'SCGN', 'GPR132', 'SPDYE1', 'BANF1', 'DUSP2', 'MRPS24', 'TSTD1', 'OR2H2', 'OMD', 'NDUFC1', 'FOS', 'PTP4A1', 'RCN1', 'NDUFS6', 'CLDN9', 'PPDPF', 'MYADM', 'CRH', 'ALDOC', 'RPL26', 'CTXN3', 'RPP25', 'DCTPP1', 'SMTNL1', 'SHC4', 'PELI3', 'HVCN1', 'NDUFB3', 'COX5B', 'PHYHIP', 'GABARAP', 'ART4', 'TCEAL7', 'CXORF40A', 'SCUBE3', 'CCDC85B', 'C14ORF180', 'PGK1', 'HMOX1', 'CD59', 'NCDN', 'ATP6V0E2', 'RPL18', 'RPL19', 'NTRK1', 'AOC3', 'BTNL8', 'TRAPPC1', 'GADD45B', 'NEK5', 'RNF26', 'LY86', 'NR2F6', 'MANF', 'MLLT11', 'TMEM155', 'NR4A1', 'RPS27', 'TMEM54', 'OGN', 'NDUFAF3', 'PTPN7', 'ALLC', 'RAN', 'YPEL3', 'RPS23']",0.999993514387119,0,0,73,"MYOG",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
"CEBPE (human)",0.821378678001966,0.732555123216602,0.144145630459794,"['SPR', 'GPX4', 'VGF', 'TUBB', 'MAGEF1', 'RPL13']",0.999993514387119,0,0,6,"CEBPE",0.999993514387119,NA,NA,NA,NA,NA,NA,NA
