"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100000135","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","2'-deoxyinosine","2'-deoxyinosine",58569,"HMDB0000071",135398593,"C05512","0.999073641610472","0.0878013757947829","0.301654339260164","0.0848314833748366","0.0738383326827395","0.0475077069336099",0.580708577835979,1
"100000257","Carbohydrate","Aminosugar Metabolism","glucuronate","glucuronate",58552,"HMDB0000127",4.4147823677977e+29,"C16245","2.58078195208783","0.0931759701348214","0.458880083986126","0.0896440317329002","0.0495577729128713","-0.0789036662930273",0.689258149765095,1
"100000258","Lipid","Glycerolipid Metabolism","glycerol 3-phosphate","glycerol 3-phosphate",734,"HMDB0000126",754,"C0093","3.94811957152718","0.0280703980121414","0.711321692085273","0.026372866651377","-0.0202636870244931","-0.0194249899030455",0.826699764164581,1
"100000263","Amino Acid","Histidine Metabolism","imidazole lactate","imidazole lactate",389128,"HMDB0002320",793,"C05568","1.62395357896376","0.123363245773817","0.0981337469117582","0.131007521857866","0.123188993453306","-0.00655456328160578",0.336151124289838,1
"100000265","Amino Acid","Tryptophan Metabolism","kynurenine","kynurenine",141580,"HMDB0000684",161166,"C00328","1.51340447369532","0.389492216548709","1.45263919025217e-07","0.462794908982072","0.388850933039096","0.0223414105788031",5.67255603793472e-05,0.000113451120758694
"100000269","Lipid","Phospholipid Metabolism","glycerophosphorylcholine (GPC)","glycerophosphorylcholine (GPC)",571409,"HMDB0000086",71920,"C00670","1.5833661231697","0.217561282286877","0.000291793074865736","0.211534892017683","0.217544095195708","-0.00273462900426169",0.00990827789000608,0.22789039147014
"100000272","Amino Acid","Glycine, Serine and Threonine Metabolism","allo-threonine","allo-threonine",89699,"HMDB0004041",99289,"C05519","1.20161796854284","0.0563623790282503","0.554338920773358","0.0555709102089323","0.0525649157883005","0.0203383233795961",0.733794401905072,1
"100000275","Carbohydrate","Glycogen Metabolism","maltotetraose","maltotetraose",393830,"HMDB0001296",439639,"C02052","1.0703582132977","0.421233694721372","0.116047773534549","0.394551572158912","0.369578832388925","0.202112127836646",0.362533244521931,1
"100000276","Carbohydrate","Glycogen Metabolism","maltotriose","maltotriose",388669,"HMDB0001262",439586,"C01835","0.93076824161225","0.308250869233222","0.188563085206616","0.303395392601655","0.247241544389279","0.18409295779861",0.463527619699125,1
"100000282","Amino Acid","Glutamate Metabolism","N-acetylglutamate","N-acetylglutamate",1266066,"HMDB0001138",70914,"C00624","5.33197659389375","0.0589094632654444","0.175502947730322","0.0600987798981943","-0.0479592543264646","0.034208694606375",0.442590012837312,1
"100000298","Carbohydrate","Nucleotide Sugar","UDP-galactose","UDP-galactose",17069,"HMDB0000302",18068,"C00052","1.57019134879245","0.165212047596769","0.335507983433852","0.167682799166931","0.165212017363099","9.99496484389768e-05",0.601312342553981,1
"100000299","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","xanthosine","xanthosine",58484,"HMDB0000299",64959,"C01762","5.76786074369047","0.019820487970858","0.851583405921014","0.0202750919622707","-0.009767879135205","0.0172464570449398",0.908588306044142,1
"100000300","Carbohydrate","Fructose, Mannose and Galactose Metabolism","galactose 1-phosphate","galactose 1-phosphate",NA,"HMDB0000645",123912,"C00446","1.06881358198494","0.121918728888166","0.275247176476392","0.127471848587747","0.106877646882827","0.0586629785341303",0.559812616739745,1
"100000406","Carbohydrate","Pentose Metabolism","ribitol","ribitol",10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508",6912,"C00379,C01904,C00474,C00532","5.05336261608096","0.0755917356313823","0.0570277504415146","0.075970126911925","-0.0712398834137415","0.0252782417695796",0.23690783561076,1
"100000409","Xenobiotics","Food Component/Plant","2-isopropylmalate","2-isopropylmalate",76,"HMDB0000402",77,"C02504","3.24386895809475","0.090358146241853","0.214889303307853","0.0890135331979462","-0.00922539401244725","-0.0898859649643881",0.493613370245392,1
