"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100000007","Lipid","Carnitine Metabolism","carnitine","carnitine",10455,"HMDB0000062",288,"C00487,C00308","1.38420454766289","0.129102695951979","0.0214278273105261","0.136852829604428","0.126861757594217","0.0239499595443305",0.125368780682481,1
"100000008","Xenobiotics","Benzoate Metabolism","benzoate","benzoate",238,"HMDB0001870",243,"C00180","5.12221427746259","0.0261874780087173","0.80741707537995","0.0238486447661042","-0.0240189046615308","0.0104343769970873",0.88041027412779,1
"100000014","Xenobiotics","Benzoate Metabolism","hippurate","hippurate",451,"HMDB0000714",464,"C01586","1.17794734521349","0.143284433341623","0.649381480724133","0.112181962461573","0.132369334407452","0.0548524215195491",0.778463426433823,1
"100000039","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","methionine sulfoxide","methionine sulfoxide",139840,"HMDB0002005",158980,"C02989","0.414642627778754","0.0511525621352643","0.527420525520897","0.0543720987496184","0.0206074678614649","0.0468179119711758",0.682339425756408,1
"100000042","Amino Acid","Histidine Metabolism","3-methylhistidine","3-methylhistidine",58494,"HMDB0000479",64969,"C01152","4.50743411475351","0.109269929756445","0.743278023424901","0.0759704114572526","-0.106982928855241","-0.0222389406791986",0.839391224238204,1
"100000043","Xenobiotics","Drug - Analgesics, Anesthetics","4-acetamidophenylglucuronide","4-acetamidophenylglucuronide",3239926,"HMDB0010316",402266183944,NA,"3.18698886770606","0.112222734118213","0.866621249121891","0.0821694494158343","-0.00509273764667308","-0.11210711875804",0.915675282091055,1
"100000054","Amino Acid","Lysine Metabolism","5-hydroxylysine","5-hydroxylysine",1002,"HMDB0000450",3032849,"C16741","4.85847422286841","0.11300691189513","0.0701770474898213","0.100894270554782","-0.11180322034207","0.0164499865415216",0.221338522712555,1
"100000096","Amino Acid","Guanidino and Acetamido Metabolism","4-guanidinobutanoate","4-guanidinobutanoate",486,"HMDB0003464",500,"C01035","3.76434484731751","0.0647121580624798","0.097525740923958","0.0631612745301422","-0.0377448486386187","-0.0525641494019559",0.269152993511521,1
"100000101","Lipid","Fatty Acid, Dicarboxylate","pimelate (C7-DC)","pimelate (C7-DC)",376,"HMDB0000857",385,"C02656","1.91460102717404","0.0406560355131177","0.577506406201044","0.0419042803323191","0.0382768047400528","-0.0137039936710348",0.715268597885653,1
"100000125","Nucleotide","Pyrimidine Metabolism, Cytidine containing","2'-deoxycytidine","2'-deoxycytidine",13117,"HMDB0000014",13711,"C00881","4.44407079246537","0.197557329428018","0.0311611514752142","0.160862875657492","-0.190488357819999","-0.0523744589067062",0.148062683373139,1
"100000135","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","2'-deoxyinosine","2'-deoxyinosine",58569,"HMDB0000071",135398593,"C05512","6.22582193922025","0.0859125078173949","0.231368933412958","0.0825557648634357","-0.0049255284729943","0.0857711966148058",0.405801440258969,1
"100000257","Carbohydrate","Aminosugar Metabolism","glucuronate","glucuronate",58552,"HMDB0000127",4.4147823677977e+29,"C16245","1.92574609591995","0.0819782049710232","0.543155064466954","0.0755134397204139","0.0768680072742734","-0.028490973095936",0.693540017169531,1
"100000258","Lipid","Glycerolipid Metabolism","glycerol 3-phosphate","glycerol 3-phosphate",734,"HMDB0000126",754,"C0093","5.20297044039145","0.0100971756113169","0.943260410448158","0.00998580752763879","-0.00890630522167801","0.00475717170428851",0.966687793191315,1
"100000263","Amino Acid","Histidine Metabolism","imidazole lactate","imidazole lactate",389128,"HMDB0002320",793,"C05568","0.594301874726243","0.146033917504054","0.0623851241093572","0.140904886484867","0.0817688395613634","0.120994883934688",0.211237664359577,1
"100000265","Amino Acid","Tryptophan Metabolism","kynurenine","kynurenine",141580,"HMDB0000684",161166,"C00328","0.965272914924382","0.249256664108552","0.000151968410594631","0.283130258492076","0.204939898081868","0.141875025204287",0.0184399552473299,0.119143233906191
"100000269","Lipid","Phospholipid Metabolism","glycerophosphorylcholine (GPC)","glycerophosphorylcholine (GPC)",571409,"HMDB0000086",71920,"C00670","1.74257255748142","0.153302850992244","0.00140177796538574","0.183189433292249","0.151046647775805","-0.0262044713368162",0.0332335552742119,1
"100000272","Amino Acid","Glycine, Serine and Threonine Metabolism","allo-threonine","allo-threonine",89699,"HMDB0004041",99289,"C05519","1.17395244133017","0.184037673946462","0.000921180777899283","0.213612812764954","0.16973526957409","0.0711322971246905",0.0257930617811799,0.722205729873038
"100000275","Carbohydrate","Glycogen Metabolism","maltotetraose","maltotetraose",393830,"HMDB0001296",439639,"C02052","0.8832242471681","0.326650123004109","0.0985200530159021","0.277983889369309","0.252431687857993","0.207312676466647",0.269152993511521,1
"100000276","Carbohydrate","Glycogen Metabolism","maltotriose","maltotriose",388669,"HMDB0001262",439586,"C01835","0.96044467927155","0.205266766787987","0.386685808692479","0.176328942451438","0.168205137664524","0.117649807525778",0.565112858884027,1
"100000282","Amino Acid","Glutamate Metabolism","N-acetylglutamate","N-acetylglutamate",1266066,"HMDB0001138",70914,"C00624","0.810866575278712","0.034783779949591","0.13700463223924","0.0342950405625867","0.0252142196198663","0.0239615207477055",0.316848471019363,1
"100000298","Carbohydrate","Nucleotide Sugar","UDP-galactose","UDP-galactose",17069,"HMDB0000302",18068,"C00052","0.820523097674316","0.16785209922103","0.114278483811214","0.186050794661391","0.12278424666084","0.114448049283666",0.288084666585183,1
"100000299","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","xanthosine","xanthosine",58484,"HMDB0000299",64959,"C01762","1.93570961097787","0.0217178924297817","0.74410318985402","0.0213227088516424","0.0202878715219762","-0.00775042713012371",0.839391224238204,1
"100000300","Carbohydrate","Fructose, Mannose and Galactose Metabolism","galactose 1-phosphate","galactose 1-phosphate",NA,"HMDB0000645",123912,"C00446","1.00832072773716","0.180546762173628","0.0224650048224366","0.179941457348103","0.152731278804907","0.0962823442070152",0.129504145446987,1
"100000406","Carbohydrate","Pentose Metabolism","ribitol","ribitol",10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508",6912,"C00379,C01904,C00474,C00532","4.09929787066721","0.0362567940876436","0.284134623762328","0.0348074609371","-0.0296534641412894","-0.020862099173742",0.462160881804285,1
"100000409","Xenobiotics","Food Component/Plant","2-isopropylmalate","2-isopropylmalate",76,"HMDB0000402",77,"C02504","2.76685023078674","0.0499068093248562","0.675833083844942","0.0446368695662054","0.0182675311222394","-0.0464433733021792",0.800289448395174,1
"100000442","Xenobiotics","Food Component/Plant","quinate","quinate",10246715,"HMDB0003072",6508,"C00296","4.82082176214126","0.255650114304744","0.336511357530315","0.166956764890849","-0.254148661697332","0.0276665628780258",0.519340362802691,1
"100000445","Xenobiotics","Xanthine Metabolism","theobromine","theobromine",5236,"HMDB0002825",5429,"C07480","5.96721876753317","0.16006409715753","0.727025085866767","0.132176499616084","-0.0497375666524865","0.152140361713599",0.829004520309304,1
"100000454","Amino Acid","Lysine Metabolism","5-aminovalerate","5-aminovalerate",135,"HMDB0003355",138,"C00431","4.78998323312444","0.0251354668657061","0.890717928809991","0.0249456909321529","-0.0250598361592175","0.00194841120664549",0.929857331806968,1
"100000467","Amino Acid","Tryptophan Metabolism","3-indoxyl sulfate","3-indoxyl sulfate",9840,"HMDB0000682",10258,NA,"1.98329953830704","0.302719675201543","0.0876436290058455","0.269285827254862","0.277327593354764","-0.1213614754285",0.255401617819035,1
"100000487","Peptide","Dipeptide","glycylvaline","glycylvaline",2006926,"HMDB0028854",2724807,NA,"0.978636102702496","0.16148360718373","0.158456962844046","0.151465106978715","0.133988903867604","0.0901328410149552",0.335548466885173,1
"100000491","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylphenylalanine","gamma-glutamylphenylalanine",99868,"HMDB0000594",111299,NA,"1.59023323662956","0.118473926781961","0.381612941156582","0.11589789590033","0.118451548148924","-0.00230262204030258",0.560652013583509,1
"100000565","Lipid","Eicosanoid","15-HETE","15-HETE",4444307,"HMDB0003876",9966861,"C04742","0.708788744892859","0.0290894509474021","0.853771080231119","0.0302539659127602","0.0189347519168643","0.0220832816009785",0.908217811263497,1
"100000574","Lipid","Eicosanoid","prostaglandin F2alpha","prostaglandin F2alpha",4444062,"HMDB0001139",5283078,"C00639","5.62094552417195","0.0698789099127553","0.307003885444302","0.0712219621192411","-0.0429674742198482","0.0551076964657537",0.486244537754208,1
"100000580","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",NA,"HMDB0002712",64960,"C07326","3.94880079328174","0.0319960146046304","0.848536385435821","0.0356679611909716","-0.0231126209792802","-0.0221258152854953",0.905105477798209,1
"100000584","Lipid","Monoacylglycerol","2-arachidonoylglycerol (20:4)","2-arachidonoylglycerol (20:4)",4445451,"HMDB0004666",5282280,"C13856","0.476149866822062","0.0789770142755031","0.750031176694135","0.077815965156415","0.0361999605584779","0.0701921052500754",0.841546699720917,1
"100000616","Lipid","Phosphatidylinositol (PI)","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",21403055,"HMDB0009815",NA,NA,"2.30353672132319","0.0362731630226806","0.0266721494021764","0.0366117307331346","0.0269634424718785","-0.0242634524694171",0.136798914497268,1
"100000630","Lipid","Lysophospholipid","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)",7826049,"HMDB0061694",85036846,NA,"6.17288024605669","0.155456381081986","0.0502188214665287","0.150367062988206","-0.017112873648646","0.154511604659951",0.192056370876871,1
"100000639","Lipid","Phosphatidylserine (PS)","1-stearoyl-2-oleoyl-GPS (18:0/18:1)","1-stearoyl-2-oleoyl-GPS (18:0/18:1)",7826037,"HMDB0010163",9547087,NA,"1.24020184710649","0.0617136071767531","0.156495373710948","0.0628463966149673","0.0583717869211548","0.0200325685421988",0.334052592663334,1
"100000641","Lipid","Phosphatidylglycerol (PG)","1-palmitoyl-2-oleoyl-GPG (16:0/18:1)","1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",4446626,NA,70789105,NA,"1.81540716371499","0.0493955313633942","0.0448860471808445","0.050716025741205","0.0479251076737699","-0.0119625487722988",0.181181065102711,1
"100000652","Lipid","Phosphatidylglycerol (PG)","1,2-dipalmitoyl-GPG (16:0/16:0)","1,2-dipalmitoyl-GPG (16:0/16:0)",10020701,"HMDB0010570",11846227,NA,"2.32375721279676","0.0272515767096615","0.761433134946594","0.026289697193317","0.0198845873923521","-0.0186346885511532",0.84675684794061,1
"100000656","Lipid","Lysophospholipid","1-stearoyl-GPI (18:0)","1-stearoyl-GPI (18:0)",21403067,"HMDB0240261",7158113542607495,NA,"0.165124919342464","0.073607380839856","0.458406042390615","0.0698450316869572","0.0120992538892819","0.0726061606850707",0.622860203178929,1
"100000657","Lipid","Phosphatidylcholine (PC)","1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",398235,"HMDB0000564",452110,"D03585","3.02788308706883","0.0335113238960261","0.252980532038468","0.0333704669506334","0.00380235175358767","-0.033294908776063",0.431166819822085,1
"100000660","Lipid","Phosphatidylcholine (PC)","1,2-distearoyl-GPC (18:0/18:0)","1,2-distearoyl-GPC (18:0/18:0)",85004,"HMDB0008036",94190,NA,"3.10746286630495","0.172063821697252","0.00795455595224165","0.153256807925095","0.00587136161054629","-0.171963617808831",0.0691635086886605,1
"100000665","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)",393183,"HMDB0002183",445580,"C06429","5.93475285500614","0.15301589492576","0.200089221378483","0.129529861422277","-0.0522434328162381","0.143821027070127",0.372612706795085,1
"100000672","Lipid","Phosphatidylcholine (PC)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",114798,"HMDB0007869",129657,NA,"2.01045064843339","0.0440632884779452","0.0339016247423359","0.0444652872349966","0.0398728189483018","-0.0187545114734178",0.156346316458773,1
"100000707","Lipid","Fatty Acid, Dicarboxylate","maleate","maleate",392248,"HMDB0000176",444266,"C01384","0.497652627505067","0.0380133736781258","0.193973233033832","0.0401152500650066","0.0181462239612461","0.0334025617930889",0.368220374572698,1
"100000715","Amino Acid","Guanidino and Acetamido Metabolism","1-methylguanidine","1-methylguanidine",28576,"HMDB0001522",10111,"C02294","0.821985641907802","0.0308282225467102","0.71712506507926","0.0298183741362507","0.0225816432503683","0.0209868695498539",0.823482444789832,1
"100000773","Lipid","Fatty Acid, Monohydroxy","3-hydroxyoctanoate","3-hydroxyoctanoate",24791,"HMDB0001954",26613,"C20793","1.75071061427604","0.0598110918704139","0.287190685953396","0.0576854614330816","0.0588456830850527","-0.0107029104912932",0.465700715150208,1
"100000774","Amino Acid","Phenylalanine Metabolism","phenyllactate (PLA)","phenyllactate (PLA)",3715,"HMDB0000779,HMDB0000563",3848,"C05607","0.022449015837733","0.121290773873307","0.463279950814027","0.122678792404434","0.00272262980821955","0.121260212409978",0.626226692134823,1
"100000776","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","palmitoylcarnitine (C16)","palmitoylcarnitine (C16)",448,"HMDB0000222",461,"C02990","1.38902593271809","0.198611949244062","0.000401339591580507","0.199466085867539","0.195339856751004","0.0359032971608876",0.0185088376352422,0.314650239799117
"100000781","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","hexanoylcarnitine (C6)","hexanoylcarnitine (C6)",4932273,"HMDB0000756",6426853,NA,"1.03390336576897","0.11384008903512","0.175161818372692","0.109195640754927","0.0978230138353947","0.0582256286843187",0.349476320471789,1
"100000787","Amino Acid","Alanine and Aspartate Metabolism","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)",58576,"HMDB0000812",65065,"C01042","1.59365271062977","0.0217498061726326","0.54952288657243","0.0221914590509831","0.0217441252152691","-0.000497078635414748",0.693761583047963,1
"100000802","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)","acetylcarnitine (C2)","acetylcarnitine (C2)",5406074,"HMDB0000201",7045767,"C02571","0.877464435256635","0.125819334530471","0.0017379792936769","0.128302265365419","0.0967702754178262","0.0804115584804113",0.0332335552742119,1
"100000808","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","cysteine s-sulfate","cysteine s-sulfate",102939,"HMDB0000731",115015,"C05824","4.44535908006734","0.15956148925307","0.0798866498727311","0.14229806299209","-0.1539064486862","-0.0421031341524531",0.241819048263402,1
"100000827","Lipid","Monoacylglycerol","1-palmitoylglycerol (16:0)","1-palmitoylglycerol (16:0)",14201,"HMDB0011564",14900,NA,"0.19505675362626","0.142137715458485","0.0614206151042421","0.134756843183551","0.0275494465130438","0.139442311199228",0.211237664359577,1
"100000840","Xenobiotics","Food Component/Plant","tartronate (hydroxymalonate)","tartronate (hydroxymalonate)",44,"HMDB0035227",45,"C02287","2.16828144847128","0.0797842069109826","0.224230466282072","0.0865716316967535","0.0659618332593539","-0.0448838080545721",0.398631940057017,1
"100000841","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","oxalate (ethanedioate)","oxalate (ethanedioate)",946,"HMDB0002329",971,"C00209","3.71775414133968","0.0615881499021463","0.119620910017041","0.0598327402235002","-0.0335537866875198","-0.0516453638509563",0.293716120406914,1
