ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Inner_Error,Circular_Error,Modified_Inner_Error,Modified_Error,Out_of_Plane_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Dense_Input_Magnitude,Decoding_Dense_Output_Magnitude,Model_Output_Magnitude,Modified_Decoding_Dense_Output_Magnitude,Modified_Model_Output_Magnitude,Covariate_D,Covariate_D_1,Phases_MA
21402016,3.446475092564718,0.14164388179779053,1.132560133934021,-1.0803290605545044,-0.3399730622768402,0.16704079508781433,0.008786097168922424,0.16389571130275726,0.13908544182777405,0.0027730646543204784,0.0035016846377402544,1.5848971605300903,1.420324683189392,0.9974843263626099,1.1569926738739014,1.1125465631484985,1.2695149183273315,cond_0,cond_1,5.715132802982479
20610726,4.531863514577047,0.04257747903466225,1.4926962852478027,-0.2680084705352783,-1.4684391021728516,0.04257747903466225,0.12137481570243835,0.01346829067915678,0.01346829254180193,0.03719445317983627,0.03719445317983627,1.554534912109375,1.5137852430343628,1.1067417860031128,1.1539884805679321,1.5374199151992798,1.5832031965255737,cond_0,cond_0,4.62974438097015
68914513,1.2329694032669067,0.15566757321357727,0.9552927017211914,0.3166199326515198,0.901296854019165,0.15566757321357727,0.000999370706267655,0.1553744077682495,0.1553744077682495,0.0003134062862955034,0.0003134062862955034,1.0748547315597534,1.0887808799743652,0.6717610955238342,0.6542761921882629,0.6325802803039551,0.616045355796814,cond_0,cond_0,1.6454531851007048
50500550,0.6762837171554565,0.23979707062244415,0.5788195729255676,0.4514237642288208,0.3622826039791107,0.23979707062244415,0.08869647979736328,0.21626949310302734,0.21626949310302734,0.02878197655081749,0.02878197468817234,1.2021334171295166,1.1639726161956787,0.7703118324279785,0.7977401614189148,0.41199928522109985,0.45694535970687866,cond_0,cond_0,2.202138871212155
20726273,5.642551068459646,0.1901906579732895,0.13977882266044617,0.11206303536891937,-0.08354637026786804,0.19019067287445068,0.3699902296066284,0.10038711130619049,0.1003870964050293,0.10213236510753632,0.10213235765695572,0.8209236860275269,0.7699505090713501,0.9821716547012329,1.0579739809036255,0.31779277324676514,0.3892706334590912,cond_0,cond_0,3.5190568270875517
23004922,1.0354112386703491,0.09483237564563751,1.0659492015838623,0.5438176989555359,0.9167933464050293,0.09483237564563751,0.0021746493875980377,0.09343661367893219,0.09343661367893219,0.0006971213733777404,0.0006971213733777404,1.0335830450057983,1.0444258451461792,0.7050254344940186,0.7045446634292603,0.7631601691246033,0.7612317800521851,cond_0,cond_0,1.8430113496972624
10202345,2.090491771697998,0.17760764062404633,1.2901076078414917,-0.6406878232955933,1.1197752952575684,0.6137310266494751,0.042081210762262344,0.5910194516181946,0.1778489500284195,0.011648310348391533,0.01403487753123045,1.351599931716919,1.9989019632339478,0.6433269381523132,0.9472688436508179,0.8811167478561401,1.162549614906311,cond_0,cond_1,0.7879308166696135
64493027,0.591597855091095,0.1554362028837204,0.5992938876152039,0.4974442720413208,0.3342190384864807,0.1554362028837204,0.08028270304203033,0.13055941462516785,0.13055941462516785,0.025976991280913353,0.025976991280913353,0.9420807361602783,0.9072795510292053,0.7855417728424072,0.818792462348938,0.4454670250415802,0.49384525418281555,cond_0,cond_0,2.2868247332765166
66406040,2.6064186096191406,0.061791546642780304,1.3785547018051147,-1.185805082321167,0.7030501365661621,0.061791546642780304,0.07165184617042542,0.04246567562222481,0.042465679347515106,0.01995372213423252,0.01995372399687767,1.1259758472442627,1.1678924560546875,0.7569187879562378,0.6989140510559082,1.0637240409851074,1.0011836290359497,cond_0,cond_0,0.27200397874847093
50197261,0.8016631603240967,0.23196211457252502,1.5479923486709595,1.076648235321045,1.1122539043426514,0.23196211457252502,0.15014778077602386,0.18165743350982666,0.18165743350982666,0.04873232543468475,0.04873232543468475,1.5399891138076782,1.544240117073059,0.7474494576454163,0.7656926512718201,1.2336292266845703,1.2434417009353638,cond_0,cond_0,2.076759428043515
10100862,3.5135703722583216,0.12897014617919922,1.3800604343414307,-1.285678505897522,-0.5015949010848999,0.12897014617919922,0.07222296297550201,0.10734029859304428,0.10734029859304428,0.02297196537256241,0.022971967235207558,1.5221571922302246,1.5347398519515991,1.0128918886184692,1.0069178342819214,1.3458232879638672,1.3348443508148193,cond_0,cond_0,5.648037523288876
20236838,2.392082452774048,0.24900873005390167,1.195618987083435,-0.8752201199531555,0.8145517110824585,0.8549845814704895,0.019133400171995163,0.8409967422485352,0.2516804337501526,0.005254286807030439,0.006849008612334728,1.3374634981155396,2.2906010150909424,0.7003506422042847,0.988146185874939,0.8578100800514221,1.138884425163269,cond_0,cond_1,0.4863401355935637
21403733,5.41721743742098,0.16146031022071838,0.9324756264686584,0.6041539311408997,-0.7102878093719482,0.16146031022071838,0.0022797726560384035,0.1617891937494278,0.1617891788482666,0.0006255434709601104,0.0006255434709601104,1.3963342905044556,1.3386017084121704,1.0154393911361694,1.089750051498413,0.9602895975112915,1.0345535278320312,cond_0,cond_0,3.7443904581262175
81086436,0.1603267788887024,0.17925795912742615,1.193213939666748,1.1779111623764038,0.1904856264591217,0.17925795912742615,0.01866581104695797,0.17191341519355774,0.17191341519355774,0.005775582976639271,0.005775583442300558,1.478922963142395,1.415892481803894,0.8587872385978699,0.9163995981216431,1.0233851671218872,1.0783571004867554,cond_0,cond_0,2.718095809478909
89546375,1.9273474216461182,0.04794299602508545,0.7956036329269409,-0.2777009606361389,0.7455651164054871,0.04794299229979515,0.02088894322514534,0.03926440328359604,0.03926440328359604,0.005880401469767094,0.005880401935428381,0.5363309979438782,0.5794285535812378,0.6272618174552917,0.5600412487983704,0.4585457742214203,0.3919674754142761,cond_0,cond_0,0.9510751667214934
31908032,1.6749733686447144,0.4119718670845032,0.5295017957687378,-0.055062245577573776,0.5266311168670654,0.4119718670845032,0.11068429797887802,0.37172630429267883,0.3717263340950012,0.032351069152355194,0.03235107660293579,1.307601809501648,1.3409924507141113,0.6245637536048889,0.570709228515625,0.22667130827903748,0.18197476863861084,cond_0,cond_0,1.2034492197228972
20767628,4.836479608212606,0.40912675857543945,0.8795398473739624,0.10886275768280029,-0.8727767467498779,0.40912675857543945,0.007255325093865395,0.40388160943984985,0.40388160943984985,0.002113669877871871,0.002113669877871871,1.681340217590332,1.6762423515319824,1.087051510810852,1.1466282606124878,0.984403669834137,1.0441005229949951,cond_0,cond_0,4.325128287334591
