Gene_Symbols,Sine_Coefficient,Cosine_Coefficient,Weighted_Average,Fit_Average,Fit_Average_1,Amplitude,Amplitude_Ratio,Offset_Plus_Minus_Amplitude_Ratio,Acrophase,F_Statistic,P_Statistic,BHQ_Statistic,Bonferroni_Statistic,R_Squared
NOC2L,1.089057945861403,-5.2619410226242,-86.9773580812905,28.174399123181253,-3.4894471880142977,5.373459829106315,-0.06177998444243603,0.8836294046833478,2.937505332892333,7.817708558879971,0.0005109102057668791,0.0010626659471179095,1.0,0.3373741856078064
KLHL17,0.8630876887292092,0.2733888535152591,7.490172206627051,6.994931769618333,0.01500728596996143,0.9053517679125148,0.12087195633652992,1.2749814596582238,1.264038133863142,3.351341014695549,0.036644303100611064,0.05457918878171736,1.0,0.06026692431924352
HES4,-5.324017624373129,-2.932835239541664,135.03379815913922,19.598570710376137,3.4980371954170617,6.078378583712363,0.045013757048801284,1.0942710062706138,4.208878983511271,2.3351016350572884,0.09894285784790025,0.13445834825090658,1.0,0.23048705238271228
ISG15,-0.7406885634639926,-2.430439139712597,4.844017362683871,5.44690860977718,-0.01826943173010086,2.540797898277874,0.5245228718317644,3.2063011689015473,3.437406135578939,4.14478025316064,0.016967147513820446,0.02714240355764364,1.0,0.1387588435657835
AGRN,-0.4660328454298292,0.140656800488497,-163.84378834773145,16.536625519644684,-5.466073147496246,0.4867966192806642,-0.002971102073442776,0.9940753984490669,5.005512237421266,1.1316466102204334,0.3241747577487024,0.38545295070412877,1.0,0.10489102769386305
C1orf159,0.4218746604222998,6.262393415413452,-105.81453545661373,29.30576907825164,-4.094554682874709,6.276587410250908,-0.05931687346323461,0.8880091973437383,0.0672647304304497,15.26324993490565,5.641532724309783e-7,1.7149623540645154e-6,0.00791112133929961,0.3118943029774678
SDF4,1.0240574319852491,-5.527889768369498,-48.62078044666782,36.35600568177467,-2.5750541251043138,5.6219444069866435,-0.1156284279137263,0.7927115784778692,2.9584163987093652,17.531281141201855,7.625161246860301e-8,2.5759488355750904e-7,0.00106927636164722,0.3050587378846785
B3GALT6,-0.7713000251174237,-3.136331360791034,-14.22296581242,8.343641178249333,-0.6838365754748283,3.2297798893155982,-0.22708202578222042,0.6298828912639906,3.382731679627666,33.14866012728118,1.7907897387203775e-13,1.2984614532614196e-12,2.5112244506075854e-9,0.5376944646843441
UBE2J2,1.5701702188479503,-1.5978586676344626,-143.45043068576308,26.746983084888708,-5.157497386989448,2.2402202654854277,-0.015616685532250279,0.969246890574536,2.3649342286225123,0.6784711788776863,0.5083389652786025,0.5677315474754573,1.0,0.25366082144926705
SCNN1D,0.7289227810569147,1.2079339171417516,-38.71801409643314,9.524916260475852,-1.4619069805123945,1.4108269805065263,-0.03643851611274912,0.9296851370413849,0.5429494056363141,0.24618947768451538,0.7819664619809048,0.8150981711408778,1.0,0.06999920924918068
