"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ZBTB33","ZBTB33","MA0527.1","13.1698",5.71412e-41,0.794477,0.772676,0.0527879,1107,"False",1.9726136e-39,6.5607952428946e-23,7.42494069050696e-17,0.825430942607044,0.823397931994594,0.187286098729979,0.850739719480986,0.627691112981771
"KLF14","KLF14","MA0740.1","12.8119",1.1574e-38,0.840958,0.818128,0.0503706,1107,"False",3.829065e-37,NA,NA,NA,NA,NA,NA,NA
"SP9","SP9","MA1564.1","12.8102",1.65436e-38,0.890721,0.865208,0.0509132,1107,"False",5.25424736e-37,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","12.6551",2.63512e-38,0.861023,0.839285,0.0628303,1107,"False",8.04725107692308e-37,7.0193092185725e-34,4.59535582455589e-20,0.948794968585202,0.949438465289319,-0.083890131654219,2.06859859490493e-05,0.0671748332232535
"ZBTB14","ZBTB14","MA1650.1","12.7656",3.4511e-38,0.848908,0.820331,0.0542029,1107,"False",1.01487903703704e-36,1.16055670950859e-23,1.09938877632205e-13,0.951768513405996,0.952802179186244,0.0121384346681101,0.758402868837371,0.800598638208149
"SP4","SP4","MA0685.1","12.6963",3.94273e-38,0.815794,0.791926,0.0572342,1107,"False",1.11804557857143e-36,4.93711846392765e-11,3.53840376678333e-06,0.890092793030933,0.888871211058516,-0.156410187172307,0.00295474217025591,0.0327665807133337
"SP1","SP1","MA0079.4","12.5705",2.06722e-37,0.837005,0.812589,0.0588821,1107,"False",5.65990579310345e-36,2.02209503263385e-17,5.56302930592507e-08,0.472725664168783,0.470384981514314,-0.43395129016111,0.0248657446014513,0.197034744696626
"SP3","SP3","MA0746.2","12.2064",3.14156e-35,0.8769,0.852593,0.0542593,1107,"False",8.31466213333333e-34,9.4571655229839e-07,0.00173346962764517,NA,NA,NA,0.000883764149379102,0.00520258949838025
"SPDEF","SPDEF","MA0686.1","11.9372",3.03379e-34,0.819015,0.801715,0.0516693,1107,"False",7.77041696774194e-33,0.655613250182356,0.0459029814063054,0.893077775166783,NA,1.02968042743075,0.049532877717906,0.0186754451323147
"EGR2","EGR2","MA0472.2","11.988",4.68259e-34,0.828128,0.808129,0.0456366,1107,"False",1.16186764375e-32,2.12239272693501e-05,0.116396564885731,0.888787126987639,0.887365397137392,0.581125733788698,0.215204911798008,0.0112319754352876
"TFDP1","TFDP1","MA1122.1","11.9209",1.2913e-33,0.87355,0.849665,0.0511835,1107,"False",3.10694606060606e-32,2.96965866518639e-18,1.01684998680827e-10,0.755691880475937,0.752850886298584,-0.00266075027963667,0.514425077634915,0.434333748027135
